menu,price,order_time
케이크,6874,2024-12-30 15:07:57
아메리카노,16265,2024-12-30 05:00:57
카푸치노,20614,2024-12-30 09:38:57
아메리카노,20398,2024-12-29 18:45:57
아메리카노,11130,2024-12-30 14:30:57
카푸치노,17625,2024-12-30 16:05:57
카푸치노,6116,2024-12-30 04:12:57
케이크,3576,2024-12-30 13:07:57
케이크,14344,2024-12-29 21:44:57
카푸치노,26383,2024-12-30 13:24:57
케이크,20837,2024-12-30 02:40:57
카푸치노,5775,2024-12-30 13:37:57
아메리카노,10842,2024-12-30 08:36:57
케이크,2299,2024-12-30 17:01:57
카푸치노,20013,2024-12-30 15:39:57
카푸치노,17816,2024-12-29 20:43:57
아메리카노,5855,2024-12-30 10:24:57
아메리카노,27626,2024-12-30 16:47:57
카푸치노,25950,2024-12-30 04:02:57
카푸치노,20620,2024-12-30 05:06:57
카푸치노,10439,2024-12-29 23:11:57
케이크,10457,2024-12-30 09:11:57
카푸치노,25605,2024-12-30 15:49:57
아메리카노,13331,2024-12-30 00:30:57
케이크,2736,2024-12-30 05:14:57
케이크,7157,2024-12-30 07:52:57
아메리카노,14095,2024-12-29 23:34:57
케이크,3769,2024-12-30 04:31:57
아메리카노,29516,2024-12-29 17:42:57
케이크,7905,2024-12-30 02:21:57
카푸치노,7697,2024-12-30 15:44:57
카푸치노,27653,2024-12-30 11:59:57
아메리카노,13584,2024-12-30 02:50:57
카푸치노,11709,2024-12-30 03:32:57
카푸치노,19661,2024-12-29 22:30:57
아메리카노,13044,2024-12-30 14:19:57
케이크,17565,2024-12-29 21:17:57
케이크,12451,2024-12-29 19:10:57
아메리카노,22537,2024-12-30 09:02:57
카푸치노,1383,2024-12-30 00:04:57
카푸치노,22231,2024-12-29 20:22:57
아메리카노,2029,2024-12-30 07:56:57
아메리카노,20950,2024-12-30 00:47:57
케이크,12791,2024-12-30 06:18:57
아메리카노,25270,2024-12-29 18:13:57
아메리카노,20772,2024-12-30 04:44:57
카푸치노,26419,2024-12-30 09:44:57
아메리카노,13697,2024-12-30 05:20:57
아메리카노,9929,2024-12-30 01:39:57
아메리카노,25763,2024-12-30 09:11:57
카푸치노,14056,2024-12-30 16:15:57
케이크,15128,2024-12-30 02:53:57
카푸치노,23078,2024-12-30 14:42:57
케이크,6666,2024-12-30 01:52:57
카푸치노,22789,2024-12-30 13:58:57
케이크,18628,2024-12-29 23:54:57
케이크,25989,2024-12-30 10:03:57
카푸치노,25529,2024-12-30 05:15:57
아메리카노,9597,2024-12-29 19:32:57
케이크,12149,2024-12-30 16:21:57
카푸치노,3533,2024-12-30 07:46:57
카푸치노,25814,2024-12-30 03:46:57
아메리카노,13456,2024-12-29 21:01:57
카푸치노,11368,2024-12-29 23:20:57
카푸치노,19206,2024-12-30 16:15:57
카푸치노,20845,2024-12-29 19:21:57
카푸치노,15342,2024-12-30 04:36:57
카푸치노,10267,2024-12-30 01:56:57
아메리카노,25763,2024-12-30 03:44:57
카푸치노,26662,2024-12-30 09:16:57
아메리카노,22018,2024-12-30 06:55:57
카푸치노,24392,2024-12-30 12:36:57
카푸치노,13772,2024-12-30 09:55:57
케이크,8385,2024-12-30 09:27:57
아메리카노,25289,2024-12-30 09:17:57
아메리카노,10165,2024-12-30 07:40:57
아메리카노,27250,2024-12-29 17:22:57
아메리카노,6615,2024-12-29 19:20:57
케이크,15213,2024-12-29 19:03:57
케이크,3540,2024-12-30 09:40:57
카푸치노,16339,2024-12-29 23:40:57
카푸치노,6203,2024-12-30 11:43:57
케이크,9337,2024-12-30 13:01:57
케이크,14684,2024-12-30 10:48:57
카푸치노,4214,2024-12-30 10:51:57
아메리카노,13118,2024-12-30 05:44:57
아메리카노,21155,2024-12-29 19:25:57
케이크,2027,2024-12-30 12:00:57
아메리카노,15397,2024-12-30 13:56:57
케이크,29255,2024-12-30 06:25:57
카푸치노,6803,2024-12-30 13:13:57
카푸치노,20958,2024-12-29 17:54:57
아메리카노,22915,2024-12-29 19:47:57
카푸치노,25638,2024-12-29 20:24:57
케이크,21997,2024-12-30 15:35:57
케이크,16662,2024-12-29 17:59:57
카푸치노,13560,2024-12-29 19:40:57
카푸치노,27064,2024-12-30 01:04:57
카푸치노,1614,2024-12-30 04:10:57
케이크,12734,2024-12-30 01:31:57
