menu,price,order_time
카푸치노,17035,2024-12-30 15:44:56
카푸치노,15180,2024-12-29 19:44:56
카푸치노,6791,2024-12-30 11:11:56
케이크,3647,2024-12-30 16:34:56
카푸치노,7320,2024-12-30 06:12:56
카푸치노,4307,2024-12-30 11:23:56
카푸치노,12195,2024-12-30 04:34:56
아메리카노,13334,2024-12-29 19:59:56
아메리카노,23134,2024-12-30 10:57:56
카푸치노,19196,2024-12-30 16:38:56
카푸치노,17639,2024-12-30 16:24:56
아메리카노,28368,2024-12-30 10:59:56
케이크,20806,2024-12-30 14:25:56
케이크,11424,2024-12-30 07:43:56
아메리카노,7565,2024-12-30 04:03:56
아메리카노,28574,2024-12-30 13:49:56
카푸치노,13683,2024-12-30 16:15:56
아메리카노,21959,2024-12-30 09:43:56
아메리카노,15813,2024-12-30 06:11:56
케이크,13136,2024-12-30 13:04:56
아메리카노,16060,2024-12-30 02:34:56
아메리카노,14467,2024-12-30 16:53:56
아메리카노,15308,2024-12-29 21:45:56
카푸치노,13532,2024-12-30 14:02:56
케이크,20772,2024-12-30 10:19:56
아메리카노,22282,2024-12-30 08:28:56
아메리카노,20966,2024-12-30 03:22:56
카푸치노,8802,2024-12-30 03:50:56
아메리카노,18312,2024-12-30 09:00:56
케이크,19835,2024-12-30 02:20:56
아메리카노,15769,2024-12-30 16:36:56
케이크,22769,2024-12-30 00:53:56
아메리카노,18333,2024-12-30 10:48:56
케이크,9289,2024-12-30 04:32:56
케이크,15173,2024-12-30 03:29:56
아메리카노,19469,2024-12-30 10:57:56
카푸치노,3916,2024-12-29 19:45:56
카푸치노,17224,2024-12-30 01:56:56
케이크,29688,2024-12-29 20:46:56
케이크,28153,2024-12-30 02:27:56
카푸치노,15752,2024-12-30 12:00:56
케이크,8906,2024-12-30 03:58:56
카푸치노,6791,2024-12-30 08:04:56
케이크,1904,2024-12-30 01:39:56
케이크,1898,2024-12-30 01:24:56
케이크,24647,2024-12-30 16:53:56
케이크,6851,2024-12-30 02:21:56
카푸치노,12450,2024-12-30 09:10:56
카푸치노,8268,2024-12-29 23:56:56
카푸치노,27287,2024-12-30 14:56:56
케이크,3986,2024-12-30 13:21:56
카푸치노,11019,2024-12-30 02:35:56
케이크,28381,2024-12-30 13:30:56
케이크,6678,2024-12-30 13:48:56
아메리카노,9166,2024-12-30 07:52:56
카푸치노,25046,2024-12-30 14:35:56
아메리카노,9458,2024-12-29 21:01:56
케이크,15795,2024-12-30 07:30:56
케이크,26544,2024-12-30 04:08:56
케이크,6929,2024-12-29 23:45:56
카푸치노,1127,2024-12-29 20:17:56
케이크,25343,2024-12-30 01:13:56
케이크,20246,2024-12-29 18:16:56
케이크,28416,2024-12-30 06:04:56
케이크,1853,2024-12-30 08:51:56
카푸치노,22411,2024-12-30 05:49:56
아메리카노,23844,2024-12-30 04:37:56
카푸치노,17987,2024-12-30 13:54:56
카푸치노,15589,2024-12-30 14:03:56
카푸치노,23403,2024-12-29 18:10:56
카푸치노,9041,2024-12-30 04:45:56
아메리카노,28575,2024-12-30 01:35:56
카푸치노,4692,2024-12-30 00:46:56
아메리카노,24973,2024-12-30 02:40:56
케이크,4686,2024-12-30 05:55:56
케이크,9719,2024-12-29 22:15:56
케이크,5737,2024-12-30 01:23:56
케이크,11097,2024-12-30 13:33:56
아메리카노,27081,2024-12-30 15:19:56
카푸치노,14854,2024-12-29 20:55:56
카푸치노,17033,2024-12-30 11:59:56
케이크,15819,2024-12-30 16:57:56
아메리카노,12075,2024-12-30 01:43:56
아메리카노,19643,2024-12-30 15:00:56
아메리카노,11940,2024-12-30 11:28:56
카푸치노,20928,2024-12-30 07:02:56
케이크,24123,2024-12-29 20:26:56
카푸치노,16758,2024-12-30 16:45:56
카푸치노,29238,2024-12-30 02:16:56
아메리카노,13918,2024-12-30 01:19:56
아메리카노,9858,2024-12-30 08:27:56
카푸치노,4283,2024-12-30 15:17:56
아메리카노,2057,2024-12-30 01:06:56
카푸치노,18501,2024-12-29 17:41:56
케이크,29802,2024-12-29 22:40:56
아메리카노,12592,2024-12-29 17:36:56
카푸치노,9876,2024-12-29 22:33:56
카푸치노,12746,2024-12-30 06:04:56
아메리카노,27738,2024-12-30 02:27:56
케이크,5240,2024-12-30 08:23:56
