menu,price,order_time
카푸치노,26083,2024-12-30 13:51:56
아메리카노,1933,2024-12-30 13:43:56
카푸치노,16099,2024-12-30 11:43:56
아메리카노,13490,2024-12-30 15:09:56
아메리카노,18112,2024-12-30 07:05:56
케이크,28062,2024-12-30 14:50:56
아메리카노,28045,2024-12-30 09:42:56
케이크,25138,2024-12-30 14:55:56
아메리카노,19584,2024-12-29 23:48:56
아메리카노,8185,2024-12-29 18:50:56
아메리카노,3187,2024-12-30 04:07:56
케이크,6034,2024-12-30 04:05:56
케이크,5563,2024-12-29 18:44:56
케이크,4377,2024-12-30 01:19:56
카푸치노,3485,2024-12-30 04:38:56
아메리카노,12850,2024-12-30 16:01:56
아메리카노,4432,2024-12-30 08:47:56
카푸치노,24942,2024-12-30 10:08:56
케이크,2342,2024-12-30 06:09:56
케이크,25306,2024-12-30 11:04:56
카푸치노,4045,2024-12-30 14:43:56
카푸치노,6445,2024-12-30 14:25:56
카푸치노,24572,2024-12-29 22:16:56
아메리카노,25288,2024-12-29 22:09:56
아메리카노,3116,2024-12-29 19:23:56
카푸치노,29010,2024-12-30 04:17:56
아메리카노,23412,2024-12-30 01:49:56
카푸치노,29836,2024-12-30 02:34:56
아메리카노,21158,2024-12-30 08:51:56
카푸치노,8659,2024-12-29 21:27:56
케이크,27599,2024-12-30 07:28:56
아메리카노,5796,2024-12-30 06:04:56
카푸치노,29820,2024-12-29 18:04:56
케이크,27558,2024-12-29 23:52:56
아메리카노,7282,2024-12-30 03:10:56
아메리카노,28587,2024-12-30 15:04:56
카푸치노,2333,2024-12-29 20:59:56
아메리카노,27884,2024-12-30 10:38:56
아메리카노,4552,2024-12-30 02:26:56
카푸치노,22173,2024-12-30 13:21:56
카푸치노,16524,2024-12-29 17:41:56
카푸치노,19145,2024-12-29 19:11:56
케이크,20218,2024-12-30 03:57:56
카푸치노,6952,2024-12-29 18:32:56
아메리카노,28449,2024-12-30 15:23:56
아메리카노,14170,2024-12-30 01:57:56
케이크,25778,2024-12-30 01:53:56
아메리카노,27736,2024-12-30 02:17:56
아메리카노,28057,2024-12-30 03:33:56
아메리카노,8393,2024-12-30 01:37:56
아메리카노,21969,2024-12-30 16:05:56
케이크,26361,2024-12-30 02:59:56
아메리카노,2064,2024-12-29 19:50:56
아메리카노,9639,2024-12-29 20:04:56
아메리카노,21158,2024-12-30 05:20:56
케이크,23225,2024-12-30 00:11:56
아메리카노,10968,2024-12-30 07:00:56
카푸치노,17960,2024-12-29 21:06:56
케이크,29129,2024-12-30 01:02:56
카푸치노,10230,2024-12-30 00:41:56
케이크,11004,2024-12-30 01:44:56
카푸치노,27858,2024-12-30 10:49:56
카푸치노,18799,2024-12-29 22:40:56
케이크,15786,2024-12-29 19:00:56
아메리카노,19747,2024-12-30 00:22:56
카푸치노,26941,2024-12-29 19:14:56
아메리카노,27978,2024-12-30 05:43:56
아메리카노,13140,2024-12-30 13:19:56
케이크,24864,2024-12-30 14:16:56
케이크,25123,2024-12-30 07:11:56
아메리카노,24406,2024-12-30 03:00:56
카푸치노,18761,2024-12-30 02:48:56
케이크,11961,2024-12-30 14:46:56
아메리카노,20649,2024-12-30 14:19:56
카푸치노,19931,2024-12-30 10:53:56
케이크,26897,2024-12-30 11:38:56
케이크,3785,2024-12-29 23:36:56
아메리카노,2882,2024-12-30 09:33:56
카푸치노,3561,2024-12-30 16:00:56
아메리카노,12653,2024-12-29 19:30:56
아메리카노,4207,2024-12-29 18:11:56
케이크,27753,2024-12-30 02:21:56
케이크,18971,2024-12-29 18:00:56
카푸치노,3499,2024-12-30 09:15:56
카푸치노,15613,2024-12-30 03:04:56
케이크,2968,2024-12-29 22:53:56
케이크,7958,2024-12-30 13:11:56
카푸치노,1619,2024-12-30 05:27:56
카푸치노,23922,2024-12-29 19:44:56
아메리카노,1744,2024-12-30 06:51:56
카푸치노,20292,2024-12-29 18:18:56
카푸치노,10366,2024-12-30 15:42:56
카푸치노,19557,2024-12-29 20:27:56
케이크,19324,2024-12-30 02:15:56
케이크,10796,2024-12-29 17:51:56
케이크,15703,2024-12-30 03:49:56
케이크,9147,2024-12-30 13:08:56
케이크,5869,2024-12-30 06:04:56
케이크,3891,2024-12-30 10:08:56
아메리카노,14404,2024-12-30 13:41:56
