menu,price,order_time
소바,23850,2024-12-30 03:55:56
라멘,18137,2024-12-30 12:10:56
라멘,2684,2024-12-30 08:19:56
소바,8985,2024-12-30 04:20:56
우동,19262,2024-12-30 11:00:56
라멘,19258,2024-12-30 07:56:56
우동,12923,2024-12-30 00:05:56
라멘,18400,2024-12-30 14:20:56
라멘,27414,2024-12-30 05:34:56
라멘,11970,2024-12-29 22:52:56
우동,18437,2024-12-30 08:11:56
우동,12021,2024-12-30 13:59:56
우동,7721,2024-12-29 18:34:56
소바,1972,2024-12-30 16:07:56
소바,25458,2024-12-30 01:20:56
소바,2258,2024-12-29 17:36:56
우동,3012,2024-12-30 01:34:56
소바,21494,2024-12-29 18:10:56
우동,9292,2024-12-30 02:53:56
라멘,10161,2024-12-30 14:03:56
라멘,2405,2024-12-30 02:23:56
소바,27438,2024-12-30 06:00:56
소바,16488,2024-12-30 12:27:56
라멘,16890,2024-12-29 20:54:56
라멘,9471,2024-12-30 07:01:56
소바,2419,2024-12-30 03:54:56
소바,23577,2024-12-30 13:15:56
라멘,7991,2024-12-29 20:10:56
라멘,23155,2024-12-30 14:54:56
소바,21514,2024-12-29 20:44:56
라멘,25788,2024-12-29 21:09:56
라멘,16762,2024-12-30 06:13:56
우동,28271,2024-12-29 20:49:56
라멘,17110,2024-12-29 20:24:56
우동,12615,2024-12-30 14:34:56
라멘,2280,2024-12-30 06:28:56
소바,5508,2024-12-29 22:17:56
우동,20158,2024-12-30 06:29:56
소바,18762,2024-12-30 08:27:56
소바,2247,2024-12-30 01:05:56
우동,18764,2024-12-30 06:06:56
소바,24868,2024-12-29 18:54:56
라멘,16520,2024-12-30 16:21:56
소바,6058,2024-12-29 20:33:56
소바,6625,2024-12-29 23:22:56
소바,2438,2024-12-30 12:34:56
라멘,25135,2024-12-30 10:23:56
라멘,8984,2024-12-30 14:21:56
우동,5468,2024-12-30 02:09:56
소바,20162,2024-12-30 12:27:56
소바,1125,2024-12-30 02:05:56
우동,22905,2024-12-30 11:02:56
우동,3577,2024-12-30 06:07:56
라멘,21813,2024-12-29 20:37:56
라멘,26700,2024-12-30 13:09:56
소바,25359,2024-12-30 15:49:56
소바,26932,2024-12-30 00:50:56
소바,3049,2024-12-30 10:47:56
라멘,16542,2024-12-30 04:16:56
소바,15342,2024-12-30 02:01:56
우동,16154,2024-12-30 11:52:56
소바,23895,2024-12-30 14:12:56
소바,2276,2024-12-30 11:18:56
라멘,27221,2024-12-30 12:27:56
우동,29824,2024-12-30 01:01:56
라멘,12441,2024-12-30 06:59:56
우동,27557,2024-12-29 18:03:56
우동,26808,2024-12-29 22:52:56
우동,28149,2024-12-30 06:02:56
우동,11711,2024-12-30 11:23:56
소바,10411,2024-12-30 06:16:56
우동,13374,2024-12-30 15:11:56
우동,6432,2024-12-30 01:51:56
소바,11590,2024-12-29 23:51:56
우동,13735,2024-12-30 03:48:56
라멘,25285,2024-12-30 09:17:56
우동,3656,2024-12-30 03:29:56
우동,12303,2024-12-30 07:21:56
라멘,3250,2024-12-30 03:22:56
우동,10636,2024-12-30 04:42:56
소바,20886,2024-12-30 02:52:56
소바,28343,2024-12-29 19:47:56
우동,19183,2024-12-30 09:37:56
라멘,8896,2024-12-29 19:27:56
우동,11367,2024-12-30 00:24:56
소바,16840,2024-12-30 15:49:56
라멘,17117,2024-12-30 08:13:56
라멘,13307,2024-12-30 01:51:56
라멘,25666,2024-12-30 13:27:56
우동,28387,2024-12-30 15:48:56
소바,19049,2024-12-30 00:37:56
우동,4372,2024-12-30 08:12:56
소바,16756,2024-12-29 23:21:56
라멘,28898,2024-12-30 11:19:56
소바,12427,2024-12-29 19:46:56
소바,3165,2024-12-30 06:07:56
라멘,29713,2024-12-29 22:24:56
라멘,16483,2024-12-29 22:39:56
라멘,3066,2024-12-30 11:20:56
라멘,8822,2024-12-30 07:47:56
