menu,price,order_time
아메리카노,18985,2024-12-30 17:08:56
아메리카노,19742,2024-12-29 19:12:56
아메리카노,3121,2024-12-30 13:36:56
케이크,14564,2024-12-30 00:33:56
카푸치노,11453,2024-12-30 04:36:56
케이크,16431,2024-12-29 21:57:56
케이크,14516,2024-12-30 06:09:56
아메리카노,21901,2024-12-30 11:10:56
케이크,25058,2024-12-30 12:49:56
카푸치노,17959,2024-12-30 06:43:56
아메리카노,18352,2024-12-29 17:54:56
카푸치노,26582,2024-12-30 12:22:56
케이크,17854,2024-12-29 20:12:56
케이크,19298,2024-12-29 18:15:56
아메리카노,9086,2024-12-30 04:11:56
카푸치노,9994,2024-12-29 20:00:56
아메리카노,6081,2024-12-30 06:28:56
아메리카노,3734,2024-12-30 08:31:56
케이크,1648,2024-12-30 00:10:56
케이크,5447,2024-12-30 08:47:56
케이크,23903,2024-12-29 18:31:56
케이크,25861,2024-12-30 07:43:56
아메리카노,18252,2024-12-30 15:02:56
카푸치노,14430,2024-12-29 23:57:56
케이크,8124,2024-12-29 19:13:56
아메리카노,25112,2024-12-29 23:25:56
아메리카노,18955,2024-12-30 06:44:56
카푸치노,9673,2024-12-29 22:55:56
아메리카노,16631,2024-12-30 16:36:56
케이크,27884,2024-12-30 10:28:56
케이크,5868,2024-12-30 12:01:56
케이크,19869,2024-12-30 16:49:56
케이크,21442,2024-12-30 02:40:56
카푸치노,8750,2024-12-29 23:04:56
케이크,25752,2024-12-30 09:00:56
케이크,9098,2024-12-30 04:53:56
카푸치노,7784,2024-12-30 01:15:56
카푸치노,6761,2024-12-30 16:47:56
케이크,11535,2024-12-30 13:58:56
아메리카노,9192,2024-12-29 21:48:56
카푸치노,21140,2024-12-29 19:35:56
아메리카노,19458,2024-12-30 14:10:56
카푸치노,28025,2024-12-29 17:26:56
케이크,6412,2024-12-30 07:18:56
아메리카노,6252,2024-12-29 23:18:56
케이크,2588,2024-12-30 06:35:56
아메리카노,15945,2024-12-30 03:16:56
케이크,7907,2024-12-30 10:56:56
아메리카노,20936,2024-12-30 13:46:56
아메리카노,20887,2024-12-29 19:29:56
아메리카노,3690,2024-12-30 02:31:56
아메리카노,29474,2024-12-30 03:18:56
케이크,7860,2024-12-30 16:00:56
아메리카노,12635,2024-12-29 19:51:56
케이크,5436,2024-12-30 04:10:56
케이크,25947,2024-12-30 04:32:56
카푸치노,18613,2024-12-29 22:01:56
카푸치노,1658,2024-12-30 11:48:56
아메리카노,11057,2024-12-30 05:46:56
카푸치노,26781,2024-12-30 04:49:56
아메리카노,13997,2024-12-30 01:14:56
카푸치노,23754,2024-12-30 11:22:56
케이크,22308,2024-12-29 23:49:56
케이크,25758,2024-12-30 03:49:56
아메리카노,6778,2024-12-30 07:02:56
케이크,1367,2024-12-29 22:33:56
카푸치노,26326,2024-12-30 09:06:56
카푸치노,4380,2024-12-30 09:34:56
케이크,16341,2024-12-30 02:15:56
카푸치노,15975,2024-12-29 17:44:56
케이크,25343,2024-12-30 14:12:56
카푸치노,14496,2024-12-29 19:32:56
카푸치노,22720,2024-12-29 23:49:56
카푸치노,8883,2024-12-30 06:32:56
케이크,20354,2024-12-29 18:41:56
케이크,8536,2024-12-30 07:20:56
케이크,6351,2024-12-30 15:19:56
아메리카노,19004,2024-12-30 13:47:56
카푸치노,28719,2024-12-30 07:49:56
카푸치노,5920,2024-12-30 09:17:56
아메리카노,13752,2024-12-30 12:05:56
케이크,12578,2024-12-30 15:41:56
아메리카노,4588,2024-12-30 12:53:56
아메리카노,24420,2024-12-30 07:32:56
카푸치노,20733,2024-12-30 03:47:56
카푸치노,16721,2024-12-30 06:11:56
아메리카노,2717,2024-12-30 06:51:56
아메리카노,28784,2024-12-30 10:06:56
카푸치노,12571,2024-12-30 11:51:56
아메리카노,23749,2024-12-30 00:39:56
케이크,21054,2024-12-30 00:54:56
아메리카노,10007,2024-12-29 21:00:56
케이크,19187,2024-12-30 04:03:56
케이크,25317,2024-12-30 08:43:56
카푸치노,27988,2024-12-29 23:39:56
케이크,10468,2024-12-30 16:07:56
아메리카노,17601,2024-12-30 10:32:56
카푸치노,23662,2024-12-30 11:01:56
아메리카노,25885,2024-12-30 01:28:56
아메리카노,13852,2024-12-30 08:17:56
