menu,price,order_time
김밥,17737,2024-12-30 16:51:56
김밥,22672,2024-12-29 21:54:56
만두,27523,2024-12-29 20:16:56
김밥,22011,2024-12-30 02:14:56
떡볶이,21185,2024-12-30 15:51:56
떡볶이,28167,2024-12-30 07:20:56
떡볶이,13965,2024-12-30 05:24:56
만두,22283,2024-12-29 20:59:56
만두,27551,2024-12-30 09:53:56
만두,13570,2024-12-29 17:40:56
만두,18044,2024-12-30 15:19:56
김밥,5270,2024-12-30 05:21:56
만두,25664,2024-12-29 18:32:56
떡볶이,2061,2024-12-30 12:47:56
김밥,6194,2024-12-30 09:14:56
만두,29389,2024-12-30 07:03:56
떡볶이,7009,2024-12-30 14:50:56
김밥,7814,2024-12-29 23:47:56
김밥,5037,2024-12-29 22:19:56
떡볶이,5406,2024-12-30 02:04:56
만두,15602,2024-12-30 10:16:56
만두,13190,2024-12-30 17:02:56
김밥,21500,2024-12-30 00:54:56
김밥,15965,2024-12-30 16:14:56
만두,13498,2024-12-29 23:51:56
떡볶이,9918,2024-12-30 08:07:56
만두,13085,2024-12-30 09:01:56
김밥,1456,2024-12-30 09:38:56
떡볶이,28288,2024-12-30 07:23:56
만두,28316,2024-12-30 05:31:56
만두,25404,2024-12-29 19:52:56
떡볶이,1249,2024-12-29 17:37:56
김밥,13811,2024-12-30 03:15:56
떡볶이,11954,2024-12-29 17:55:56
김밥,11359,2024-12-30 00:26:56
떡볶이,14316,2024-12-30 01:04:56
떡볶이,10954,2024-12-29 17:54:56
떡볶이,10406,2024-12-30 00:34:56
떡볶이,1041,2024-12-30 08:10:56
만두,14249,2024-12-30 04:14:56
떡볶이,1060,2024-12-29 23:53:56
김밥,11484,2024-12-29 20:01:56
만두,16085,2024-12-30 06:26:56
만두,10121,2024-12-30 15:47:56
김밥,27368,2024-12-30 03:36:56
떡볶이,2436,2024-12-29 17:37:56
김밥,10008,2024-12-30 14:17:56
떡볶이,14616,2024-12-30 04:24:56
떡볶이,14859,2024-12-30 08:26:56
떡볶이,20138,2024-12-29 19:04:56
떡볶이,26047,2024-12-30 14:25:56
김밥,9655,2024-12-29 23:11:56
김밥,14208,2024-12-30 08:32:56
떡볶이,25459,2024-12-29 17:32:56
떡볶이,24589,2024-12-29 23:37:56
김밥,27412,2024-12-29 20:22:56
김밥,2846,2024-12-30 07:54:56
떡볶이,11578,2024-12-30 04:44:56
떡볶이,21280,2024-12-29 23:20:56
김밥,22413,2024-12-30 03:48:56
만두,23519,2024-12-30 03:17:56
떡볶이,29663,2024-12-29 22:03:56
만두,29836,2024-12-30 08:13:56
만두,3771,2024-12-30 03:04:56
김밥,18134,2024-12-30 15:11:56
만두,8132,2024-12-29 20:14:56
만두,21695,2024-12-30 02:52:56
만두,7623,2024-12-29 23:54:56
떡볶이,25189,2024-12-30 12:00:56
만두,2661,2024-12-29 17:30:56
만두,11003,2024-12-30 11:57:56
만두,26337,2024-12-30 11:17:56
떡볶이,25238,2024-12-30 04:30:56
만두,17384,2024-12-30 00:17:56
떡볶이,15096,2024-12-30 11:36:56
만두,23438,2024-12-30 09:46:56
김밥,10009,2024-12-30 14:45:56
만두,29004,2024-12-30 04:13:56
만두,5998,2024-12-29 17:25:56
떡볶이,18657,2024-12-30 04:48:56
김밥,15786,2024-12-30 04:11:56
떡볶이,19820,2024-12-30 05:45:56
떡볶이,23449,2024-12-30 00:55:56
만두,26569,2024-12-30 14:02:56
김밥,23432,2024-12-30 09:50:56
만두,2010,2024-12-30 15:31:56
만두,6441,2024-12-30 13:52:56
김밥,3436,2024-12-30 16:04:56
만두,12389,2024-12-30 13:47:56
만두,14361,2024-12-30 09:07:56
만두,22877,2024-12-30 07:33:56
떡볶이,29426,2024-12-29 22:05:56
만두,10483,2024-12-29 17:30:56
김밥,8248,2024-12-30 17:17:56
떡볶이,2824,2024-12-30 02:20:56
만두,19411,2024-12-30 15:39:56
만두,12590,2024-12-30 07:16:56
떡볶이,22768,2024-12-30 00:31:56
만두,17393,2024-12-30 01:20:56
만두,20257,2024-12-29 22:28:56
