menu,price,order_time
아메리카노,16865,2024-12-29 18:52:56
카푸치노,2562,2024-12-30 05:12:56
아메리카노,3678,2024-12-30 06:00:56
아메리카노,26090,2024-12-29 20:34:56
카푸치노,26154,2024-12-30 02:55:56
케이크,9597,2024-12-30 06:54:56
카푸치노,1221,2024-12-30 11:45:56
아메리카노,15921,2024-12-29 20:32:56
아메리카노,1591,2024-12-30 10:36:56
카푸치노,26375,2024-12-29 18:13:56
케이크,7550,2024-12-30 10:42:56
카푸치노,29129,2024-12-29 22:20:56
아메리카노,21795,2024-12-29 18:41:56
카푸치노,18651,2024-12-29 23:27:56
케이크,25230,2024-12-30 12:58:56
카푸치노,26450,2024-12-29 20:05:56
아메리카노,3301,2024-12-30 05:44:56
케이크,28088,2024-12-30 12:59:56
카푸치노,4238,2024-12-30 17:09:56
케이크,4180,2024-12-30 09:34:56
카푸치노,12599,2024-12-29 22:59:56
케이크,22163,2024-12-30 07:04:56
카푸치노,29995,2024-12-29 18:17:56
카푸치노,6903,2024-12-30 09:54:56
카푸치노,5284,2024-12-29 19:26:56
케이크,28893,2024-12-30 13:14:56
카푸치노,27803,2024-12-30 06:36:56
케이크,21618,2024-12-30 06:57:56
카푸치노,18423,2024-12-29 17:57:56
케이크,24948,2024-12-30 00:58:56
케이크,28690,2024-12-30 15:42:56
아메리카노,18101,2024-12-30 14:55:56
카푸치노,29264,2024-12-30 13:12:56
아메리카노,7506,2024-12-30 12:05:56
케이크,5089,2024-12-30 13:30:56
카푸치노,4355,2024-12-30 08:46:56
케이크,4136,2024-12-30 09:48:56
카푸치노,13094,2024-12-29 22:02:56
아메리카노,4004,2024-12-29 20:24:56
케이크,8225,2024-12-29 23:41:56
카푸치노,12765,2024-12-29 22:49:56
아메리카노,3288,2024-12-30 11:27:56
카푸치노,5430,2024-12-30 15:55:56
아메리카노,26226,2024-12-30 12:25:56
아메리카노,10103,2024-12-29 21:23:56
케이크,9410,2024-12-30 00:03:56
아메리카노,14642,2024-12-30 01:22:56
카푸치노,3859,2024-12-29 21:17:56
아메리카노,8262,2024-12-30 00:22:56
케이크,12152,2024-12-30 03:19:56
아메리카노,9226,2024-12-29 17:28:56
케이크,29534,2024-12-30 09:23:56
아메리카노,15703,2024-12-29 19:40:56
카푸치노,12502,2024-12-29 22:08:56
케이크,12815,2024-12-30 04:42:56
케이크,22248,2024-12-29 18:05:56
아메리카노,10613,2024-12-30 00:34:56
케이크,22368,2024-12-29 18:09:56
아메리카노,14851,2024-12-29 19:50:56
카푸치노,21755,2024-12-29 22:21:56
아메리카노,26180,2024-12-29 23:30:56
아메리카노,15172,2024-12-29 20:37:56
카푸치노,28096,2024-12-30 14:43:56
아메리카노,9299,2024-12-30 16:16:56
카푸치노,7829,2024-12-30 12:16:56
카푸치노,25771,2024-12-29 19:36:56
아메리카노,19197,2024-12-30 06:02:56
카푸치노,10494,2024-12-29 21:46:56
케이크,20859,2024-12-30 09:23:56
카푸치노,16001,2024-12-30 04:49:56
아메리카노,17636,2024-12-29 18:41:56
케이크,6114,2024-12-29 18:10:56
카푸치노,24455,2024-12-30 12:10:56
케이크,22455,2024-12-30 07:01:56
케이크,17749,2024-12-30 16:12:56
케이크,11588,2024-12-30 09:28:56
케이크,10149,2024-12-30 03:23:56
카푸치노,5061,2024-12-30 07:43:56
아메리카노,26171,2024-12-30 08:35:56
케이크,1033,2024-12-30 08:23:56
아메리카노,18745,2024-12-30 04:02:56
아메리카노,11384,2024-12-29 18:39:56
아메리카노,17190,2024-12-30 15:09:56
카푸치노,28286,2024-12-30 04:29:56
케이크,22054,2024-12-30 07:49:56
아메리카노,4796,2024-12-30 08:12:56
케이크,11846,2024-12-29 21:26:56
카푸치노,8244,2024-12-29 19:46:56
아메리카노,25029,2024-12-30 14:53:56
카푸치노,25384,2024-12-30 15:01:56
케이크,20764,2024-12-30 02:55:56
케이크,5817,2024-12-30 02:39:56
아메리카노,15787,2024-12-30 17:00:56
아메리카노,1161,2024-12-29 17:47:56
카푸치노,7700,2024-12-29 20:04:56
카푸치노,4055,2024-12-29 17:43:56
케이크,7480,2024-12-30 17:09:56
아메리카노,15281,2024-12-29 22:22:56
케이크,21952,2024-12-30 13:00:56
아메리카노,5451,2024-12-30 14:34:56
