menu,price,order_time
떡볶이,3381,2024-12-29 18:31:56
감자튀김,29716,2024-12-30 11:11:56
닭강정,24894,2024-12-30 03:28:56
닭강정,6352,2024-12-30 04:20:56
떡볶이,18674,2024-12-30 15:19:56
감자튀김,3321,2024-12-30 05:37:56
감자튀김,11768,2024-12-30 15:39:56
닭강정,25513,2024-12-30 14:40:56
감자튀김,15604,2024-12-30 02:34:56
닭강정,17951,2024-12-29 19:42:56
떡볶이,29544,2024-12-30 14:04:56
닭강정,3637,2024-12-30 09:43:56
감자튀김,27436,2024-12-30 17:11:56
닭강정,23789,2024-12-30 08:45:56
닭강정,5320,2024-12-29 21:28:56
감자튀김,6559,2024-12-29 21:25:56
닭강정,12355,2024-12-29 21:05:56
닭강정,10407,2024-12-30 02:00:56
떡볶이,19771,2024-12-30 06:17:56
떡볶이,14593,2024-12-29 21:04:56
떡볶이,4859,2024-12-30 01:57:56
떡볶이,8904,2024-12-30 02:27:56
닭강정,16964,2024-12-29 21:12:56
닭강정,23513,2024-12-30 16:14:56
감자튀김,6067,2024-12-30 10:51:56
감자튀김,21482,2024-12-30 06:26:56
감자튀김,6446,2024-12-29 21:32:56
닭강정,13206,2024-12-30 00:25:56
닭강정,23640,2024-12-29 18:41:56
닭강정,22452,2024-12-30 02:49:56
감자튀김,1280,2024-12-30 08:09:56
떡볶이,17565,2024-12-29 21:06:56
떡볶이,14302,2024-12-30 00:41:56
떡볶이,19698,2024-12-30 00:55:56
감자튀김,8910,2024-12-29 18:06:56
떡볶이,24998,2024-12-30 14:43:56
닭강정,1502,2024-12-30 07:53:56
감자튀김,8525,2024-12-29 23:08:56
떡볶이,19859,2024-12-30 02:59:56
감자튀김,25898,2024-12-30 16:35:56
닭강정,27628,2024-12-29 21:31:56
닭강정,27122,2024-12-30 09:56:56
닭강정,9623,2024-12-29 19:34:56
닭강정,16138,2024-12-30 03:36:56
닭강정,2801,2024-12-29 20:27:56
떡볶이,18621,2024-12-30 05:28:56
감자튀김,19373,2024-12-29 23:34:56
떡볶이,6266,2024-12-30 14:31:56
감자튀김,19300,2024-12-30 04:53:56
닭강정,28859,2024-12-29 21:27:56
감자튀김,7308,2024-12-30 12:56:56
닭강정,19746,2024-12-30 07:58:56
떡볶이,12099,2024-12-29 23:13:56
감자튀김,9149,2024-12-29 19:30:56
감자튀김,10314,2024-12-30 03:35:56
감자튀김,29044,2024-12-30 13:41:56
떡볶이,22812,2024-12-30 16:13:56
감자튀김,15787,2024-12-30 14:20:56
닭강정,11051,2024-12-30 02:00:56
떡볶이,4526,2024-12-30 01:56:56
떡볶이,9224,2024-12-30 03:07:56
감자튀김,15355,2024-12-29 17:28:56
감자튀김,20523,2024-12-30 00:10:56
떡볶이,5239,2024-12-30 17:05:56
떡볶이,26774,2024-12-30 11:21:56
떡볶이,20319,2024-12-29 22:31:56
감자튀김,29583,2024-12-30 02:55:56
떡볶이,15943,2024-12-29 23:23:56
떡볶이,4209,2024-12-30 10:48:56
닭강정,3860,2024-12-30 07:00:56
떡볶이,28147,2024-12-30 17:08:56
감자튀김,9806,2024-12-29 17:28:56
닭강정,9542,2024-12-30 08:20:56
닭강정,26448,2024-12-30 15:57:56
감자튀김,25812,2024-12-30 10:18:56
떡볶이,8374,2024-12-30 11:46:56
감자튀김,27311,2024-12-29 21:03:56
감자튀김,13281,2024-12-29 20:16:56
떡볶이,27915,2024-12-30 03:29:56
떡볶이,6132,2024-12-29 17:55:56
떡볶이,17497,2024-12-29 17:45:56
닭강정,17714,2024-12-29 23:47:56
감자튀김,18410,2024-12-30 13:47:56
떡볶이,4187,2024-12-29 23:31:56
닭강정,2587,2024-12-30 06:19:56
떡볶이,6801,2024-12-30 16:14:56
닭강정,6000,2024-12-29 23:23:56
떡볶이,26086,2024-12-30 11:13:56
닭강정,15402,2024-12-30 13:09:56
감자튀김,23028,2024-12-30 17:07:56
떡볶이,26791,2024-12-30 13:53:56
떡볶이,5511,2024-12-30 15:29:56
떡볶이,20698,2024-12-29 18:30:56
떡볶이,27711,2024-12-29 23:18:56
감자튀김,11432,2024-12-30 04:38:56
닭강정,5771,2024-12-30 04:53:56
떡볶이,9645,2024-12-30 04:02:56
떡볶이,3571,2024-12-29 23:45:56
떡볶이,1914,2024-12-30 10:58:56
떡볶이,14218,2024-12-30 17:21:56
