menu,price,order_time
떡볶이,1798,2024-12-30 00:29:56
떡볶이,19123,2024-12-29 23:52:56
만두,20378,2024-12-30 00:45:56
떡볶이,15094,2024-12-30 11:20:56
만두,8924,2024-12-30 10:00:56
김밥,1031,2024-12-29 21:24:56
김밥,13317,2024-12-29 18:26:56
김밥,22770,2024-12-30 17:02:56
만두,13125,2024-12-30 04:23:56
떡볶이,17688,2024-12-30 08:46:56
떡볶이,3217,2024-12-30 10:27:56
김밥,3119,2024-12-30 02:16:56
만두,3286,2024-12-29 19:15:56
떡볶이,17396,2024-12-30 00:39:56
떡볶이,1775,2024-12-30 13:29:56
만두,29776,2024-12-30 09:41:56
만두,18124,2024-12-30 10:24:56
떡볶이,26389,2024-12-30 02:02:56
만두,25414,2024-12-30 02:53:56
만두,9894,2024-12-30 13:04:56
김밥,26763,2024-12-30 07:28:56
김밥,9869,2024-12-29 21:40:56
떡볶이,6047,2024-12-30 05:50:56
만두,20443,2024-12-29 21:02:56
만두,2657,2024-12-30 04:28:56
떡볶이,4529,2024-12-30 10:08:56
만두,19887,2024-12-30 00:21:56
김밥,28289,2024-12-30 09:22:56
김밥,22554,2024-12-30 12:39:56
만두,25657,2024-12-29 20:40:56
떡볶이,20586,2024-12-30 16:07:56
만두,26389,2024-12-30 10:36:56
만두,6935,2024-12-30 10:30:56
만두,10151,2024-12-30 15:39:56
만두,10800,2024-12-29 20:31:56
떡볶이,25776,2024-12-30 04:49:56
김밥,1135,2024-12-30 15:57:56
만두,5664,2024-12-29 23:25:56
김밥,15400,2024-12-30 04:31:56
김밥,7903,2024-12-29 23:09:56
김밥,29043,2024-12-30 16:04:56
김밥,14609,2024-12-30 14:45:56
떡볶이,9904,2024-12-30 13:37:56
만두,15785,2024-12-30 03:23:56
김밥,1742,2024-12-30 10:42:56
김밥,29519,2024-12-30 10:42:56
만두,10861,2024-12-30 13:50:56
만두,25735,2024-12-29 17:24:56
만두,10953,2024-12-29 18:13:56
만두,27413,2024-12-30 13:48:56
떡볶이,29596,2024-12-29 23:23:56
김밥,3393,2024-12-30 05:24:56
김밥,11960,2024-12-30 15:23:56
떡볶이,20632,2024-12-29 20:08:56
김밥,8997,2024-12-30 00:35:56
떡볶이,15370,2024-12-29 19:53:56
떡볶이,5011,2024-12-30 07:54:56
만두,20562,2024-12-29 18:31:56
김밥,14339,2024-12-30 17:00:56
떡볶이,23961,2024-12-29 20:44:56
떡볶이,11621,2024-12-30 09:09:56
떡볶이,26483,2024-12-30 02:45:56
만두,7395,2024-12-30 08:10:56
김밥,6449,2024-12-30 09:45:56
김밥,10748,2024-12-30 02:02:56
김밥,14629,2024-12-30 08:36:56
만두,7640,2024-12-30 11:16:56
만두,17267,2024-12-29 22:58:56
김밥,10904,2024-12-30 13:28:56
김밥,28478,2024-12-30 15:38:56
만두,7620,2024-12-30 04:09:56
김밥,13029,2024-12-30 15:41:56
떡볶이,11030,2024-12-30 05:35:56
떡볶이,16006,2024-12-30 03:00:56
만두,29099,2024-12-30 11:16:56
떡볶이,6005,2024-12-29 19:54:56
김밥,23798,2024-12-30 00:09:56
떡볶이,26861,2024-12-30 07:58:56
떡볶이,2612,2024-12-30 08:51:56
만두,17644,2024-12-30 04:42:56
만두,7014,2024-12-30 05:27:56
만두,29450,2024-12-30 10:56:56
김밥,24366,2024-12-30 16:59:56
만두,12570,2024-12-30 10:57:56
김밥,16365,2024-12-29 22:49:56
떡볶이,26071,2024-12-30 07:55:56
만두,28057,2024-12-30 05:24:56
떡볶이,13267,2024-12-29 23:07:56
김밥,12553,2024-12-30 17:00:56
김밥,8773,2024-12-30 10:38:56
김밥,5272,2024-12-30 10:17:56
떡볶이,7730,2024-12-30 01:23:56
떡볶이,19645,2024-12-30 00:06:56
김밥,12832,2024-12-30 06:06:56
떡볶이,16253,2024-12-30 14:22:56
만두,12929,2024-12-30 14:32:56
떡볶이,9002,2024-12-30 01:10:56
떡볶이,26483,2024-12-29 17:49:56
만두,21987,2024-12-30 07:50:56
만두,21399,2024-12-30 09:19:56
