menu,price,order_time
케이크,4507,2024-12-30 01:59:56
아메리카노,22664,2024-12-30 03:08:56
아메리카노,29320,2024-12-29 18:04:56
케이크,10546,2024-12-30 10:37:56
아메리카노,5611,2024-12-30 05:53:56
카푸치노,9927,2024-12-30 03:20:56
아메리카노,17526,2024-12-29 18:15:56
카푸치노,5866,2024-12-29 20:56:56
카푸치노,14247,2024-12-29 23:35:56
케이크,24085,2024-12-29 22:41:56
카푸치노,4358,2024-12-30 05:46:56
아메리카노,25060,2024-12-30 11:23:56
카푸치노,27039,2024-12-29 18:34:56
케이크,29705,2024-12-29 22:07:56
케이크,1391,2024-12-29 19:45:56
케이크,20977,2024-12-29 19:02:56
아메리카노,14259,2024-12-29 19:05:56
케이크,7639,2024-12-29 20:39:56
카푸치노,8436,2024-12-30 08:17:56
케이크,17134,2024-12-30 15:58:56
카푸치노,2803,2024-12-29 20:36:56
카푸치노,22921,2024-12-30 05:07:56
카푸치노,26166,2024-12-29 21:56:56
아메리카노,14096,2024-12-30 03:47:56
케이크,19440,2024-12-30 12:40:56
아메리카노,9478,2024-12-29 19:49:56
아메리카노,16526,2024-12-30 08:09:56
카푸치노,13449,2024-12-30 07:50:56
아메리카노,27566,2024-12-30 08:29:56
아메리카노,4553,2024-12-30 15:40:56
카푸치노,26014,2024-12-30 04:30:56
케이크,2381,2024-12-30 11:33:56
아메리카노,12381,2024-12-29 17:49:56
케이크,24314,2024-12-29 22:12:56
아메리카노,3854,2024-12-30 08:16:56
카푸치노,4108,2024-12-29 22:19:56
아메리카노,1043,2024-12-30 10:30:56
카푸치노,26927,2024-12-30 00:10:56
아메리카노,11444,2024-12-30 15:37:56
아메리카노,18638,2024-12-30 16:41:56
케이크,26325,2024-12-30 09:38:56
케이크,21469,2024-12-29 19:12:56
카푸치노,3632,2024-12-29 23:27:56
케이크,7436,2024-12-30 00:13:56
아메리카노,24638,2024-12-29 23:49:56
카푸치노,5056,2024-12-30 02:32:56
케이크,16530,2024-12-29 21:50:56
아메리카노,19719,2024-12-30 13:37:56
카푸치노,15361,2024-12-29 20:45:56
케이크,23523,2024-12-29 18:19:56
아메리카노,16979,2024-12-29 23:25:56
아메리카노,16751,2024-12-29 22:01:56
케이크,17179,2024-12-30 00:54:56
카푸치노,6836,2024-12-30 17:14:56
케이크,21056,2024-12-30 09:02:56
카푸치노,4430,2024-12-30 15:31:56
아메리카노,16566,2024-12-29 23:06:56
카푸치노,4465,2024-12-30 05:44:56
카푸치노,28175,2024-12-30 06:44:56
케이크,29585,2024-12-30 11:17:56
아메리카노,27477,2024-12-30 17:12:56
케이크,10993,2024-12-30 01:53:56
아메리카노,1387,2024-12-29 19:45:56
케이크,18724,2024-12-30 01:42:56
아메리카노,4861,2024-12-30 01:04:56
카푸치노,9351,2024-12-30 04:41:56
아메리카노,14290,2024-12-29 22:05:56
아메리카노,3325,2024-12-30 12:07:56
케이크,2756,2024-12-29 21:52:56
케이크,27487,2024-12-30 10:47:56
아메리카노,20638,2024-12-30 06:02:56
카푸치노,29935,2024-12-29 19:59:56
카푸치노,22131,2024-12-30 08:49:56
케이크,21304,2024-12-29 23:34:56
케이크,8717,2024-12-30 09:05:56
아메리카노,20624,2024-12-30 07:45:56
카푸치노,4380,2024-12-30 06:32:56
카푸치노,28305,2024-12-30 04:26:56
카푸치노,16777,2024-12-29 19:50:56
케이크,11097,2024-12-30 15:01:56
아메리카노,26365,2024-12-30 00:08:56
케이크,24589,2024-12-30 01:39:56
카푸치노,16869,2024-12-30 08:55:56
아메리카노,3043,2024-12-29 19:02:56
케이크,4528,2024-12-29 22:56:56
아메리카노,20131,2024-12-30 02:05:56
카푸치노,27620,2024-12-30 14:29:56
케이크,21965,2024-12-29 20:37:56
케이크,11237,2024-12-30 13:05:56
카푸치노,19271,2024-12-30 14:43:56
카푸치노,11955,2024-12-29 18:15:56
아메리카노,1441,2024-12-29 20:35:56
아메리카노,26163,2024-12-30 00:46:56
카푸치노,4915,2024-12-29 23:47:56
카푸치노,23349,2024-12-30 12:38:56
카푸치노,11959,2024-12-30 08:00:56
카푸치노,24825,2024-12-30 12:46:56
케이크,27153,2024-12-30 06:39:56
카푸치노,3354,2024-12-30 06:31:56
아메리카노,12718,2024-12-30 00:42:56
