menu,price,order_time
김밥,28814,2024-12-30 05:30:56
떡볶이,17665,2024-12-29 23:00:56
김밥,3101,2024-12-30 09:08:56
떡볶이,10894,2024-12-30 10:07:56
떡볶이,20739,2024-12-30 05:15:56
김밥,9076,2024-12-30 03:32:56
떡볶이,23486,2024-12-29 23:12:56
만두,8949,2024-12-29 20:10:56
김밥,7156,2024-12-30 06:45:56
떡볶이,6280,2024-12-30 04:02:56
떡볶이,10485,2024-12-30 15:51:56
떡볶이,6686,2024-12-30 03:01:56
떡볶이,27003,2024-12-30 06:37:56
떡볶이,24934,2024-12-30 07:58:56
만두,3243,2024-12-30 09:45:56
떡볶이,7747,2024-12-30 09:53:56
김밥,7932,2024-12-30 15:56:56
김밥,27383,2024-12-30 16:30:56
김밥,21946,2024-12-30 01:43:56
김밥,27832,2024-12-29 20:46:56
김밥,25407,2024-12-30 07:10:56
만두,26420,2024-12-30 14:57:56
떡볶이,11822,2024-12-30 02:57:56
떡볶이,3078,2024-12-30 09:21:56
떡볶이,18454,2024-12-30 10:10:56
떡볶이,2375,2024-12-30 13:44:56
떡볶이,14116,2024-12-30 01:53:56
만두,3262,2024-12-30 01:42:56
떡볶이,9698,2024-12-30 09:07:56
떡볶이,26081,2024-12-29 23:52:56
만두,27073,2024-12-30 15:09:56
만두,3153,2024-12-30 09:42:56
떡볶이,3536,2024-12-29 19:45:56
만두,14128,2024-12-30 04:49:56
김밥,18438,2024-12-29 22:44:56
김밥,4459,2024-12-30 02:38:56
떡볶이,18323,2024-12-30 16:04:56
김밥,17013,2024-12-30 08:45:56
김밥,22763,2024-12-29 20:21:56
만두,7247,2024-12-29 23:30:56
떡볶이,13892,2024-12-30 02:00:56
김밥,18551,2024-12-30 02:44:56
만두,28212,2024-12-29 20:23:56
김밥,13518,2024-12-30 07:49:56
김밥,15779,2024-12-30 10:08:56
만두,25515,2024-12-29 19:30:56
떡볶이,17379,2024-12-29 19:35:56
떡볶이,25719,2024-12-30 17:15:56
김밥,5040,2024-12-30 09:19:56
만두,13810,2024-12-29 18:01:56
만두,19906,2024-12-29 22:23:56
떡볶이,3862,2024-12-30 14:37:56
떡볶이,5838,2024-12-29 23:40:56
떡볶이,8723,2024-12-30 16:40:56
만두,13066,2024-12-30 04:42:56
만두,8383,2024-12-30 06:28:56
김밥,21693,2024-12-29 21:43:56
만두,22411,2024-12-30 14:47:56
김밥,24294,2024-12-30 05:25:56
떡볶이,20919,2024-12-30 07:07:56
만두,25077,2024-12-30 01:57:56
만두,21989,2024-12-30 12:59:56
김밥,6754,2024-12-30 08:18:56
만두,10102,2024-12-30 07:24:56
김밥,6154,2024-12-29 23:26:56
떡볶이,11590,2024-12-30 11:48:56
김밥,20391,2024-12-30 07:00:56
떡볶이,26954,2024-12-30 04:25:56
떡볶이,20588,2024-12-30 05:22:56
떡볶이,9296,2024-12-30 13:39:56
떡볶이,22871,2024-12-30 01:16:56
만두,13236,2024-12-30 11:14:56
김밥,14119,2024-12-30 13:30:56
만두,26921,2024-12-30 01:15:56
김밥,9195,2024-12-30 14:46:56
떡볶이,23931,2024-12-30 15:34:56
만두,14575,2024-12-30 11:09:56
만두,16768,2024-12-30 02:12:56
떡볶이,8761,2024-12-30 05:42:56
만두,4218,2024-12-30 01:53:56
만두,28303,2024-12-30 12:06:56
떡볶이,13021,2024-12-29 22:49:56
김밥,7265,2024-12-30 16:39:56
만두,25145,2024-12-30 16:33:56
김밥,24254,2024-12-30 05:27:56
김밥,28112,2024-12-30 16:18:56
김밥,16654,2024-12-29 21:11:56
김밥,16310,2024-12-30 03:14:56
떡볶이,10768,2024-12-30 07:58:56
김밥,4769,2024-12-29 23:04:56
김밥,12126,2024-12-30 13:15:56
만두,27597,2024-12-29 20:12:56
만두,29573,2024-12-29 17:48:56
만두,18173,2024-12-30 06:33:56
만두,17803,2024-12-30 09:15:56
떡볶이,8406,2024-12-30 09:07:56
만두,11242,2024-12-30 03:03:56
김밥,7528,2024-12-29 19:49:56
떡볶이,22639,2024-12-30 10:53:56
김밥,23267,2024-12-30 14:45:56
