menu,price,order_time
케이크,21217,2024-12-30 14:54:56
케이크,9676,2024-12-30 11:48:56
케이크,23546,2024-12-30 02:03:56
케이크,14922,2024-12-30 10:27:56
카푸치노,2585,2024-12-30 14:39:56
카푸치노,29583,2024-12-29 21:21:56
아메리카노,9552,2024-12-30 15:19:56
케이크,8348,2024-12-30 13:59:56
아메리카노,21989,2024-12-29 19:16:56
케이크,7969,2024-12-30 09:53:56
카푸치노,7378,2024-12-30 08:01:56
케이크,8755,2024-12-30 11:07:56
케이크,9448,2024-12-30 14:48:56
케이크,22030,2024-12-30 13:16:56
아메리카노,29209,2024-12-30 15:05:56
카푸치노,24528,2024-12-30 06:35:56
아메리카노,29017,2024-12-30 09:30:56
카푸치노,14641,2024-12-29 19:09:56
아메리카노,19544,2024-12-30 03:58:56
카푸치노,10764,2024-12-30 06:09:56
케이크,5105,2024-12-30 06:43:56
케이크,28458,2024-12-30 02:50:56
케이크,21190,2024-12-30 08:19:56
케이크,16763,2024-12-29 18:48:56
카푸치노,29421,2024-12-30 13:03:56
아메리카노,22319,2024-12-30 11:31:56
아메리카노,27366,2024-12-29 21:38:56
카푸치노,13988,2024-12-30 01:58:56
카푸치노,23283,2024-12-30 13:12:56
케이크,5986,2024-12-30 11:13:56
케이크,28939,2024-12-30 14:48:56
카푸치노,14689,2024-12-30 15:05:56
아메리카노,16215,2024-12-30 05:56:56
카푸치노,2893,2024-12-29 21:04:56
아메리카노,24073,2024-12-29 22:16:56
아메리카노,9027,2024-12-29 22:33:56
카푸치노,10110,2024-12-29 17:30:56
카푸치노,5016,2024-12-30 00:10:56
카푸치노,25298,2024-12-30 06:34:56
케이크,4172,2024-12-30 16:19:56
아메리카노,12534,2024-12-30 15:59:56
카푸치노,15638,2024-12-30 15:18:56
아메리카노,12590,2024-12-30 16:41:56
카푸치노,6348,2024-12-30 13:41:56
아메리카노,23268,2024-12-30 17:16:56
케이크,24830,2024-12-30 01:14:56
카푸치노,19884,2024-12-29 22:23:56
케이크,23260,2024-12-29 22:26:56
카푸치노,27035,2024-12-29 23:59:56
케이크,29468,2024-12-30 00:17:56
케이크,7812,2024-12-30 06:49:56
아메리카노,16686,2024-12-30 01:22:56
케이크,22403,2024-12-30 03:22:56
케이크,8764,2024-12-30 05:54:56
케이크,21798,2024-12-30 07:14:56
아메리카노,3030,2024-12-30 05:31:56
케이크,15645,2024-12-29 22:05:56
아메리카노,13513,2024-12-30 15:51:56
카푸치노,28822,2024-12-30 08:04:56
케이크,8963,2024-12-30 13:00:56
아메리카노,10455,2024-12-30 13:34:56
케이크,21885,2024-12-30 04:16:56
케이크,4482,2024-12-29 21:42:56
카푸치노,15315,2024-12-30 05:46:56
케이크,15523,2024-12-29 17:34:56
아메리카노,28244,2024-12-30 00:58:56
카푸치노,19537,2024-12-30 00:29:56
아메리카노,18452,2024-12-29 18:55:56
카푸치노,18180,2024-12-30 09:58:56
아메리카노,11689,2024-12-29 22:33:56
카푸치노,9834,2024-12-29 18:06:56
케이크,25769,2024-12-29 23:54:56
아메리카노,14563,2024-12-30 13:52:56
카푸치노,7399,2024-12-29 17:28:56
카푸치노,23634,2024-12-30 11:17:56
케이크,26085,2024-12-29 21:46:56
케이크,23415,2024-12-30 14:35:56
카푸치노,3741,2024-12-29 22:26:56
케이크,22746,2024-12-30 16:15:56
아메리카노,1022,2024-12-30 14:35:56
케이크,23692,2024-12-30 00:28:56
케이크,22865,2024-12-29 19:44:56
카푸치노,12098,2024-12-29 23:16:56
카푸치노,1309,2024-12-30 15:54:56
아메리카노,3959,2024-12-29 22:25:56
카푸치노,10261,2024-12-30 15:25:56
아메리카노,23184,2024-12-29 18:09:56
아메리카노,21834,2024-12-30 00:10:56
아메리카노,4986,2024-12-30 04:17:56
케이크,21803,2024-12-30 13:55:56
케이크,13236,2024-12-30 08:38:56
카푸치노,23754,2024-12-30 10:50:56
케이크,17715,2024-12-30 09:58:56
케이크,4048,2024-12-30 12:05:56
케이크,17759,2024-12-30 00:33:56
카푸치노,21846,2024-12-30 13:00:56
케이크,11236,2024-12-30 09:33:56
카푸치노,13003,2024-12-29 23:46:56
카푸치노,21073,2024-12-30 14:00:56
카푸치노,13382,2024-12-30 01:16:56
