menu,price,order_time
연어초밥,20510,2024-12-29 19:34:57
참치회,26250,2024-12-29 22:32:57
광어회,20405,2024-12-30 03:46:57
참치회,11566,2024-12-30 01:47:57
참치회,27791,2024-12-30 06:40:57
참치회,27384,2024-12-29 23:51:57
연어초밥,3267,2024-12-30 12:28:57
참치회,17672,2024-12-30 04:22:57
연어초밥,26345,2024-12-29 17:41:57
연어초밥,18913,2024-12-30 16:36:57
광어회,24482,2024-12-29 18:25:57
연어초밥,13551,2024-12-30 05:44:57
참치회,17209,2024-12-29 19:05:57
참치회,27637,2024-12-30 04:44:57
연어초밥,13468,2024-12-30 10:40:57
광어회,11707,2024-12-30 01:12:57
광어회,3277,2024-12-29 23:14:57
연어초밥,9892,2024-12-29 20:55:57
참치회,21576,2024-12-30 11:40:57
광어회,16060,2024-12-30 02:05:57
광어회,15813,2024-12-30 05:06:57
연어초밥,29143,2024-12-29 23:21:57
광어회,3296,2024-12-30 05:05:57
광어회,23032,2024-12-29 18:18:57
연어초밥,7334,2024-12-30 06:25:57
참치회,15022,2024-12-30 04:51:57
참치회,14880,2024-12-30 05:52:57
광어회,22368,2024-12-30 05:09:57
참치회,23811,2024-12-30 04:43:57
연어초밥,6284,2024-12-30 12:02:57
연어초밥,14341,2024-12-30 05:01:57
광어회,18685,2024-12-30 14:13:57
연어초밥,9721,2024-12-30 12:48:57
참치회,11808,2024-12-29 19:54:57
광어회,27810,2024-12-30 01:35:57
참치회,21785,2024-12-29 18:12:57
참치회,14414,2024-12-29 18:11:57
참치회,6574,2024-12-29 21:25:57
연어초밥,8257,2024-12-30 11:41:57
참치회,4380,2024-12-30 05:05:57
연어초밥,16272,2024-12-30 15:32:57
참치회,18849,2024-12-30 14:37:57
참치회,28513,2024-12-30 14:17:57
광어회,11950,2024-12-30 00:07:57
참치회,18858,2024-12-29 17:42:57
연어초밥,5631,2024-12-30 16:00:57
연어초밥,14593,2024-12-29 23:21:57
연어초밥,17622,2024-12-30 11:53:57
광어회,26750,2024-12-30 12:26:57
연어초밥,5150,2024-12-30 16:06:57
연어초밥,10041,2024-12-29 19:21:57
연어초밥,3665,2024-12-29 20:42:57
참치회,14742,2024-12-30 14:12:57
광어회,14080,2024-12-30 05:42:57
참치회,14034,2024-12-30 02:29:57
참치회,3069,2024-12-29 20:12:57
참치회,22546,2024-12-29 23:13:57
광어회,11277,2024-12-30 12:52:57
참치회,18067,2024-12-29 19:15:57
광어회,17085,2024-12-30 12:22:57
연어초밥,2953,2024-12-30 11:11:57
참치회,14389,2024-12-30 08:17:57
광어회,9351,2024-12-30 00:24:57
연어초밥,4205,2024-12-30 07:46:57
참치회,1330,2024-12-30 06:28:57
연어초밥,27363,2024-12-29 18:09:57
연어초밥,28889,2024-12-30 11:22:57
참치회,3977,2024-12-30 11:38:57
참치회,26591,2024-12-30 02:17:57
연어초밥,7577,2024-12-30 03:25:57
연어초밥,27525,2024-12-30 16:07:57
참치회,13471,2024-12-29 21:30:57
연어초밥,27073,2024-12-30 04:38:57
광어회,23557,2024-12-30 14:32:57
광어회,27970,2024-12-30 04:33:57
광어회,20257,2024-12-30 11:56:57
연어초밥,19137,2024-12-30 02:48:57
광어회,6622,2024-12-30 13:46:57
광어회,7751,2024-12-30 15:04:57
참치회,7134,2024-12-30 14:41:57
참치회,24912,2024-12-29 21:53:57
참치회,10121,2024-12-30 08:17:57
광어회,19220,2024-12-29 19:16:57
참치회,25412,2024-12-29 19:18:57
연어초밥,2159,2024-12-30 05:29:57
참치회,19739,2024-12-30 10:53:57
연어초밥,26025,2024-12-30 15:48:57
참치회,7487,2024-12-30 12:20:57
광어회,14795,2024-12-30 11:11:57
참치회,2319,2024-12-30 00:21:57
연어초밥,11731,2024-12-30 07:31:57
광어회,12457,2024-12-29 18:36:57
연어초밥,7792,2024-12-30 15:08:57
광어회,18719,2024-12-30 10:40:57
참치회,8883,2024-12-30 00:10:57
연어초밥,29033,2024-12-30 12:57:57
광어회,1368,2024-12-29 22:18:57
참치회,14383,2024-12-29 22:53:57
광어회,3322,2024-12-30 06:38:57
연어초밥,22420,2024-12-30 10:02:57
