menu,price,order_time
닭강정,8714,2024-12-29 23:59:56
떡볶이,22478,2024-12-30 16:09:56
떡볶이,13544,2024-12-30 05:32:56
떡볶이,12794,2024-12-30 03:07:56
떡볶이,8009,2024-12-30 02:20:56
닭강정,14272,2024-12-29 21:10:56
떡볶이,18344,2024-12-30 07:09:56
떡볶이,27942,2024-12-29 19:40:56
떡볶이,6854,2024-12-30 09:37:56
닭강정,14491,2024-12-29 19:36:56
떡볶이,27278,2024-12-30 16:23:56
떡볶이,13431,2024-12-30 07:12:56
감자튀김,18191,2024-12-30 13:48:56
떡볶이,18014,2024-12-30 11:22:56
닭강정,24324,2024-12-30 11:27:56
떡볶이,6267,2024-12-30 14:00:56
닭강정,12966,2024-12-30 14:36:56
떡볶이,15055,2024-12-30 05:18:56
닭강정,24304,2024-12-30 13:49:56
닭강정,7100,2024-12-30 09:12:56
닭강정,7492,2024-12-30 14:22:56
닭강정,8881,2024-12-30 09:34:56
떡볶이,21550,2024-12-29 22:26:56
떡볶이,18518,2024-12-30 10:13:56
닭강정,23745,2024-12-29 18:21:56
닭강정,1463,2024-12-29 17:42:56
떡볶이,20150,2024-12-29 21:21:56
감자튀김,11029,2024-12-29 21:40:56
떡볶이,1952,2024-12-30 00:55:56
떡볶이,24741,2024-12-29 17:22:56
감자튀김,28105,2024-12-30 11:38:56
떡볶이,22335,2024-12-30 11:38:56
닭강정,9094,2024-12-29 17:48:56
떡볶이,14675,2024-12-30 10:08:56
닭강정,11169,2024-12-30 15:03:56
감자튀김,27750,2024-12-30 08:29:56
떡볶이,11754,2024-12-30 11:53:56
감자튀김,25916,2024-12-30 05:31:56
닭강정,10380,2024-12-29 19:36:56
떡볶이,13731,2024-12-30 05:50:56
감자튀김,14379,2024-12-29 20:48:56
감자튀김,19902,2024-12-30 03:20:56
닭강정,1770,2024-12-30 13:05:56
감자튀김,29229,2024-12-30 11:26:56
떡볶이,23220,2024-12-30 12:03:56
감자튀김,15161,2024-12-29 18:19:56
감자튀김,16827,2024-12-30 11:30:56
떡볶이,5375,2024-12-30 16:06:56
떡볶이,13939,2024-12-30 16:25:56
닭강정,11908,2024-12-29 23:21:56
떡볶이,5893,2024-12-30 07:31:56
감자튀김,18479,2024-12-30 17:14:56
떡볶이,12768,2024-12-30 15:59:56
감자튀김,13079,2024-12-30 07:12:56
감자튀김,23456,2024-12-30 16:55:56
감자튀김,4427,2024-12-30 10:19:56
떡볶이,6743,2024-12-29 21:26:56
닭강정,25556,2024-12-30 06:21:56
떡볶이,26785,2024-12-30 03:12:56
닭강정,17270,2024-12-30 02:13:56
닭강정,18182,2024-12-30 16:16:56
떡볶이,27455,2024-12-29 20:00:56
떡볶이,28942,2024-12-30 14:13:56
감자튀김,24821,2024-12-30 00:08:56
닭강정,15818,2024-12-29 21:20:56
감자튀김,22193,2024-12-30 03:14:56
감자튀김,12729,2024-12-30 14:11:56
떡볶이,11787,2024-12-30 16:42:56
떡볶이,19825,2024-12-30 11:45:56
감자튀김,3962,2024-12-30 12:18:56
감자튀김,20321,2024-12-30 06:44:56
감자튀김,12324,2024-12-30 12:13:56
떡볶이,10475,2024-12-30 05:58:56
감자튀김,14403,2024-12-30 01:24:56
닭강정,24706,2024-12-30 17:11:56
떡볶이,15243,2024-12-30 10:13:56
감자튀김,25945,2024-12-29 22:29:56
감자튀김,3733,2024-12-30 05:02:56
닭강정,24915,2024-12-30 04:03:56
떡볶이,17602,2024-12-30 04:07:56
감자튀김,4590,2024-12-30 09:52:56
닭강정,2347,2024-12-30 07:44:56
감자튀김,2892,2024-12-30 06:17:56
감자튀김,27867,2024-12-30 01:44:56
감자튀김,23580,2024-12-29 20:56:56
닭강정,16497,2024-12-30 03:49:56
감자튀김,16676,2024-12-30 09:23:56
감자튀김,1145,2024-12-29 19:26:56
떡볶이,23214,2024-12-30 07:44:56
떡볶이,1952,2024-12-29 23:01:56
감자튀김,24472,2024-12-30 02:01:56
떡볶이,14458,2024-12-30 10:36:56
감자튀김,19553,2024-12-30 13:40:56
닭강정,17379,2024-12-30 11:15:56
감자튀김,29704,2024-12-30 07:07:56
감자튀김,13626,2024-12-29 23:00:56
떡볶이,25245,2024-12-29 17:26:56
닭강정,28227,2024-12-30 13:00:56
닭강정,3509,2024-12-30 13:21:56
감자튀김,20370,2024-12-29 20:46:56
