menu,price,order_time
감자튀김,8909,2024-12-30 07:56:56
감자튀김,4422,2024-12-30 14:16:56
떡볶이,1594,2024-12-30 14:13:56
닭강정,17540,2024-12-30 07:46:56
닭강정,27678,2024-12-30 10:15:56
닭강정,1917,2024-12-29 20:19:56
감자튀김,20828,2024-12-30 07:11:56
떡볶이,28890,2024-12-30 03:16:56
떡볶이,6422,2024-12-30 11:28:56
떡볶이,5334,2024-12-30 11:31:56
떡볶이,15697,2024-12-30 11:30:56
떡볶이,22850,2024-12-29 20:41:56
감자튀김,4581,2024-12-29 17:46:56
떡볶이,10758,2024-12-29 20:55:56
떡볶이,12277,2024-12-29 20:06:56
닭강정,1588,2024-12-30 13:03:56
닭강정,23079,2024-12-30 02:00:56
떡볶이,25515,2024-12-29 17:54:56
떡볶이,2996,2024-12-30 12:38:56
떡볶이,26784,2024-12-29 21:34:56
감자튀김,1011,2024-12-30 04:02:56
감자튀김,24814,2024-12-30 16:02:56
떡볶이,29039,2024-12-30 05:42:56
떡볶이,7242,2024-12-30 08:45:56
감자튀김,12707,2024-12-29 19:13:56
떡볶이,8568,2024-12-30 02:52:56
떡볶이,5251,2024-12-29 19:57:56
감자튀김,16528,2024-12-29 19:47:56
감자튀김,22344,2024-12-29 23:27:56
떡볶이,2877,2024-12-30 12:13:56
떡볶이,26796,2024-12-29 20:36:56
닭강정,5884,2024-12-29 21:26:56
감자튀김,11704,2024-12-30 00:18:56
떡볶이,6526,2024-12-30 12:36:56
닭강정,24560,2024-12-30 07:43:56
닭강정,3184,2024-12-30 16:50:56
감자튀김,28261,2024-12-30 14:14:56
감자튀김,22730,2024-12-30 08:05:56
떡볶이,7405,2024-12-29 22:22:56
닭강정,1183,2024-12-30 01:00:56
닭강정,18918,2024-12-29 20:59:56
닭강정,6410,2024-12-29 23:10:56
닭강정,13757,2024-12-30 14:41:56
닭강정,23911,2024-12-30 05:20:56
감자튀김,27438,2024-12-29 23:49:56
떡볶이,8204,2024-12-29 17:56:56
떡볶이,19234,2024-12-30 15:18:56
떡볶이,20757,2024-12-30 06:15:56
닭강정,19327,2024-12-30 13:19:56
떡볶이,4093,2024-12-29 23:46:56
닭강정,19550,2024-12-30 13:01:56
떡볶이,13451,2024-12-30 13:36:56
닭강정,11800,2024-12-30 06:37:56
떡볶이,10387,2024-12-30 06:27:56
감자튀김,23112,2024-12-30 05:58:56
감자튀김,11302,2024-12-29 22:24:56
감자튀김,5194,2024-12-30 00:10:56
닭강정,12965,2024-12-29 21:19:56
닭강정,3887,2024-12-30 00:00:56
닭강정,14257,2024-12-30 06:58:56
닭강정,11367,2024-12-30 02:03:56
닭강정,21448,2024-12-30 13:24:56
떡볶이,16484,2024-12-30 15:12:56
떡볶이,12834,2024-12-30 07:21:56
감자튀김,12089,2024-12-30 03:02:56
떡볶이,6041,2024-12-29 18:03:56
닭강정,2419,2024-12-30 14:49:56
감자튀김,11061,2024-12-30 06:12:56
감자튀김,2957,2024-12-29 20:45:56
감자튀김,15255,2024-12-30 16:44:56
떡볶이,2442,2024-12-29 23:09:56
닭강정,10184,2024-12-29 19:33:56
닭강정,26241,2024-12-30 14:52:56
감자튀김,15463,2024-12-30 10:45:56
감자튀김,6868,2024-12-29 22:55:56
닭강정,17092,2024-12-30 13:56:56
떡볶이,2992,2024-12-29 22:19:56
감자튀김,18151,2024-12-30 15:39:56
감자튀김,9047,2024-12-30 02:43:56
닭강정,26020,2024-12-30 09:47:56
떡볶이,21025,2024-12-29 22:37:56
닭강정,6549,2024-12-29 20:49:56
닭강정,7087,2024-12-30 09:00:56
떡볶이,17826,2024-12-30 05:24:56
감자튀김,25111,2024-12-30 11:44:56
닭강정,16495,2024-12-30 05:03:56
떡볶이,21510,2024-12-29 17:47:56
닭강정,29041,2024-12-30 10:45:56
닭강정,1624,2024-12-30 12:38:56
떡볶이,21917,2024-12-29 21:19:56
떡볶이,24969,2024-12-30 07:44:56
감자튀김,26497,2024-12-30 16:55:56
닭강정,17270,2024-12-30 08:55:56
감자튀김,21356,2024-12-30 16:05:56
떡볶이,24988,2024-12-30 07:23:56
닭강정,14701,2024-12-30 13:14:56
닭강정,29988,2024-12-30 10:30:56
떡볶이,4408,2024-12-30 07:58:56
닭강정,20165,2024-12-29 19:40:56
떡볶이,9497,2024-12-29 21:24:56
