menu,price,order_time
감자튀김,16031,2024-12-30 11:39:56
감자튀김,29242,2024-12-29 17:49:56
떡볶이,7739,2024-12-29 19:39:56
닭강정,24014,2024-12-30 07:17:56
닭강정,12005,2024-12-30 05:03:56
닭강정,21476,2024-12-30 07:37:56
떡볶이,15298,2024-12-30 00:50:56
감자튀김,24617,2024-12-29 21:53:56
떡볶이,26350,2024-12-30 04:19:56
닭강정,17490,2024-12-30 15:20:56
떡볶이,14030,2024-12-29 22:57:56
닭강정,11195,2024-12-29 21:09:56
닭강정,18333,2024-12-30 08:52:56
감자튀김,3814,2024-12-30 06:00:56
떡볶이,11357,2024-12-29 21:28:56
닭강정,4304,2024-12-30 00:52:56
감자튀김,11370,2024-12-30 03:07:56
떡볶이,2076,2024-12-30 13:34:56
떡볶이,28833,2024-12-30 17:00:56
떡볶이,19240,2024-12-30 07:25:56
닭강정,1629,2024-12-30 04:16:56
닭강정,28116,2024-12-30 09:55:56
떡볶이,7711,2024-12-29 21:10:56
닭강정,5309,2024-12-30 10:00:56
감자튀김,16654,2024-12-30 06:07:56
떡볶이,21876,2024-12-30 08:07:56
닭강정,20214,2024-12-29 18:54:56
감자튀김,18644,2024-12-30 05:18:56
감자튀김,1388,2024-12-30 09:52:56
떡볶이,8510,2024-12-29 17:23:56
떡볶이,20122,2024-12-30 02:20:56
닭강정,5775,2024-12-29 20:41:56
닭강정,19855,2024-12-30 15:04:56
닭강정,2302,2024-12-30 15:00:56
감자튀김,9301,2024-12-29 22:11:56
감자튀김,22917,2024-12-29 17:40:56
닭강정,6545,2024-12-30 09:35:56
닭강정,19442,2024-12-29 21:59:56
감자튀김,10830,2024-12-30 14:36:56
닭강정,12864,2024-12-29 22:56:56
감자튀김,29895,2024-12-30 06:40:56
떡볶이,26534,2024-12-30 05:29:56
떡볶이,10622,2024-12-30 04:15:56
떡볶이,8340,2024-12-29 22:49:56
닭강정,11030,2024-12-30 04:05:56
닭강정,13277,2024-12-30 08:46:56
떡볶이,24602,2024-12-30 15:54:56
떡볶이,9506,2024-12-30 12:00:56
감자튀김,18911,2024-12-29 20:33:56
감자튀김,14224,2024-12-30 17:21:56
감자튀김,2679,2024-12-30 03:28:56
닭강정,15914,2024-12-30 01:49:56
감자튀김,14342,2024-12-30 12:17:56
감자튀김,7006,2024-12-29 22:00:56
감자튀김,5403,2024-12-30 10:28:56
떡볶이,10460,2024-12-30 04:03:56
감자튀김,5548,2024-12-30 12:49:56
감자튀김,3146,2024-12-30 17:19:56
감자튀김,10197,2024-12-29 18:51:56
감자튀김,8394,2024-12-30 03:58:56
떡볶이,27100,2024-12-30 13:10:56
감자튀김,6494,2024-12-30 06:02:56
닭강정,6971,2024-12-30 01:54:56
닭강정,13965,2024-12-29 19:58:56
닭강정,17232,2024-12-30 10:24:56
떡볶이,21659,2024-12-30 16:39:56
감자튀김,14729,2024-12-30 16:11:56
감자튀김,3904,2024-12-30 13:47:56
떡볶이,29139,2024-12-30 04:58:56
닭강정,1571,2024-12-29 18:26:56
감자튀김,21765,2024-12-30 14:13:56
떡볶이,26339,2024-12-30 03:13:56
닭강정,25292,2024-12-30 09:58:56
닭강정,7089,2024-12-30 03:40:56
닭강정,5159,2024-12-29 18:27:56
닭강정,12348,2024-12-30 03:08:56
떡볶이,13393,2024-12-29 23:42:56
감자튀김,21076,2024-12-30 05:23:56
닭강정,22858,2024-12-29 20:51:56
감자튀김,21493,2024-12-29 22:20:56
감자튀김,10761,2024-12-30 07:19:56
감자튀김,7855,2024-12-30 07:24:56
감자튀김,5129,2024-12-30 03:48:56
닭강정,18254,2024-12-30 07:10:56
떡볶이,20806,2024-12-30 06:49:56
닭강정,4164,2024-12-30 09:56:56
떡볶이,20577,2024-12-30 00:03:56
감자튀김,21384,2024-12-29 23:55:56
닭강정,16852,2024-12-30 11:32:56
닭강정,20915,2024-12-30 08:48:56
떡볶이,20517,2024-12-30 04:02:56
감자튀김,16218,2024-12-30 15:05:56
떡볶이,11504,2024-12-30 12:59:56
닭강정,15204,2024-12-29 19:31:56
닭강정,9530,2024-12-30 03:47:56
감자튀김,23573,2024-12-29 22:14:56
감자튀김,3703,2024-12-30 01:57:56
닭강정,13923,2024-12-30 05:03:56
감자튀김,7228,2024-12-29 22:55:56
떡볶이,15007,2024-12-30 17:19:56
