menu,price,order_time
아메리카노,13864,2024-12-30 09:24:56
아메리카노,23030,2024-12-30 14:52:56
카푸치노,6175,2024-12-30 02:31:56
아메리카노,4915,2024-12-30 14:15:56
아메리카노,27137,2024-12-29 20:19:56
카푸치노,9899,2024-12-30 03:47:56
아메리카노,29413,2024-12-30 00:28:56
카푸치노,10993,2024-12-30 11:06:56
카푸치노,27749,2024-12-29 21:24:56
아메리카노,21372,2024-12-30 13:28:56
카푸치노,15027,2024-12-29 20:11:56
카푸치노,25958,2024-12-29 21:36:56
케이크,3478,2024-12-29 21:06:56
아메리카노,12292,2024-12-29 21:02:56
케이크,14108,2024-12-30 03:05:56
아메리카노,29123,2024-12-30 06:45:56
아메리카노,5661,2024-12-30 12:58:56
케이크,3002,2024-12-30 02:19:56
아메리카노,3349,2024-12-30 08:21:56
케이크,25469,2024-12-30 13:42:56
카푸치노,27561,2024-12-29 22:38:56
아메리카노,29761,2024-12-30 04:49:56
아메리카노,28313,2024-12-29 20:09:56
케이크,8325,2024-12-30 07:44:56
케이크,13430,2024-12-30 02:12:56
케이크,18138,2024-12-30 07:01:56
카푸치노,24559,2024-12-30 09:39:56
아메리카노,1482,2024-12-29 21:14:56
케이크,10598,2024-12-30 04:25:56
아메리카노,19212,2024-12-30 14:42:56
아메리카노,12972,2024-12-30 14:51:56
아메리카노,28669,2024-12-30 00:37:56
아메리카노,2479,2024-12-30 12:01:56
아메리카노,27748,2024-12-30 12:34:56
아메리카노,25011,2024-12-29 18:42:56
케이크,17788,2024-12-30 10:18:56
카푸치노,9441,2024-12-30 09:52:56
카푸치노,29656,2024-12-30 12:55:56
아메리카노,27067,2024-12-29 20:34:56
아메리카노,4753,2024-12-29 23:20:56
아메리카노,27421,2024-12-29 21:46:56
케이크,17485,2024-12-30 14:57:56
아메리카노,15072,2024-12-30 15:17:56
카푸치노,12311,2024-12-30 14:10:56
아메리카노,8522,2024-12-30 10:20:56
아메리카노,7701,2024-12-30 17:00:56
아메리카노,23309,2024-12-30 11:55:56
케이크,29900,2024-12-29 23:01:56
카푸치노,27283,2024-12-30 08:20:56
케이크,23659,2024-12-29 22:58:56
케이크,14665,2024-12-29 21:14:56
케이크,4472,2024-12-30 00:17:56
카푸치노,14307,2024-12-29 19:47:56
카푸치노,18949,2024-12-29 18:03:56
아메리카노,16494,2024-12-30 00:48:56
카푸치노,16898,2024-12-30 09:59:56
케이크,3272,2024-12-30 16:48:56
카푸치노,5211,2024-12-30 02:39:56
아메리카노,2875,2024-12-30 09:11:56
카푸치노,12352,2024-12-30 09:51:56
카푸치노,7366,2024-12-30 00:08:56
아메리카노,25171,2024-12-30 12:01:56
아메리카노,23615,2024-12-30 04:16:56
아메리카노,29716,2024-12-30 06:00:56
카푸치노,15299,2024-12-29 19:12:56
케이크,1056,2024-12-30 17:08:56
카푸치노,25839,2024-12-29 22:03:56
카푸치노,6453,2024-12-30 10:16:56
카푸치노,19343,2024-12-30 07:35:56
아메리카노,26994,2024-12-30 13:43:56
케이크,16358,2024-12-30 02:33:56
케이크,25905,2024-12-30 13:31:56
아메리카노,11142,2024-12-30 10:23:56
케이크,24409,2024-12-29 17:52:56
카푸치노,11988,2024-12-29 22:33:56
아메리카노,26990,2024-12-29 19:53:56
케이크,7067,2024-12-29 18:52:56
아메리카노,7915,2024-12-30 11:18:56
케이크,8904,2024-12-29 19:48:56
케이크,6851,2024-12-30 04:30:56
카푸치노,8406,2024-12-30 04:18:56
카푸치노,1908,2024-12-30 14:01:56
케이크,20938,2024-12-30 01:27:56
케이크,29244,2024-12-30 09:00:56
카푸치노,11647,2024-12-30 04:23:56
아메리카노,10954,2024-12-30 09:29:56
카푸치노,20487,2024-12-30 05:20:56
케이크,19618,2024-12-30 17:09:56
케이크,18858,2024-12-30 11:26:56
아메리카노,4766,2024-12-29 18:33:56
카푸치노,1538,2024-12-29 17:46:56
케이크,4682,2024-12-30 05:54:56
아메리카노,13396,2024-12-29 23:07:56
카푸치노,11253,2024-12-30 14:28:56
카푸치노,19497,2024-12-30 00:10:56
케이크,8959,2024-12-29 19:58:56
카푸치노,26694,2024-12-30 01:39:56
카푸치노,24519,2024-12-30 14:16:56
케이크,11540,2024-12-30 05:54:56
케이크,23271,2024-12-29 17:53:56
