menu,price,order_time
카푸치노,4965,2024-12-30 03:07:56
카푸치노,1284,2024-12-30 05:35:56
아메리카노,24847,2024-12-30 02:17:56
카푸치노,10737,2024-12-29 21:40:56
케이크,4896,2024-12-30 07:39:56
케이크,4277,2024-12-30 00:14:56
케이크,1397,2024-12-30 10:38:56
케이크,5941,2024-12-29 17:33:56
케이크,6187,2024-12-29 22:10:56
케이크,28980,2024-12-29 19:32:56
아메리카노,21381,2024-12-30 06:18:56
아메리카노,13464,2024-12-30 12:38:56
케이크,19452,2024-12-30 08:33:56
케이크,21334,2024-12-30 06:13:56
카푸치노,24712,2024-12-30 04:54:56
아메리카노,9674,2024-12-30 02:55:56
카푸치노,2197,2024-12-30 00:18:56
케이크,27259,2024-12-30 05:29:56
케이크,23493,2024-12-30 09:22:56
카푸치노,4445,2024-12-30 07:24:56
케이크,24112,2024-12-29 19:32:56
케이크,19388,2024-12-29 23:56:56
케이크,22955,2024-12-29 22:04:56
아메리카노,1202,2024-12-29 19:04:56
케이크,10111,2024-12-30 03:50:56
카푸치노,17489,2024-12-30 07:24:56
아메리카노,21777,2024-12-30 04:56:56
아메리카노,22154,2024-12-30 02:11:56
카푸치노,17749,2024-12-30 07:34:56
카푸치노,15770,2024-12-29 18:31:56
아메리카노,18326,2024-12-30 08:45:56
케이크,9068,2024-12-30 16:20:56
카푸치노,9924,2024-12-30 09:44:56
케이크,8053,2024-12-30 09:34:56
카푸치노,4152,2024-12-30 03:01:56
케이크,26211,2024-12-30 15:07:56
카푸치노,9251,2024-12-30 10:29:56
카푸치노,17885,2024-12-29 17:34:56
케이크,8825,2024-12-30 07:36:56
카푸치노,6695,2024-12-30 14:43:56
카푸치노,17181,2024-12-30 08:32:56
케이크,18529,2024-12-30 16:09:56
케이크,26029,2024-12-30 10:07:56
아메리카노,4772,2024-12-30 01:24:56
케이크,4726,2024-12-30 02:43:56
아메리카노,13913,2024-12-29 23:39:56
카푸치노,11891,2024-12-29 18:40:56
아메리카노,18263,2024-12-30 04:17:56
케이크,14089,2024-12-29 20:54:56
케이크,4453,2024-12-29 20:26:56
케이크,17529,2024-12-29 23:26:56
아메리카노,1483,2024-12-30 12:06:56
케이크,10240,2024-12-30 12:41:56
카푸치노,14748,2024-12-30 16:24:56
아메리카노,18394,2024-12-30 00:52:56
아메리카노,20307,2024-12-30 03:17:56
케이크,25208,2024-12-29 19:15:56
아메리카노,29032,2024-12-30 14:35:56
카푸치노,22715,2024-12-30 04:20:56
카푸치노,14426,2024-12-29 21:34:56
아메리카노,10579,2024-12-29 20:46:56
카푸치노,4030,2024-12-29 17:52:56
카푸치노,10426,2024-12-30 08:20:56
케이크,2128,2024-12-30 12:39:56
아메리카노,24146,2024-12-30 14:50:56
카푸치노,25264,2024-12-30 04:36:56
아메리카노,13767,2024-12-30 07:33:56
아메리카노,19459,2024-12-30 03:51:56
케이크,28095,2024-12-30 07:10:56
카푸치노,16989,2024-12-30 15:07:56
케이크,26849,2024-12-30 13:18:56
아메리카노,5153,2024-12-30 12:03:56
카푸치노,8364,2024-12-30 00:24:56
아메리카노,26382,2024-12-30 08:16:56
아메리카노,29396,2024-12-29 21:03:56
아메리카노,15286,2024-12-29 17:56:56
아메리카노,16837,2024-12-30 03:08:56
카푸치노,13263,2024-12-30 00:42:56
케이크,2114,2024-12-30 04:39:56
카푸치노,20684,2024-12-30 08:57:56
아메리카노,4740,2024-12-30 02:41:56
케이크,7606,2024-12-30 00:07:56
아메리카노,13177,2024-12-30 13:13:56
아메리카노,23336,2024-12-30 10:32:56
카푸치노,20836,2024-12-30 01:38:56
아메리카노,1112,2024-12-30 13:10:56
카푸치노,24767,2024-12-30 02:43:56
카푸치노,24834,2024-12-30 16:42:56
아메리카노,18876,2024-12-29 19:09:56
카푸치노,2263,2024-12-30 01:05:56
케이크,27037,2024-12-30 11:42:56
카푸치노,24961,2024-12-30 11:41:56
아메리카노,23173,2024-12-30 13:16:56
케이크,10307,2024-12-30 12:58:56
카푸치노,22303,2024-12-30 02:31:56
카푸치노,9936,2024-12-30 08:20:56
카푸치노,2807,2024-12-30 01:37:56
카푸치노,15334,2024-12-30 12:25:56
아메리카노,21721,2024-12-30 00:31:56
케이크,5837,2024-12-30 02:10:56
