menu,price,order_time
카푸치노,7990,2024-12-29 19:59:56
카푸치노,17051,2024-12-29 20:03:56
케이크,18241,2024-12-30 14:46:56
카푸치노,25541,2024-12-30 05:09:56
케이크,22775,2024-12-29 22:57:56
케이크,7724,2024-12-30 16:58:56
케이크,4357,2024-12-30 01:49:56
케이크,5609,2024-12-30 11:00:56
케이크,21474,2024-12-30 16:06:56
아메리카노,3502,2024-12-30 10:05:56
카푸치노,17006,2024-12-29 22:46:56
아메리카노,1843,2024-12-30 03:00:56
아메리카노,13576,2024-12-30 16:58:56
아메리카노,23902,2024-12-30 13:22:56
케이크,24907,2024-12-30 02:47:56
카푸치노,10697,2024-12-29 22:05:56
카푸치노,4923,2024-12-30 05:38:56
케이크,21440,2024-12-29 23:46:56
카푸치노,9771,2024-12-29 23:54:56
카푸치노,1550,2024-12-30 03:23:56
카푸치노,16114,2024-12-30 06:41:56
아메리카노,29015,2024-12-29 23:54:56
아메리카노,16928,2024-12-30 03:31:56
아메리카노,12907,2024-12-30 10:22:56
카푸치노,4555,2024-12-30 11:19:56
카푸치노,10970,2024-12-29 21:15:56
카푸치노,7779,2024-12-30 07:06:56
아메리카노,23970,2024-12-30 12:42:56
케이크,18483,2024-12-29 18:19:56
아메리카노,23487,2024-12-29 23:13:56
케이크,15612,2024-12-30 09:52:56
카푸치노,19405,2024-12-30 17:11:56
카푸치노,2708,2024-12-30 04:02:56
케이크,28393,2024-12-30 06:07:56
카푸치노,16822,2024-12-29 20:13:56
케이크,13631,2024-12-29 17:34:56
아메리카노,15267,2024-12-30 14:05:56
카푸치노,3777,2024-12-30 07:09:56
케이크,26237,2024-12-29 19:27:56
아메리카노,21183,2024-12-29 21:36:56
케이크,25403,2024-12-30 06:35:56
케이크,29263,2024-12-29 23:40:56
카푸치노,16080,2024-12-30 12:41:56
카푸치노,11524,2024-12-29 22:53:56
카푸치노,15609,2024-12-29 23:19:56
아메리카노,2817,2024-12-30 09:01:56
케이크,1677,2024-12-30 00:49:56
케이크,12523,2024-12-29 19:28:56
아메리카노,20928,2024-12-29 19:57:56
카푸치노,29988,2024-12-30 13:45:56
카푸치노,2533,2024-12-30 11:41:56
아메리카노,6106,2024-12-30 11:36:56
아메리카노,9148,2024-12-29 17:38:56
케이크,26202,2024-12-30 14:44:56
카푸치노,14779,2024-12-30 14:20:56
카푸치노,2218,2024-12-29 18:21:56
카푸치노,23931,2024-12-30 11:37:56
케이크,23781,2024-12-30 07:45:56
아메리카노,22632,2024-12-30 03:09:56
케이크,19040,2024-12-30 16:23:56
아메리카노,7252,2024-12-30 07:30:56
아메리카노,25055,2024-12-30 15:22:56
카푸치노,17841,2024-12-30 06:31:56
케이크,24793,2024-12-30 09:22:56
카푸치노,2284,2024-12-30 11:02:56
케이크,28481,2024-12-30 05:36:56
카푸치노,11271,2024-12-29 19:16:56
카푸치노,5172,2024-12-30 01:45:56
아메리카노,23918,2024-12-29 23:43:56
아메리카노,18591,2024-12-29 22:26:56
아메리카노,28178,2024-12-30 12:13:56
케이크,17998,2024-12-30 10:29:56
케이크,20325,2024-12-30 07:39:56
아메리카노,2090,2024-12-30 08:35:56
카푸치노,27161,2024-12-30 07:10:56
케이크,19528,2024-12-29 17:22:56
케이크,15046,2024-12-29 21:41:56
카푸치노,24518,2024-12-29 19:24:56
케이크,15418,2024-12-30 03:50:56
아메리카노,21517,2024-12-30 15:12:56
카푸치노,28649,2024-12-29 23:27:56
케이크,13740,2024-12-30 06:52:56
아메리카노,19641,2024-12-29 20:11:56
카푸치노,26988,2024-12-30 09:52:56
아메리카노,19877,2024-12-30 04:45:56
케이크,9633,2024-12-29 17:49:56
카푸치노,15895,2024-12-30 07:50:56
아메리카노,23147,2024-12-29 22:10:56
카푸치노,3654,2024-12-30 12:33:56
아메리카노,1455,2024-12-29 22:48:56
아메리카노,21944,2024-12-30 12:52:56
아메리카노,13055,2024-12-30 08:22:56
카푸치노,19470,2024-12-30 00:32:56
아메리카노,11920,2024-12-30 16:36:56
케이크,8548,2024-12-30 14:44:56
케이크,1041,2024-12-30 06:30:56
카푸치노,16390,2024-12-29 19:46:56
카푸치노,2187,2024-12-29 20:02:56
카푸치노,6470,2024-12-29 20:29:56
카푸치노,16227,2024-12-30 10:48:56
