menu,price,order_time
카푸치노,21014,2024-12-30 13:37:56
카푸치노,2674,2024-12-30 06:26:56
케이크,4878,2024-12-30 15:16:56
케이크,16926,2024-12-29 20:10:56
케이크,28008,2024-12-29 18:14:56
카푸치노,15316,2024-12-30 17:19:56
케이크,25263,2024-12-30 07:23:56
케이크,16196,2024-12-30 12:18:56
아메리카노,27817,2024-12-30 00:36:56
카푸치노,24953,2024-12-30 13:53:56
아메리카노,7760,2024-12-29 23:25:56
케이크,15644,2024-12-29 20:24:56
아메리카노,21783,2024-12-30 09:18:56
케이크,7361,2024-12-29 23:09:56
아메리카노,6494,2024-12-30 06:31:56
케이크,25597,2024-12-30 14:49:56
아메리카노,19024,2024-12-30 07:53:56
아메리카노,15247,2024-12-29 23:24:56
아메리카노,6114,2024-12-30 15:32:56
케이크,19283,2024-12-30 16:55:56
카푸치노,2764,2024-12-30 15:08:56
케이크,14869,2024-12-30 03:41:56
카푸치노,25697,2024-12-30 13:06:56
케이크,8426,2024-12-30 01:36:56
카푸치노,27244,2024-12-30 01:33:56
카푸치노,6650,2024-12-30 08:12:56
카푸치노,25752,2024-12-29 18:09:56
케이크,16018,2024-12-30 09:20:56
카푸치노,3176,2024-12-29 23:07:56
아메리카노,24359,2024-12-29 21:05:56
카푸치노,6038,2024-12-30 04:55:56
케이크,3814,2024-12-30 05:26:56
아메리카노,14265,2024-12-29 17:32:56
케이크,17501,2024-12-30 07:53:56
아메리카노,13912,2024-12-30 06:00:56
케이크,21367,2024-12-30 03:16:56
케이크,17800,2024-12-30 08:54:56
아메리카노,21004,2024-12-30 13:00:56
케이크,10677,2024-12-30 16:45:56
아메리카노,22388,2024-12-30 09:03:56
아메리카노,2074,2024-12-29 18:34:56
케이크,21739,2024-12-29 23:06:56
카푸치노,25670,2024-12-30 13:34:56
케이크,24806,2024-12-30 03:55:56
카푸치노,6984,2024-12-30 08:49:56
카푸치노,25805,2024-12-29 18:44:56
아메리카노,9981,2024-12-30 01:48:56
케이크,26625,2024-12-30 06:57:56
카푸치노,19406,2024-12-30 03:12:56
카푸치노,11656,2024-12-29 18:33:56
아메리카노,29509,2024-12-29 21:54:56
카푸치노,22560,2024-12-29 20:20:56
아메리카노,15593,2024-12-29 18:57:56
케이크,16847,2024-12-30 01:03:56
아메리카노,16019,2024-12-30 05:11:56
케이크,22115,2024-12-29 20:58:56
카푸치노,17005,2024-12-30 12:03:56
케이크,3958,2024-12-30 04:47:56
아메리카노,20454,2024-12-30 13:38:56
카푸치노,13451,2024-12-30 09:23:56
케이크,1241,2024-12-29 23:23:56
카푸치노,12671,2024-12-30 14:49:56
케이크,16555,2024-12-29 19:47:56
아메리카노,18351,2024-12-30 13:23:56
아메리카노,14761,2024-12-30 00:08:56
카푸치노,24575,2024-12-30 16:23:56
케이크,1313,2024-12-30 03:55:56
카푸치노,11710,2024-12-30 08:34:56
케이크,15154,2024-12-30 08:54:56
아메리카노,26793,2024-12-30 01:03:56
케이크,26785,2024-12-30 16:47:56
아메리카노,29858,2024-12-30 17:01:56
아메리카노,5547,2024-12-30 05:25:56
아메리카노,13981,2024-12-30 02:16:56
카푸치노,11929,2024-12-30 02:46:56
카푸치노,12911,2024-12-29 19:28:56
카푸치노,7651,2024-12-30 06:01:56
카푸치노,17141,2024-12-30 15:21:56
아메리카노,3042,2024-12-30 12:35:56
케이크,20599,2024-12-30 02:27:56
케이크,5440,2024-12-30 03:30:56
아메리카노,15647,2024-12-30 07:37:56
아메리카노,28158,2024-12-30 05:56:56
카푸치노,11995,2024-12-30 04:36:56
카푸치노,4072,2024-12-29 19:08:56
케이크,11904,2024-12-29 19:27:56
카푸치노,13087,2024-12-29 19:47:56
아메리카노,21721,2024-12-29 18:10:56
아메리카노,9638,2024-12-30 15:04:56
아메리카노,6936,2024-12-30 11:15:56
아메리카노,10435,2024-12-30 04:49:56
카푸치노,15442,2024-12-29 21:30:56
케이크,25389,2024-12-29 17:58:56
케이크,29579,2024-12-30 02:28:56
아메리카노,25731,2024-12-30 16:16:56
케이크,19250,2024-12-29 23:34:56
카푸치노,11177,2024-12-30 15:57:56
카푸치노,25885,2024-12-30 04:04:56
카푸치노,26408,2024-12-30 05:22:56
카푸치노,20259,2024-12-30 13:13:56
