menu,price,order_time
카푸치노,11681,2024-12-30 02:18:56
카푸치노,5174,2024-12-30 04:31:56
케이크,7905,2024-12-30 10:34:56
아메리카노,18215,2024-12-30 02:10:56
케이크,28505,2024-12-29 23:18:56
아메리카노,26031,2024-12-29 22:17:56
케이크,28653,2024-12-30 09:57:56
아메리카노,24922,2024-12-30 00:35:56
케이크,18128,2024-12-30 06:23:56
카푸치노,25769,2024-12-29 17:54:56
카푸치노,13158,2024-12-30 12:13:56
아메리카노,13430,2024-12-30 15:48:56
케이크,7780,2024-12-30 13:13:56
카푸치노,11185,2024-12-30 14:13:56
케이크,6657,2024-12-29 22:03:56
케이크,6709,2024-12-29 18:24:56
카푸치노,17635,2024-12-30 11:35:56
케이크,24987,2024-12-30 03:57:56
아메리카노,20981,2024-12-29 19:44:56
아메리카노,7954,2024-12-30 17:16:56
케이크,16097,2024-12-29 22:18:56
카푸치노,28248,2024-12-30 02:06:56
아메리카노,7198,2024-12-30 13:45:56
카푸치노,14971,2024-12-30 09:06:56
아메리카노,16647,2024-12-30 15:38:56
카푸치노,21373,2024-12-30 02:15:56
케이크,21364,2024-12-30 12:22:56
아메리카노,17920,2024-12-30 07:36:56
카푸치노,12652,2024-12-30 04:16:56
케이크,12451,2024-12-30 07:53:56
케이크,17013,2024-12-30 06:21:56
아메리카노,15046,2024-12-30 16:49:56
카푸치노,2885,2024-12-30 10:22:56
케이크,6206,2024-12-29 17:47:56
케이크,16700,2024-12-29 20:22:56
아메리카노,20123,2024-12-29 20:22:56
카푸치노,29686,2024-12-29 22:50:56
카푸치노,12514,2024-12-29 20:56:56
카푸치노,20540,2024-12-30 04:31:56
아메리카노,4788,2024-12-29 18:40:56
케이크,17578,2024-12-29 23:23:56
케이크,11938,2024-12-29 21:43:56
케이크,21443,2024-12-29 18:22:56
케이크,22320,2024-12-29 17:23:56
아메리카노,12978,2024-12-29 19:41:56
카푸치노,26059,2024-12-29 23:38:56
케이크,18417,2024-12-30 02:13:56
카푸치노,23256,2024-12-30 03:07:56
아메리카노,5479,2024-12-30 13:48:56
아메리카노,23436,2024-12-30 10:15:56
아메리카노,28809,2024-12-30 02:56:56
아메리카노,3663,2024-12-30 10:08:56
케이크,15007,2024-12-30 12:35:56
케이크,13530,2024-12-29 20:41:56
카푸치노,6261,2024-12-29 20:54:56
카푸치노,20438,2024-12-30 08:00:56
아메리카노,7777,2024-12-30 00:49:56
아메리카노,24348,2024-12-29 18:29:56
아메리카노,22832,2024-12-30 14:45:56
아메리카노,13002,2024-12-30 01:13:56
케이크,24197,2024-12-30 13:15:56
카푸치노,6558,2024-12-30 01:32:56
케이크,26282,2024-12-30 15:18:56
아메리카노,14459,2024-12-30 10:38:56
아메리카노,4508,2024-12-30 09:15:56
아메리카노,29420,2024-12-30 00:03:56
케이크,23370,2024-12-30 12:11:56
카푸치노,7151,2024-12-30 11:32:56
아메리카노,25423,2024-12-30 14:03:56
카푸치노,20533,2024-12-30 03:44:56
아메리카노,10386,2024-12-30 06:15:56
케이크,11501,2024-12-30 02:48:56
케이크,8048,2024-12-30 03:55:56
카푸치노,13204,2024-12-29 18:00:56
아메리카노,10634,2024-12-30 11:38:56
아메리카노,16436,2024-12-30 17:08:56
카푸치노,8538,2024-12-30 16:30:56
케이크,14508,2024-12-30 15:20:56
케이크,9219,2024-12-30 07:14:56
아메리카노,16619,2024-12-30 03:52:56
케이크,19895,2024-12-30 05:37:56
케이크,19415,2024-12-29 21:30:56
아메리카노,5737,2024-12-30 07:52:56
카푸치노,23748,2024-12-30 06:56:56
카푸치노,22746,2024-12-29 22:40:56
카푸치노,29573,2024-12-30 03:43:56
케이크,7870,2024-12-30 08:20:56
케이크,11427,2024-12-30 02:17:56
카푸치노,25230,2024-12-30 15:18:56
아메리카노,7470,2024-12-30 16:44:56
케이크,8766,2024-12-30 13:36:56
케이크,4373,2024-12-29 23:05:56
케이크,14689,2024-12-30 07:04:56
아메리카노,26609,2024-12-30 15:37:56
케이크,19594,2024-12-30 00:29:56
카푸치노,17014,2024-12-30 11:04:56
케이크,11421,2024-12-30 08:03:56
카푸치노,8413,2024-12-29 20:19:56
카푸치노,16839,2024-12-30 03:42:56
카푸치노,6135,2024-12-29 20:45:56
