menu,price,order_time
아메리카노,7969,2024-12-30 08:50:56
아메리카노,5189,2024-12-30 08:35:56
아메리카노,25343,2024-12-30 02:06:56
아메리카노,14273,2024-12-29 17:42:56
아메리카노,9067,2024-12-30 05:09:56
아메리카노,29393,2024-12-30 16:34:56
케이크,5973,2024-12-30 11:12:56
카푸치노,11053,2024-12-30 16:00:56
아메리카노,28564,2024-12-30 05:41:56
카푸치노,29764,2024-12-30 12:47:56
케이크,7076,2024-12-30 13:21:56
케이크,18782,2024-12-29 23:59:56
케이크,25145,2024-12-30 15:07:56
아메리카노,29178,2024-12-30 09:01:56
케이크,3282,2024-12-30 00:16:56
아메리카노,19268,2024-12-29 18:25:56
아메리카노,5757,2024-12-30 12:15:56
케이크,29353,2024-12-30 14:09:56
카푸치노,19745,2024-12-30 05:31:56
카푸치노,19027,2024-12-30 06:12:56
아메리카노,15914,2024-12-30 12:02:56
아메리카노,11038,2024-12-30 10:04:56
카푸치노,29882,2024-12-30 01:36:56
아메리카노,27457,2024-12-30 05:53:56
아메리카노,24867,2024-12-30 12:05:56
케이크,18799,2024-12-30 15:31:56
아메리카노,7253,2024-12-30 00:23:56
카푸치노,4777,2024-12-30 11:57:56
케이크,27273,2024-12-30 14:55:56
케이크,14962,2024-12-29 21:59:56
케이크,5771,2024-12-30 03:27:56
케이크,9029,2024-12-29 21:29:56
케이크,1074,2024-12-30 11:26:56
카푸치노,16793,2024-12-30 02:27:56
케이크,27603,2024-12-30 13:27:56
카푸치노,14126,2024-12-30 11:08:56
카푸치노,3442,2024-12-30 00:51:56
케이크,27579,2024-12-29 20:46:56
아메리카노,19792,2024-12-30 08:43:56
아메리카노,18233,2024-12-30 09:18:56
케이크,29392,2024-12-30 06:14:56
카푸치노,16908,2024-12-30 11:29:56
아메리카노,19677,2024-12-30 15:43:56
카푸치노,19924,2024-12-30 13:10:56
아메리카노,28687,2024-12-29 17:38:56
카푸치노,4281,2024-12-29 18:27:56
케이크,27008,2024-12-29 19:23:56
아메리카노,9342,2024-12-30 04:16:56
아메리카노,20198,2024-12-29 20:23:56
케이크,28138,2024-12-29 23:26:56
카푸치노,6190,2024-12-29 22:26:56
아메리카노,3645,2024-12-30 11:09:56
아메리카노,1052,2024-12-29 23:08:56
카푸치노,24314,2024-12-29 18:50:56
아메리카노,1037,2024-12-30 12:05:56
아메리카노,6016,2024-12-30 12:41:56
카푸치노,2561,2024-12-30 10:27:56
아메리카노,3126,2024-12-29 20:16:56
케이크,24396,2024-12-30 09:16:56
케이크,6964,2024-12-29 20:37:56
케이크,27034,2024-12-30 09:34:56
카푸치노,23606,2024-12-29 23:41:56
케이크,23944,2024-12-30 06:53:56
케이크,11436,2024-12-29 22:23:56
카푸치노,5249,2024-12-29 19:04:56
케이크,26857,2024-12-29 19:02:56
아메리카노,24815,2024-12-30 03:52:56
아메리카노,15496,2024-12-30 03:33:56
케이크,22583,2024-12-30 12:42:56
아메리카노,14617,2024-12-30 06:14:56
케이크,18403,2024-12-30 04:09:56
아메리카노,25161,2024-12-30 08:59:56
아메리카노,1403,2024-12-29 18:03:56
케이크,4819,2024-12-29 20:49:56
아메리카노,7686,2024-12-30 07:37:56
아메리카노,16077,2024-12-30 03:51:56
아메리카노,4767,2024-12-30 01:56:56
카푸치노,13341,2024-12-30 12:00:56
아메리카노,22044,2024-12-30 03:12:56
카푸치노,11628,2024-12-30 17:11:56
케이크,29527,2024-12-30 09:14:56
카푸치노,4969,2024-12-30 03:14:56
아메리카노,17439,2024-12-30 14:08:56
케이크,5955,2024-12-30 16:41:56
케이크,4012,2024-12-29 18:01:56
케이크,18354,2024-12-30 01:15:56
아메리카노,12812,2024-12-30 03:13:56
케이크,15542,2024-12-30 15:34:56
아메리카노,11109,2024-12-30 10:52:56
아메리카노,29765,2024-12-30 13:53:56
아메리카노,14241,2024-12-29 23:29:56
케이크,26078,2024-12-30 15:20:56
카푸치노,23176,2024-12-30 11:07:56
케이크,16823,2024-12-30 16:19:56
카푸치노,11060,2024-12-30 12:30:56
카푸치노,1602,2024-12-30 07:12:56
카푸치노,4512,2024-12-30 12:44:56
카푸치노,10738,2024-12-30 10:09:56
카푸치노,15287,2024-12-30 02:46:56
케이크,26566,2024-12-30 15:33:56
