menu,price,order_time
케이크,8552,2024-12-30 12:11:56
아메리카노,26174,2024-12-30 01:44:56
카푸치노,1268,2024-12-30 11:21:56
아메리카노,20833,2024-12-30 09:18:56
케이크,11043,2024-12-30 01:13:56
아메리카노,12428,2024-12-30 04:08:56
아메리카노,3478,2024-12-30 15:33:56
케이크,5544,2024-12-29 18:23:56
아메리카노,13678,2024-12-30 01:20:56
케이크,4996,2024-12-30 02:37:56
아메리카노,24439,2024-12-30 14:49:56
카푸치노,20755,2024-12-30 16:14:56
카푸치노,27520,2024-12-29 21:50:56
아메리카노,27069,2024-12-30 08:51:56
카푸치노,28234,2024-12-29 22:00:56
아메리카노,8722,2024-12-30 11:48:56
케이크,6713,2024-12-30 00:51:56
아메리카노,10737,2024-12-29 20:44:56
아메리카노,1952,2024-12-29 22:49:56
카푸치노,27274,2024-12-29 19:54:56
케이크,26952,2024-12-30 04:41:56
케이크,22026,2024-12-30 15:55:56
케이크,2874,2024-12-30 05:32:56
아메리카노,13518,2024-12-30 03:46:56
케이크,5145,2024-12-29 19:42:56
아메리카노,19762,2024-12-30 15:23:56
카푸치노,11431,2024-12-30 10:49:56
카푸치노,25888,2024-12-30 13:57:56
카푸치노,22714,2024-12-30 04:56:56
카푸치노,7173,2024-12-30 09:04:56
아메리카노,14041,2024-12-30 14:16:56
카푸치노,29675,2024-12-30 08:50:56
카푸치노,8603,2024-12-30 14:52:56
카푸치노,12525,2024-12-30 07:22:56
카푸치노,5141,2024-12-30 05:38:56
아메리카노,29723,2024-12-29 19:28:56
카푸치노,1125,2024-12-30 03:19:56
아메리카노,2662,2024-12-30 15:10:56
아메리카노,11833,2024-12-30 04:37:56
카푸치노,16940,2024-12-30 07:50:56
케이크,7951,2024-12-30 03:48:56
카푸치노,3675,2024-12-29 20:35:56
케이크,4266,2024-12-29 21:00:56
케이크,13828,2024-12-30 09:52:56
아메리카노,11942,2024-12-30 10:11:56
카푸치노,11233,2024-12-30 15:11:56
케이크,1772,2024-12-30 13:04:56
케이크,25462,2024-12-30 05:47:56
아메리카노,2437,2024-12-30 00:40:56
아메리카노,24460,2024-12-30 03:33:56
아메리카노,25373,2024-12-30 01:48:56
케이크,16782,2024-12-30 00:45:56
카푸치노,23154,2024-12-30 00:00:56
카푸치노,1525,2024-12-29 21:48:56
아메리카노,27153,2024-12-29 23:33:56
아메리카노,9296,2024-12-30 00:52:56
카푸치노,25749,2024-12-30 16:27:56
케이크,10601,2024-12-30 01:38:56
케이크,1883,2024-12-30 06:51:56
카푸치노,28457,2024-12-30 01:06:56
카푸치노,17420,2024-12-30 12:10:56
카푸치노,7301,2024-12-30 10:42:56
카푸치노,28494,2024-12-30 01:16:56
케이크,12681,2024-12-30 07:48:56
카푸치노,7041,2024-12-29 20:26:56
케이크,4099,2024-12-30 16:12:56
케이크,9518,2024-12-30 00:40:56
아메리카노,28523,2024-12-30 17:17:56
카푸치노,12974,2024-12-30 15:08:56
케이크,18288,2024-12-30 13:47:56
카푸치노,10863,2024-12-30 06:00:56
케이크,16230,2024-12-30 14:45:56
카푸치노,24498,2024-12-30 00:43:56
카푸치노,7447,2024-12-29 20:48:56
케이크,7608,2024-12-30 04:04:56
아메리카노,14382,2024-12-30 03:06:56
카푸치노,11160,2024-12-30 02:23:56
카푸치노,20301,2024-12-30 14:23:56
카푸치노,19549,2024-12-30 05:38:56
아메리카노,20379,2024-12-30 16:24:56
아메리카노,6580,2024-12-30 05:04:56
카푸치노,29480,2024-12-29 21:44:56
아메리카노,22261,2024-12-29 22:22:56
케이크,4539,2024-12-30 02:10:56
아메리카노,3199,2024-12-30 17:19:56
케이크,1503,2024-12-30 07:26:56
아메리카노,18290,2024-12-30 03:28:56
카푸치노,3310,2024-12-29 19:34:56
아메리카노,15737,2024-12-29 22:12:56
케이크,19049,2024-12-30 02:01:56
카푸치노,8650,2024-12-30 16:07:56
카푸치노,28492,2024-12-30 10:23:56
카푸치노,6674,2024-12-30 11:20:56
카푸치노,28747,2024-12-30 06:24:56
아메리카노,22315,2024-12-30 15:18:56
케이크,21870,2024-12-30 15:19:56
아메리카노,12571,2024-12-29 20:26:56
케이크,15281,2024-12-30 06:41:56
아메리카노,14248,2024-12-29 21:53:56
카푸치노,2464,2024-12-30 00:11:56
