menu,price,order_time
아메리카노,8602,2024-12-30 05:26:56
아메리카노,2438,2024-12-30 00:19:56
케이크,29314,2024-12-29 20:45:56
카푸치노,12136,2024-12-30 04:50:56
아메리카노,14502,2024-12-30 02:41:56
아메리카노,5213,2024-12-30 13:38:56
아메리카노,17702,2024-12-29 21:23:56
아메리카노,21748,2024-12-30 05:37:56
카푸치노,28051,2024-12-29 20:49:56
카푸치노,14024,2024-12-30 09:19:56
카푸치노,8121,2024-12-29 17:34:56
케이크,10181,2024-12-30 00:52:56
케이크,12580,2024-12-29 21:41:56
아메리카노,17114,2024-12-30 02:11:56
카푸치노,21126,2024-12-30 12:45:56
케이크,9859,2024-12-29 23:56:56
케이크,17779,2024-12-30 16:59:56
케이크,21992,2024-12-29 23:28:56
카푸치노,8674,2024-12-30 08:44:56
케이크,17138,2024-12-30 00:31:56
케이크,25349,2024-12-30 05:27:56
카푸치노,26660,2024-12-29 22:27:56
아메리카노,9179,2024-12-29 18:48:56
카푸치노,14941,2024-12-30 11:15:56
카푸치노,13235,2024-12-30 03:04:56
케이크,12115,2024-12-30 06:06:56
카푸치노,2909,2024-12-30 11:40:56
카푸치노,21573,2024-12-30 08:51:56
케이크,3662,2024-12-30 07:51:56
케이크,11489,2024-12-30 13:49:56
카푸치노,4202,2024-12-30 02:36:56
카푸치노,20875,2024-12-30 14:24:56
케이크,7664,2024-12-29 19:20:56
아메리카노,1570,2024-12-30 10:50:56
케이크,11198,2024-12-30 05:33:56
아메리카노,4227,2024-12-30 09:43:56
케이크,19186,2024-12-29 20:48:56
케이크,26131,2024-12-30 10:22:56
아메리카노,26166,2024-12-30 02:38:56
카푸치노,18188,2024-12-30 12:39:56
케이크,24673,2024-12-30 06:59:56
아메리카노,20369,2024-12-30 01:36:56
아메리카노,21391,2024-12-30 03:46:56
카푸치노,5356,2024-12-29 22:59:56
아메리카노,11836,2024-12-29 23:30:56
아메리카노,9139,2024-12-30 12:04:56
케이크,15652,2024-12-30 00:15:56
아메리카노,7116,2024-12-29 18:28:56
케이크,20075,2024-12-29 20:45:56
케이크,12746,2024-12-30 16:55:56
아메리카노,16630,2024-12-30 07:09:56
카푸치노,20549,2024-12-30 09:16:56
아메리카노,19947,2024-12-30 07:01:56
케이크,3751,2024-12-29 18:01:56
아메리카노,24232,2024-12-30 09:34:56
케이크,26396,2024-12-30 15:41:56
아메리카노,29043,2024-12-30 03:10:56
케이크,20798,2024-12-30 16:15:56
케이크,24820,2024-12-29 17:33:56
카푸치노,13967,2024-12-30 07:14:56
아메리카노,6569,2024-12-30 12:48:56
아메리카노,1390,2024-12-29 20:26:56
케이크,21066,2024-12-30 13:02:56
케이크,16760,2024-12-29 22:35:56
아메리카노,2421,2024-12-30 08:00:56
케이크,5730,2024-12-30 16:59:56
케이크,23655,2024-12-30 03:27:56
카푸치노,15832,2024-12-30 12:23:56
케이크,16548,2024-12-29 18:14:56
카푸치노,4903,2024-12-30 05:01:56
케이크,25641,2024-12-30 03:48:56
케이크,19586,2024-12-30 17:04:56
카푸치노,21400,2024-12-30 07:19:56
케이크,25697,2024-12-30 07:02:56
케이크,20052,2024-12-30 08:07:56
케이크,24019,2024-12-30 14:09:56
아메리카노,22546,2024-12-30 12:32:56
아메리카노,28264,2024-12-29 22:07:56
케이크,16359,2024-12-29 22:17:56
케이크,21581,2024-12-30 13:11:56
카푸치노,2113,2024-12-30 11:37:56
아메리카노,3143,2024-12-30 09:54:56
케이크,27570,2024-12-30 03:31:56
케이크,11823,2024-12-29 20:09:56
케이크,24726,2024-12-30 17:17:56
아메리카노,9857,2024-12-30 08:54:56
카푸치노,20360,2024-12-30 11:10:56
아메리카노,10049,2024-12-30 14:31:56
케이크,8975,2024-12-30 16:16:56
케이크,6069,2024-12-30 09:45:56
케이크,6053,2024-12-30 11:06:56
케이크,10882,2024-12-29 22:31:56
아메리카노,28479,2024-12-30 02:23:56
카푸치노,12713,2024-12-29 18:49:56
케이크,24704,2024-12-29 20:25:56
카푸치노,11628,2024-12-30 16:37:56
카푸치노,24974,2024-12-30 15:47:56
케이크,21382,2024-12-30 03:31:56
아메리카노,13257,2024-12-30 12:23:56
케이크,1877,2024-12-30 06:37:56
