menu,price,order_time
아메리카노,1944,2024-12-29 20:09:56
케이크,14221,2024-12-30 16:39:56
아메리카노,29529,2024-12-29 23:19:56
카푸치노,14525,2024-12-30 08:13:56
아메리카노,11048,2024-12-30 17:09:56
아메리카노,10250,2024-12-30 07:05:56
카푸치노,13216,2024-12-30 12:18:56
케이크,16932,2024-12-30 12:53:56
카푸치노,10394,2024-12-30 12:43:56
케이크,28278,2024-12-30 01:45:56
아메리카노,24631,2024-12-29 22:06:56
카푸치노,8246,2024-12-30 01:30:56
아메리카노,10309,2024-12-30 02:17:56
카푸치노,16715,2024-12-30 11:48:56
카푸치노,18013,2024-12-29 22:47:56
카푸치노,10707,2024-12-30 02:50:56
케이크,5453,2024-12-29 22:45:56
카푸치노,7552,2024-12-30 04:20:56
카푸치노,21097,2024-12-30 08:55:56
케이크,4508,2024-12-29 17:49:56
아메리카노,28419,2024-12-29 17:39:56
아메리카노,19809,2024-12-29 18:25:56
아메리카노,11234,2024-12-30 03:54:56
케이크,2191,2024-12-29 20:22:56
카푸치노,11357,2024-12-29 22:29:56
케이크,27930,2024-12-30 15:05:56
케이크,6987,2024-12-30 03:29:56
카푸치노,29288,2024-12-30 09:01:56
케이크,9655,2024-12-30 13:23:56
카푸치노,12031,2024-12-30 15:23:56
케이크,23445,2024-12-30 17:11:56
아메리카노,29340,2024-12-30 03:11:56
카푸치노,4275,2024-12-29 20:20:56
아메리카노,22487,2024-12-30 05:44:56
아메리카노,25019,2024-12-30 02:07:56
카푸치노,6454,2024-12-30 01:54:56
카푸치노,23532,2024-12-30 01:12:56
케이크,22838,2024-12-30 01:15:56
카푸치노,22752,2024-12-29 22:02:56
케이크,20023,2024-12-29 17:44:56
아메리카노,4564,2024-12-30 13:31:56
케이크,11190,2024-12-30 07:17:56
아메리카노,19701,2024-12-30 06:41:56
카푸치노,12849,2024-12-30 10:20:56
아메리카노,1102,2024-12-30 07:06:56
아메리카노,29502,2024-12-30 14:59:56
아메리카노,22067,2024-12-30 16:35:56
아메리카노,11194,2024-12-29 22:30:56
케이크,3218,2024-12-30 13:11:56
케이크,9299,2024-12-30 10:36:56
아메리카노,28796,2024-12-30 08:04:56
케이크,8211,2024-12-29 21:54:56
케이크,3500,2024-12-30 10:08:56
아메리카노,2326,2024-12-30 09:33:56
카푸치노,28973,2024-12-29 22:41:56
아메리카노,26018,2024-12-30 14:45:56
아메리카노,18373,2024-12-30 11:46:56
케이크,15358,2024-12-30 11:30:56
케이크,27554,2024-12-30 14:59:56
아메리카노,8400,2024-12-30 04:22:56
카푸치노,17107,2024-12-30 05:15:56
케이크,1113,2024-12-29 20:35:56
카푸치노,20807,2024-12-30 08:18:56
케이크,14737,2024-12-29 17:27:56
케이크,13768,2024-12-29 18:06:56
카푸치노,11012,2024-12-30 03:11:56
케이크,28925,2024-12-29 20:46:56
케이크,21248,2024-12-30 15:01:56
아메리카노,13921,2024-12-29 17:41:56
케이크,27353,2024-12-30 01:59:56
케이크,24393,2024-12-30 14:58:56
아메리카노,3356,2024-12-30 10:36:56
아메리카노,16766,2024-12-30 05:57:56
카푸치노,29926,2024-12-30 15:07:56
카푸치노,20654,2024-12-29 19:58:56
카푸치노,13948,2024-12-30 12:25:56
케이크,18378,2024-12-30 12:11:56
아메리카노,14423,2024-12-30 01:37:56
케이크,26789,2024-12-29 18:05:56
케이크,14376,2024-12-30 14:41:56
아메리카노,4200,2024-12-30 11:04:56
카푸치노,12676,2024-12-30 07:18:56
카푸치노,13186,2024-12-30 09:11:56
케이크,13995,2024-12-29 19:49:56
케이크,14615,2024-12-30 07:29:56
케이크,22442,2024-12-30 11:15:56
카푸치노,17407,2024-12-30 10:39:56
카푸치노,1448,2024-12-29 23:06:56
아메리카노,28295,2024-12-29 22:25:56
케이크,25559,2024-12-30 07:26:56
아메리카노,3651,2024-12-30 14:32:56
케이크,18863,2024-12-30 08:51:56
카푸치노,26139,2024-12-30 10:30:56
케이크,10615,2024-12-30 02:36:56
케이크,29534,2024-12-30 02:13:56
아메리카노,17062,2024-12-30 16:58:56
아메리카노,17472,2024-12-29 18:22:56
카푸치노,18340,2024-12-30 12:40:56
카푸치노,5079,2024-12-30 16:58:56
아메리카노,8451,2024-12-30 03:57:56
