menu,price,order_time
아메리카노,28519,2024-12-30 03:16:56
케이크,22248,2024-12-30 17:14:56
케이크,20489,2024-12-29 23:57:56
아메리카노,14451,2024-12-30 08:49:56
케이크,11107,2024-12-29 21:46:56
케이크,18812,2024-12-30 05:07:56
케이크,17218,2024-12-29 23:48:56
카푸치노,7076,2024-12-30 05:36:56
카푸치노,6784,2024-12-29 22:34:56
케이크,17958,2024-12-30 10:09:56
케이크,30000,2024-12-29 18:20:56
케이크,10486,2024-12-29 20:11:56
케이크,15352,2024-12-30 09:58:56
카푸치노,19175,2024-12-29 23:53:56
케이크,16863,2024-12-30 09:57:56
아메리카노,13240,2024-12-30 00:15:56
카푸치노,14479,2024-12-30 08:50:56
카푸치노,9380,2024-12-29 22:11:56
카푸치노,20379,2024-12-30 08:17:56
케이크,20109,2024-12-29 18:57:56
케이크,12505,2024-12-29 17:42:56
카푸치노,24044,2024-12-30 17:17:56
카푸치노,26616,2024-12-30 15:48:56
아메리카노,18495,2024-12-29 18:19:56
케이크,19375,2024-12-29 23:28:56
케이크,7862,2024-12-29 23:16:56
케이크,10529,2024-12-29 18:08:56
카푸치노,12208,2024-12-30 05:55:56
케이크,24812,2024-12-30 07:15:56
카푸치노,20275,2024-12-29 23:10:56
아메리카노,8019,2024-12-30 05:49:56
카푸치노,3040,2024-12-30 16:01:56
카푸치노,28466,2024-12-30 03:39:56
아메리카노,10340,2024-12-29 21:48:56
카푸치노,16332,2024-12-30 12:26:56
아메리카노,3917,2024-12-30 06:44:56
카푸치노,17934,2024-12-30 08:03:56
아메리카노,29486,2024-12-30 12:23:56
케이크,19629,2024-12-30 15:07:56
케이크,19607,2024-12-30 12:14:56
아메리카노,15628,2024-12-30 15:55:56
케이크,9967,2024-12-30 02:50:56
케이크,14309,2024-12-30 07:44:56
카푸치노,18391,2024-12-30 05:51:56
케이크,22726,2024-12-30 14:45:56
아메리카노,26235,2024-12-29 18:02:56
케이크,23568,2024-12-29 22:35:56
아메리카노,15158,2024-12-30 14:27:56
아메리카노,3688,2024-12-30 04:40:56
아메리카노,26630,2024-12-30 08:56:56
아메리카노,18722,2024-12-30 06:34:56
아메리카노,8585,2024-12-30 03:39:56
케이크,6467,2024-12-30 07:45:56
카푸치노,22905,2024-12-30 10:27:56
카푸치노,22239,2024-12-30 13:37:56
케이크,26881,2024-12-29 18:51:56
케이크,9500,2024-12-30 06:38:56
아메리카노,23532,2024-12-30 14:25:56
케이크,15620,2024-12-30 17:11:56
케이크,9839,2024-12-30 03:36:56
케이크,27652,2024-12-30 02:05:56
아메리카노,8150,2024-12-30 13:08:56
카푸치노,18327,2024-12-30 07:13:56
카푸치노,8996,2024-12-30 13:23:56
케이크,18036,2024-12-30 09:37:56
케이크,8414,2024-12-29 17:34:56
아메리카노,16364,2024-12-30 09:06:56
케이크,4905,2024-12-30 04:58:56
아메리카노,16586,2024-12-29 23:23:56
케이크,1434,2024-12-30 03:28:56
아메리카노,17239,2024-12-29 22:54:56
카푸치노,11497,2024-12-30 14:07:56
아메리카노,9693,2024-12-30 01:18:56
케이크,2985,2024-12-30 04:17:56
아메리카노,22859,2024-12-30 02:44:56
카푸치노,10873,2024-12-30 09:39:56
아메리카노,25188,2024-12-29 18:51:56
케이크,20287,2024-12-30 01:33:56
카푸치노,5447,2024-12-30 03:35:56
아메리카노,3447,2024-12-30 16:23:56
케이크,3002,2024-12-30 02:47:56
케이크,29801,2024-12-29 23:36:56
케이크,27917,2024-12-29 21:16:56
카푸치노,28850,2024-12-30 17:16:56
아메리카노,29754,2024-12-29 22:56:56
카푸치노,24085,2024-12-29 18:14:56
케이크,25011,2024-12-30 10:50:56
케이크,4632,2024-12-30 00:50:56
아메리카노,2935,2024-12-30 09:00:56
카푸치노,18297,2024-12-29 19:52:56
케이크,20454,2024-12-30 01:41:56
카푸치노,20261,2024-12-30 06:05:56
카푸치노,1515,2024-12-30 12:01:56
아메리카노,5841,2024-12-30 16:29:56
케이크,15750,2024-12-29 22:10:56
카푸치노,10628,2024-12-30 09:52:56
케이크,10836,2024-12-30 17:02:56
케이크,14985,2024-12-30 10:36:56
케이크,4058,2024-12-30 10:32:56
케이크,18353,2024-12-30 09:03:56
