menu,price,order_time
카푸치노,11163,2024-12-30 12:53:56
아메리카노,3454,2024-12-29 18:43:56
케이크,13235,2024-12-30 17:19:56
케이크,1245,2024-12-29 19:13:56
아메리카노,10769,2024-12-30 15:12:56
케이크,29316,2024-12-30 15:13:56
카푸치노,20203,2024-12-30 00:03:56
케이크,17787,2024-12-29 19:14:56
케이크,13831,2024-12-30 00:24:56
케이크,15962,2024-12-29 18:19:56
케이크,13309,2024-12-30 04:42:56
카푸치노,21767,2024-12-30 08:52:56
카푸치노,19760,2024-12-30 04:59:56
케이크,19976,2024-12-29 22:51:56
케이크,18861,2024-12-30 11:16:56
카푸치노,14044,2024-12-30 04:58:56
카푸치노,22557,2024-12-29 20:39:56
카푸치노,23110,2024-12-30 04:21:56
카푸치노,5147,2024-12-30 03:43:56
아메리카노,1830,2024-12-29 18:51:56
케이크,29345,2024-12-30 06:21:56
아메리카노,7083,2024-12-30 05:44:56
아메리카노,5683,2024-12-30 00:49:56
카푸치노,23747,2024-12-30 08:45:56
케이크,12219,2024-12-29 20:05:56
카푸치노,23830,2024-12-30 13:58:56
케이크,20156,2024-12-30 14:42:56
아메리카노,27466,2024-12-30 04:58:56
카푸치노,22476,2024-12-29 19:38:56
카푸치노,11441,2024-12-30 11:10:56
카푸치노,15552,2024-12-29 18:56:56
카푸치노,8190,2024-12-30 05:29:56
카푸치노,14882,2024-12-30 00:01:56
카푸치노,29355,2024-12-30 07:06:56
아메리카노,9080,2024-12-30 14:48:56
케이크,24782,2024-12-29 19:26:56
케이크,22101,2024-12-30 12:20:56
케이크,22566,2024-12-30 07:47:56
케이크,14367,2024-12-30 12:10:56
카푸치노,18660,2024-12-30 00:34:56
카푸치노,26402,2024-12-29 18:11:56
아메리카노,29298,2024-12-30 05:58:56
카푸치노,12162,2024-12-30 02:14:56
아메리카노,3800,2024-12-30 12:16:56
아메리카노,22210,2024-12-29 22:34:56
아메리카노,12560,2024-12-30 00:12:56
카푸치노,6516,2024-12-30 17:14:56
카푸치노,27661,2024-12-30 12:34:56
케이크,11943,2024-12-29 21:07:56
케이크,6130,2024-12-30 02:55:56
케이크,14785,2024-12-30 15:16:56
케이크,12136,2024-12-30 01:30:56
케이크,4405,2024-12-29 23:53:56
카푸치노,7011,2024-12-30 03:58:56
케이크,4115,2024-12-30 07:57:56
케이크,8586,2024-12-30 11:15:56
케이크,12871,2024-12-29 17:36:56
카푸치노,8047,2024-12-29 22:49:56
케이크,24227,2024-12-30 06:16:56
케이크,18917,2024-12-30 11:58:56
카푸치노,20894,2024-12-30 00:51:56
카푸치노,22459,2024-12-30 03:03:56
카푸치노,5972,2024-12-29 18:34:56
아메리카노,25761,2024-12-29 19:57:56
케이크,22333,2024-12-30 16:30:56
케이크,24211,2024-12-30 08:38:56
카푸치노,21666,2024-12-30 15:06:56
케이크,20775,2024-12-30 10:42:56
케이크,15435,2024-12-30 06:15:56
아메리카노,9563,2024-12-29 23:06:56
케이크,18518,2024-12-30 15:25:56
아메리카노,2875,2024-12-30 01:35:56
카푸치노,20716,2024-12-30 05:19:56
카푸치노,16839,2024-12-29 21:50:56
카푸치노,23991,2024-12-29 23:39:56
아메리카노,1477,2024-12-29 20:18:56
아메리카노,18717,2024-12-30 09:29:56
아메리카노,26559,2024-12-30 05:32:56
케이크,23915,2024-12-30 04:10:56
아메리카노,19594,2024-12-30 11:41:56
카푸치노,2700,2024-12-29 20:39:56
카푸치노,16271,2024-12-29 18:16:56
카푸치노,2571,2024-12-30 06:11:56
케이크,6298,2024-12-30 09:52:56
케이크,4379,2024-12-30 14:19:56
카푸치노,1022,2024-12-30 07:33:56
케이크,18409,2024-12-30 14:53:56
아메리카노,17254,2024-12-29 22:21:56
아메리카노,22901,2024-12-30 04:51:56
카푸치노,28477,2024-12-29 20:56:56
케이크,29793,2024-12-30 07:06:56
아메리카노,3502,2024-12-29 18:38:56
카푸치노,9914,2024-12-29 19:38:56
아메리카노,12187,2024-12-30 03:38:56
아메리카노,26747,2024-12-30 09:21:56
카푸치노,10698,2024-12-30 08:24:56
아메리카노,13879,2024-12-30 16:16:56
케이크,25540,2024-12-30 08:23:56
아메리카노,26140,2024-12-30 15:44:56
아메리카노,1919,2024-12-30 10:00:56
