menu,price,order_time
아메리카노,28128,2024-12-30 12:09:56
아메리카노,28327,2024-12-29 23:23:56
카푸치노,4059,2024-12-29 23:19:56
케이크,7791,2024-12-29 18:05:56
아메리카노,13679,2024-12-30 12:51:56
아메리카노,24590,2024-12-29 17:36:56
아메리카노,10618,2024-12-29 18:37:56
카푸치노,3318,2024-12-30 16:26:56
카푸치노,25322,2024-12-30 04:03:56
카푸치노,2548,2024-12-30 16:48:56
카푸치노,6350,2024-12-30 14:14:56
아메리카노,21107,2024-12-30 01:42:56
카푸치노,1263,2024-12-30 06:42:56
아메리카노,3029,2024-12-30 15:48:56
아메리카노,27647,2024-12-30 09:47:56
케이크,11517,2024-12-29 17:40:56
카푸치노,14840,2024-12-30 04:30:56
카푸치노,5482,2024-12-30 00:48:56
카푸치노,28966,2024-12-30 08:08:56
아메리카노,11350,2024-12-29 17:56:56
아메리카노,15003,2024-12-29 23:42:56
케이크,2612,2024-12-30 15:55:56
케이크,20212,2024-12-29 22:34:56
카푸치노,6730,2024-12-29 19:55:56
아메리카노,11403,2024-12-30 01:52:56
아메리카노,9529,2024-12-30 14:52:56
카푸치노,27380,2024-12-30 04:52:56
카푸치노,29688,2024-12-30 09:36:56
케이크,2412,2024-12-29 17:23:56
카푸치노,26065,2024-12-30 17:01:56
케이크,12264,2024-12-30 17:09:56
카푸치노,12825,2024-12-29 20:49:56
아메리카노,17845,2024-12-29 21:01:56
아메리카노,19749,2024-12-30 13:56:56
아메리카노,3798,2024-12-30 04:29:56
케이크,12468,2024-12-30 10:17:56
아메리카노,19454,2024-12-30 06:33:56
아메리카노,12954,2024-12-30 09:07:56
카푸치노,7061,2024-12-30 06:19:56
카푸치노,27333,2024-12-29 23:03:56
케이크,6697,2024-12-30 02:14:56
아메리카노,20428,2024-12-29 19:05:56
카푸치노,21890,2024-12-29 19:53:56
케이크,25641,2024-12-29 21:37:56
케이크,11612,2024-12-30 07:17:56
아메리카노,18987,2024-12-30 01:41:56
카푸치노,23019,2024-12-30 12:41:56
카푸치노,12267,2024-12-30 14:16:56
아메리카노,11521,2024-12-30 10:52:56
카푸치노,19073,2024-12-30 01:15:56
아메리카노,6648,2024-12-30 15:30:56
케이크,24342,2024-12-30 05:48:56
카푸치노,28369,2024-12-30 04:44:56
카푸치노,9932,2024-12-29 23:31:56
아메리카노,18305,2024-12-30 16:45:56
아메리카노,21814,2024-12-30 10:08:56
케이크,14789,2024-12-30 07:54:56
아메리카노,11873,2024-12-29 18:45:56
카푸치노,15755,2024-12-30 15:01:56
카푸치노,28835,2024-12-30 07:47:56
케이크,8738,2024-12-29 18:12:56
카푸치노,21487,2024-12-30 16:15:56
케이크,11934,2024-12-30 00:46:56
케이크,21122,2024-12-30 15:56:56
케이크,28644,2024-12-29 18:01:56
아메리카노,16217,2024-12-30 15:35:56
케이크,15529,2024-12-29 19:04:56
아메리카노,25108,2024-12-30 10:11:56
아메리카노,5065,2024-12-30 06:46:56
케이크,15767,2024-12-30 06:54:56
아메리카노,13840,2024-12-30 13:21:56
아메리카노,21279,2024-12-29 23:16:56
카푸치노,8396,2024-12-30 16:14:56
카푸치노,28322,2024-12-29 19:23:56
케이크,19898,2024-12-29 22:35:56
아메리카노,12648,2024-12-30 09:00:56
케이크,29379,2024-12-29 21:14:56
아메리카노,21078,2024-12-29 18:00:56
카푸치노,13321,2024-12-30 05:23:56
아메리카노,17687,2024-12-30 09:51:56
케이크,10289,2024-12-30 04:54:56
아메리카노,25211,2024-12-29 21:07:56
케이크,2754,2024-12-30 09:34:56
아메리카노,26194,2024-12-30 08:13:56
카푸치노,15154,2024-12-30 05:48:56
아메리카노,26246,2024-12-29 21:07:56
케이크,15072,2024-12-29 20:15:56
아메리카노,21513,2024-12-29 23:04:56
아메리카노,9836,2024-12-30 08:27:56
케이크,13806,2024-12-29 23:08:56
아메리카노,25232,2024-12-30 03:44:56
케이크,12312,2024-12-30 09:57:56
아메리카노,2446,2024-12-30 03:06:56
카푸치노,11768,2024-12-30 13:16:56
카푸치노,22846,2024-12-30 06:47:56
아메리카노,22126,2024-12-30 09:03:56
아메리카노,16501,2024-12-29 20:41:56
케이크,17196,2024-12-30 09:43:56
아메리카노,20412,2024-12-30 01:33:56
카푸치노,17370,2024-12-29 21:58:56
