menu,price,order_time
케이크,1843,2024-12-29 19:22:56
케이크,27891,2024-12-30 16:35:56
케이크,1514,2024-12-30 00:04:56
케이크,28246,2024-12-30 08:43:56
아메리카노,7876,2024-12-30 00:33:56
아메리카노,2249,2024-12-30 00:37:56
카푸치노,1601,2024-12-29 17:31:56
카푸치노,24188,2024-12-30 08:10:56
카푸치노,10203,2024-12-29 21:32:56
카푸치노,12203,2024-12-30 00:23:56
카푸치노,28996,2024-12-30 02:34:56
케이크,10309,2024-12-29 17:43:56
아메리카노,10172,2024-12-29 18:30:56
아메리카노,25329,2024-12-30 09:39:56
케이크,10575,2024-12-29 23:11:56
케이크,26504,2024-12-30 03:45:56
아메리카노,17321,2024-12-30 14:09:56
아메리카노,14807,2024-12-29 18:11:56
카푸치노,10532,2024-12-29 17:31:56
카푸치노,23055,2024-12-30 15:45:56
케이크,24005,2024-12-29 17:36:56
케이크,25388,2024-12-30 15:14:56
카푸치노,27761,2024-12-30 14:43:56
아메리카노,23938,2024-12-30 12:26:56
카푸치노,23069,2024-12-30 06:56:56
카푸치노,27512,2024-12-29 18:17:56
아메리카노,26328,2024-12-29 20:55:56
아메리카노,17021,2024-12-30 03:49:56
카푸치노,7884,2024-12-30 14:56:56
아메리카노,13641,2024-12-30 09:06:56
카푸치노,6696,2024-12-30 08:54:56
카푸치노,8643,2024-12-29 20:30:56
케이크,27040,2024-12-29 23:48:56
케이크,5036,2024-12-30 11:36:56
아메리카노,27773,2024-12-29 17:53:56
케이크,11218,2024-12-30 15:11:56
아메리카노,12937,2024-12-30 06:33:56
아메리카노,28024,2024-12-29 20:40:56
케이크,9650,2024-12-30 03:18:56
아메리카노,26506,2024-12-30 07:24:56
케이크,14947,2024-12-30 14:22:56
케이크,19020,2024-12-30 02:58:56
케이크,24656,2024-12-29 22:51:56
아메리카노,3838,2024-12-29 18:04:56
케이크,26188,2024-12-30 02:04:56
아메리카노,22450,2024-12-30 16:44:56
카푸치노,29304,2024-12-30 16:59:56
카푸치노,4774,2024-12-30 06:45:56
케이크,6286,2024-12-30 07:22:56
케이크,13126,2024-12-29 21:15:56
카푸치노,8508,2024-12-30 03:25:56
아메리카노,17925,2024-12-30 05:27:56
카푸치노,25659,2024-12-29 23:54:56
케이크,9893,2024-12-30 08:58:56
케이크,16809,2024-12-30 14:34:56
아메리카노,22197,2024-12-29 20:58:56
케이크,23887,2024-12-30 00:07:56
아메리카노,21315,2024-12-30 12:50:56
카푸치노,3384,2024-12-30 06:38:56
케이크,29710,2024-12-30 01:56:56
아메리카노,2079,2024-12-30 10:41:56
아메리카노,4100,2024-12-30 12:57:56
카푸치노,13971,2024-12-30 05:04:56
케이크,1599,2024-12-29 18:28:56
카푸치노,10939,2024-12-29 18:27:56
케이크,6303,2024-12-30 03:15:56
아메리카노,20740,2024-12-30 10:19:56
케이크,13258,2024-12-29 18:37:56
아메리카노,15097,2024-12-30 04:45:56
케이크,27552,2024-12-30 08:52:56
케이크,11300,2024-12-30 16:25:56
아메리카노,14206,2024-12-29 19:26:56
케이크,22755,2024-12-30 06:58:56
케이크,12286,2024-12-29 19:22:56
아메리카노,13197,2024-12-30 04:22:56
카푸치노,23698,2024-12-30 16:43:56
아메리카노,21575,2024-12-30 08:46:56
케이크,2740,2024-12-29 17:37:56
아메리카노,16888,2024-12-30 00:07:56
케이크,25475,2024-12-30 17:17:56
카푸치노,28990,2024-12-30 08:41:56
카푸치노,23328,2024-12-29 18:22:56
아메리카노,12761,2024-12-30 07:34:56
아메리카노,20056,2024-12-30 11:59:56
케이크,17940,2024-12-29 20:38:56
카푸치노,16569,2024-12-30 14:19:56
아메리카노,26634,2024-12-29 20:26:56
케이크,2051,2024-12-30 07:09:56
카푸치노,23763,2024-12-29 18:50:56
케이크,11988,2024-12-30 04:54:56
케이크,6381,2024-12-30 07:29:56
아메리카노,12269,2024-12-29 19:35:56
카푸치노,3516,2024-12-29 22:31:56
카푸치노,14855,2024-12-30 03:44:56
카푸치노,11168,2024-12-30 05:59:56
아메리카노,11116,2024-12-29 23:22:56
카푸치노,8969,2024-12-30 12:08:56
아메리카노,28058,2024-12-29 20:13:56
케이크,25765,2024-12-30 11:35:56
카푸치노,10749,2024-12-30 01:37:56
