menu,price,order_time
아메리카노,3615,2024-12-30 05:48:56
아메리카노,21111,2024-12-30 17:10:56
케이크,13351,2024-12-30 16:02:56
케이크,5360,2024-12-30 14:12:56
아메리카노,9237,2024-12-29 17:42:56
케이크,3544,2024-12-30 07:25:56
케이크,2976,2024-12-30 02:34:56
카푸치노,24554,2024-12-30 15:19:56
케이크,1025,2024-12-30 03:11:56
카푸치노,22855,2024-12-30 07:14:56
아메리카노,23603,2024-12-30 04:26:56
케이크,21885,2024-12-30 04:29:56
아메리카노,23529,2024-12-30 03:27:56
케이크,8061,2024-12-30 02:08:56
카푸치노,7445,2024-12-30 15:48:56
카푸치노,29335,2024-12-30 01:32:56
카푸치노,7431,2024-12-29 17:25:56
아메리카노,25980,2024-12-30 07:19:56
케이크,7859,2024-12-29 20:16:56
아메리카노,2243,2024-12-29 23:58:56
카푸치노,26602,2024-12-30 14:41:56
카푸치노,17353,2024-12-29 19:10:56
케이크,6401,2024-12-30 04:04:56
아메리카노,25130,2024-12-29 17:40:56
카푸치노,29484,2024-12-29 18:48:56
케이크,5248,2024-12-29 19:35:56
케이크,13197,2024-12-30 03:26:56
카푸치노,5123,2024-12-30 02:47:56
카푸치노,23386,2024-12-30 03:38:56
카푸치노,27500,2024-12-30 12:26:56
카푸치노,18706,2024-12-29 17:37:56
케이크,3107,2024-12-30 00:36:56
아메리카노,14214,2024-12-29 19:53:56
케이크,18099,2024-12-30 10:20:56
카푸치노,14461,2024-12-29 17:50:56
아메리카노,13678,2024-12-29 21:55:56
케이크,20127,2024-12-29 18:03:56
케이크,2342,2024-12-29 23:48:56
카푸치노,9186,2024-12-30 11:02:56
카푸치노,22832,2024-12-30 07:29:56
카푸치노,10523,2024-12-30 12:19:56
카푸치노,19511,2024-12-30 06:20:56
카푸치노,22095,2024-12-30 09:47:56
케이크,12541,2024-12-30 09:55:56
아메리카노,16912,2024-12-30 05:34:56
케이크,11428,2024-12-30 12:20:56
아메리카노,14152,2024-12-29 23:30:56
카푸치노,8569,2024-12-30 04:37:56
카푸치노,21157,2024-12-30 02:27:56
케이크,23268,2024-12-29 23:13:56
케이크,20118,2024-12-30 03:00:56
아메리카노,2314,2024-12-30 08:32:56
카푸치노,10138,2024-12-30 00:19:56
케이크,4003,2024-12-30 12:59:56
아메리카노,10221,2024-12-30 07:39:56
아메리카노,10817,2024-12-30 07:27:56
카푸치노,27069,2024-12-30 05:39:56
아메리카노,26641,2024-12-30 14:22:56
케이크,9546,2024-12-29 19:47:56
아메리카노,28058,2024-12-29 18:31:56
카푸치노,23155,2024-12-30 07:28:56
카푸치노,29225,2024-12-30 12:15:56
카푸치노,21844,2024-12-30 04:25:56
아메리카노,21890,2024-12-30 01:59:56
아메리카노,29923,2024-12-30 15:37:56
케이크,16661,2024-12-30 02:02:56
카푸치노,1825,2024-12-30 03:49:56
아메리카노,17755,2024-12-30 00:32:56
카푸치노,20009,2024-12-30 00:18:56
케이크,24871,2024-12-30 14:10:56
아메리카노,2742,2024-12-29 21:37:56
카푸치노,2548,2024-12-30 11:07:56
카푸치노,5215,2024-12-30 03:16:56
카푸치노,23244,2024-12-30 16:41:56
카푸치노,26753,2024-12-30 15:22:56
아메리카노,22668,2024-12-30 17:18:56
카푸치노,13605,2024-12-30 00:55:56
케이크,26677,2024-12-29 20:32:56
케이크,9246,2024-12-29 20:15:56
아메리카노,18865,2024-12-30 11:33:56
아메리카노,20707,2024-12-30 15:42:56
케이크,7566,2024-12-30 12:51:56
아메리카노,28841,2024-12-30 06:39:56
카푸치노,23643,2024-12-29 21:22:56
카푸치노,9276,2024-12-30 10:02:56
카푸치노,1852,2024-12-29 23:48:56
케이크,10544,2024-12-30 14:08:56
아메리카노,3915,2024-12-30 13:01:56
카푸치노,15202,2024-12-29 21:59:56
아메리카노,9984,2024-12-30 04:10:56
아메리카노,13619,2024-12-30 05:31:56
카푸치노,14808,2024-12-30 06:14:56
카푸치노,18536,2024-12-30 01:24:56
케이크,4892,2024-12-29 22:18:56
아메리카노,25414,2024-12-29 19:26:56
카푸치노,22885,2024-12-30 04:48:56
케이크,18368,2024-12-30 08:22:56
케이크,2460,2024-12-29 19:14:56
카푸치노,18043,2024-12-29 20:13:56
아메리카노,16381,2024-12-29 23:56:56
