menu,price,order_time
카푸치노,24586,2024-12-29 20:27:56
아메리카노,8343,2024-12-30 12:47:56
케이크,25439,2024-12-30 09:07:56
케이크,9377,2024-12-30 12:44:56
카푸치노,24335,2024-12-29 20:45:56
케이크,23000,2024-12-30 07:45:56
케이크,26729,2024-12-29 21:12:56
카푸치노,5789,2024-12-29 18:51:56
아메리카노,12784,2024-12-30 08:53:56
케이크,26761,2024-12-30 14:36:56
아메리카노,1586,2024-12-30 03:04:56
케이크,6290,2024-12-29 17:43:56
카푸치노,22517,2024-12-30 03:41:56
케이크,10886,2024-12-29 20:46:56
카푸치노,29439,2024-12-30 10:47:56
카푸치노,27516,2024-12-30 04:38:56
아메리카노,9803,2024-12-30 10:48:56
케이크,12929,2024-12-30 17:00:56
아메리카노,25401,2024-12-30 03:43:56
아메리카노,14562,2024-12-29 21:55:56
아메리카노,3034,2024-12-29 18:01:56
케이크,21692,2024-12-30 13:06:56
카푸치노,23453,2024-12-30 02:50:56
케이크,5020,2024-12-30 14:25:56
케이크,25774,2024-12-30 14:25:56
카푸치노,9378,2024-12-29 21:10:56
아메리카노,28238,2024-12-30 10:29:56
아메리카노,13090,2024-12-30 06:29:56
카푸치노,24578,2024-12-30 11:43:56
케이크,15716,2024-12-30 12:53:56
카푸치노,26765,2024-12-29 21:06:56
케이크,21845,2024-12-30 14:37:56
카푸치노,11436,2024-12-30 14:12:56
케이크,15880,2024-12-30 11:06:56
아메리카노,17230,2024-12-30 01:51:56
케이크,1636,2024-12-30 15:36:56
케이크,11179,2024-12-30 05:37:56
케이크,15052,2024-12-30 07:07:56
케이크,11986,2024-12-29 23:31:56
카푸치노,5360,2024-12-30 07:33:56
아메리카노,21824,2024-12-29 23:26:56
카푸치노,13446,2024-12-30 07:40:56
아메리카노,24433,2024-12-30 05:35:56
카푸치노,24941,2024-12-30 09:57:56
카푸치노,27328,2024-12-29 22:03:56
아메리카노,6745,2024-12-30 15:27:56
카푸치노,6863,2024-12-30 01:46:56
아메리카노,28601,2024-12-30 06:16:56
카푸치노,29298,2024-12-29 18:59:56
카푸치노,8475,2024-12-30 05:35:56
아메리카노,25151,2024-12-30 14:43:56
카푸치노,8282,2024-12-29 18:04:56
카푸치노,2219,2024-12-30 12:09:56
카푸치노,21519,2024-12-29 22:33:56
케이크,11158,2024-12-30 16:59:56
카푸치노,29657,2024-12-29 20:58:56
카푸치노,24362,2024-12-30 02:38:56
아메리카노,9084,2024-12-30 06:42:56
아메리카노,7941,2024-12-30 06:28:56
케이크,17665,2024-12-30 13:55:56
카푸치노,14344,2024-12-30 17:17:56
아메리카노,15038,2024-12-29 22:10:56
케이크,8193,2024-12-29 23:17:56
아메리카노,3808,2024-12-30 15:06:56
카푸치노,12846,2024-12-30 07:31:56
카푸치노,23326,2024-12-29 20:43:56
아메리카노,22505,2024-12-30 10:38:56
아메리카노,22321,2024-12-30 07:09:56
아메리카노,24399,2024-12-30 03:33:56
아메리카노,23032,2024-12-30 09:18:56
케이크,22274,2024-12-29 20:26:56
카푸치노,18226,2024-12-30 02:06:56
케이크,14856,2024-12-30 09:15:56
카푸치노,8906,2024-12-30 13:32:56
아메리카노,10328,2024-12-30 01:51:56
아메리카노,5659,2024-12-30 11:36:56
카푸치노,15434,2024-12-30 13:00:56
아메리카노,5805,2024-12-30 00:49:56
카푸치노,27636,2024-12-30 14:24:56
카푸치노,21364,2024-12-30 15:55:56
아메리카노,11401,2024-12-30 02:04:56
케이크,21210,2024-12-30 14:48:56
케이크,25881,2024-12-29 22:24:56
아메리카노,20267,2024-12-29 18:58:56
케이크,1312,2024-12-30 07:12:56
케이크,23380,2024-12-30 14:07:56
케이크,5767,2024-12-30 03:16:56
케이크,20162,2024-12-30 01:05:56
케이크,14939,2024-12-30 10:19:56
케이크,7626,2024-12-30 10:52:56
아메리카노,17833,2024-12-30 14:13:56
아메리카노,7923,2024-12-29 23:46:56
아메리카노,28580,2024-12-29 23:58:56
케이크,1462,2024-12-30 03:06:56
카푸치노,23466,2024-12-30 06:23:56
아메리카노,9607,2024-12-29 22:46:56
카푸치노,15749,2024-12-30 04:32:56
카푸치노,1788,2024-12-30 05:27:56
카푸치노,11981,2024-12-29 22:03:56
케이크,25320,2024-12-29 23:44:56
