menu,price,order_time
케이크,7403,2024-12-30 10:43:56
케이크,21894,2024-12-30 08:26:56
케이크,6460,2024-12-29 21:50:56
아메리카노,13595,2024-12-30 00:14:56
케이크,15815,2024-12-29 18:09:56
카푸치노,10084,2024-12-30 10:10:56
아메리카노,28509,2024-12-30 01:02:56
아메리카노,20042,2024-12-30 07:59:56
카푸치노,1661,2024-12-30 02:55:56
아메리카노,7276,2024-12-30 01:36:56
카푸치노,20422,2024-12-29 18:24:56
아메리카노,24233,2024-12-29 23:26:56
카푸치노,4417,2024-12-30 06:22:56
카푸치노,2982,2024-12-29 18:21:56
케이크,11170,2024-12-30 05:42:56
케이크,26479,2024-12-30 08:28:56
아메리카노,14836,2024-12-30 10:19:56
케이크,21513,2024-12-30 10:55:56
카푸치노,17974,2024-12-30 05:46:56
아메리카노,16199,2024-12-29 23:55:56
아메리카노,17967,2024-12-30 12:22:56
아메리카노,17908,2024-12-30 15:39:56
아메리카노,24580,2024-12-30 00:03:56
카푸치노,25698,2024-12-30 09:32:56
케이크,20621,2024-12-30 12:29:56
카푸치노,19956,2024-12-29 18:16:56
카푸치노,23421,2024-12-30 01:04:56
케이크,17841,2024-12-30 05:07:56
아메리카노,12216,2024-12-30 16:49:56
카푸치노,22243,2024-12-29 18:04:56
아메리카노,22942,2024-12-29 21:10:56
케이크,13031,2024-12-29 19:14:56
카푸치노,27563,2024-12-29 20:10:56
아메리카노,21541,2024-12-30 04:09:56
카푸치노,19831,2024-12-30 13:32:56
카푸치노,19232,2024-12-30 11:59:56
케이크,5053,2024-12-29 19:16:56
카푸치노,2525,2024-12-30 05:26:56
케이크,1926,2024-12-30 04:51:56
카푸치노,1254,2024-12-30 16:20:56
케이크,18069,2024-12-29 17:59:56
아메리카노,3476,2024-12-29 19:20:56
아메리카노,10662,2024-12-30 11:54:56
아메리카노,27957,2024-12-30 15:02:56
카푸치노,26212,2024-12-30 15:14:56
아메리카노,16352,2024-12-29 23:15:56
케이크,21791,2024-12-30 05:22:56
케이크,23370,2024-12-30 16:17:56
케이크,16837,2024-12-30 08:09:56
카푸치노,1693,2024-12-29 20:03:56
카푸치노,12815,2024-12-30 14:17:56
카푸치노,7157,2024-12-30 02:37:56
아메리카노,22546,2024-12-29 20:55:56
카푸치노,1621,2024-12-30 04:05:56
케이크,23786,2024-12-30 10:32:56
카푸치노,10242,2024-12-30 08:10:56
카푸치노,9784,2024-12-29 23:05:56
카푸치노,2574,2024-12-30 04:30:56
케이크,4619,2024-12-30 09:21:56
케이크,23184,2024-12-30 07:39:56
카푸치노,11359,2024-12-29 23:16:56
카푸치노,18381,2024-12-30 05:40:56
아메리카노,29716,2024-12-30 12:33:56
카푸치노,11450,2024-12-30 16:48:56
아메리카노,5027,2024-12-30 04:30:56
아메리카노,13949,2024-12-30 16:40:56
아메리카노,14916,2024-12-30 12:08:56
아메리카노,29599,2024-12-30 15:24:56
아메리카노,26112,2024-12-29 20:13:56
아메리카노,19353,2024-12-30 13:52:56
아메리카노,3667,2024-12-29 23:19:56
아메리카노,3638,2024-12-30 16:53:56
아메리카노,10523,2024-12-29 19:11:56
카푸치노,19625,2024-12-30 08:39:56
아메리카노,20197,2024-12-30 08:00:56
케이크,2922,2024-12-30 10:29:56
케이크,4815,2024-12-30 13:07:56
케이크,1765,2024-12-29 19:14:56
카푸치노,10961,2024-12-30 17:20:56
아메리카노,2077,2024-12-30 15:27:56
카푸치노,21264,2024-12-30 00:05:56
아메리카노,9995,2024-12-30 16:55:56
아메리카노,16374,2024-12-30 15:06:56
카푸치노,20534,2024-12-30 00:37:56
케이크,10109,2024-12-30 15:11:56
카푸치노,3676,2024-12-30 00:10:56
아메리카노,19567,2024-12-30 15:35:56
케이크,17472,2024-12-30 03:15:56
카푸치노,6482,2024-12-30 03:47:56
아메리카노,8891,2024-12-30 14:10:56
케이크,20556,2024-12-30 14:13:56
카푸치노,19850,2024-12-29 23:49:56
카푸치노,29107,2024-12-29 22:35:56
케이크,18682,2024-12-30 07:03:56
카푸치노,21627,2024-12-30 14:33:56
아메리카노,4099,2024-12-30 00:59:56
카푸치노,7854,2024-12-29 23:16:56
케이크,3366,2024-12-30 12:14:56
카푸치노,18307,2024-12-29 21:23:56
케이크,17371,2024-12-30 10:28:56
