menu,price,order_time
카푸치노,25109,2024-12-29 18:32:56
카푸치노,15542,2024-12-30 00:43:56
케이크,17214,2024-12-30 01:09:56
케이크,23777,2024-12-30 17:19:56
케이크,17685,2024-12-30 01:06:56
케이크,1440,2024-12-30 00:22:56
케이크,2544,2024-12-29 23:20:56
아메리카노,14062,2024-12-30 15:16:56
케이크,17828,2024-12-30 10:16:56
케이크,21908,2024-12-30 07:24:56
카푸치노,17725,2024-12-30 10:38:56
케이크,12308,2024-12-30 02:11:56
카푸치노,2214,2024-12-30 06:35:56
아메리카노,21141,2024-12-29 20:33:56
케이크,12369,2024-12-30 13:19:56
아메리카노,28352,2024-12-29 23:58:56
카푸치노,29056,2024-12-30 02:22:56
카푸치노,21007,2024-12-30 00:39:56
아메리카노,9441,2024-12-30 14:27:56
아메리카노,29645,2024-12-30 07:29:56
케이크,19349,2024-12-30 14:24:56
케이크,22938,2024-12-29 20:15:56
케이크,13639,2024-12-30 13:47:56
케이크,1910,2024-12-30 16:54:56
케이크,27703,2024-12-30 07:20:56
아메리카노,10975,2024-12-30 02:56:56
아메리카노,4529,2024-12-29 19:19:56
카푸치노,7647,2024-12-30 04:07:56
케이크,7946,2024-12-29 21:02:56
아메리카노,7435,2024-12-29 23:05:56
케이크,3552,2024-12-30 03:20:56
케이크,12320,2024-12-29 20:41:56
케이크,14817,2024-12-30 00:19:56
카푸치노,27038,2024-12-30 07:03:56
케이크,5681,2024-12-29 21:12:56
카푸치노,16779,2024-12-29 18:58:56
케이크,3879,2024-12-30 10:05:56
케이크,17110,2024-12-29 20:12:56
아메리카노,26781,2024-12-30 07:00:56
아메리카노,12558,2024-12-29 19:52:56
아메리카노,11359,2024-12-30 00:46:56
카푸치노,18730,2024-12-30 16:19:56
아메리카노,27419,2024-12-30 04:08:56
카푸치노,3744,2024-12-30 15:58:56
카푸치노,12894,2024-12-29 20:02:56
카푸치노,23724,2024-12-30 03:31:56
카푸치노,24851,2024-12-30 04:27:56
아메리카노,9665,2024-12-30 02:55:56
케이크,1532,2024-12-29 18:56:56
카푸치노,9172,2024-12-30 16:20:56
카푸치노,5603,2024-12-30 15:02:56
아메리카노,22795,2024-12-30 06:16:56
케이크,21518,2024-12-30 01:27:56
카푸치노,17794,2024-12-30 10:08:56
케이크,20861,2024-12-30 05:56:56
카푸치노,16436,2024-12-29 22:59:56
카푸치노,12780,2024-12-30 15:48:56
아메리카노,18379,2024-12-30 11:14:56
아메리카노,27579,2024-12-30 06:31:56
케이크,11214,2024-12-29 20:15:56
케이크,19956,2024-12-30 10:34:56
카푸치노,20706,2024-12-30 10:05:56
아메리카노,11641,2024-12-29 19:28:56
카푸치노,15628,2024-12-30 00:47:56
아메리카노,11688,2024-12-30 00:12:56
카푸치노,29162,2024-12-30 07:19:56
카푸치노,6946,2024-12-30 04:45:56
카푸치노,29100,2024-12-30 05:23:56
케이크,14038,2024-12-30 09:06:56
카푸치노,24167,2024-12-30 12:16:56
케이크,27247,2024-12-30 10:43:56
아메리카노,17520,2024-12-29 22:24:56
아메리카노,11692,2024-12-30 13:38:56
케이크,5325,2024-12-30 10:32:56
카푸치노,12672,2024-12-30 11:40:56
케이크,9536,2024-12-29 23:41:56
카푸치노,11110,2024-12-29 19:54:56
카푸치노,23020,2024-12-29 17:59:56
케이크,25689,2024-12-30 11:41:56
카푸치노,19626,2024-12-30 08:47:56
아메리카노,13753,2024-12-30 15:05:56
카푸치노,5015,2024-12-29 18:04:56
케이크,20227,2024-12-30 00:49:56
아메리카노,28555,2024-12-30 15:04:56
아메리카노,2459,2024-12-29 19:51:56
아메리카노,8539,2024-12-29 20:39:56
카푸치노,16239,2024-12-30 08:54:56
카푸치노,10699,2024-12-30 01:13:56
아메리카노,11033,2024-12-29 17:46:56
아메리카노,24882,2024-12-30 12:57:56
아메리카노,21155,2024-12-30 04:28:56
카푸치노,12534,2024-12-29 22:40:56
카푸치노,4246,2024-12-30 16:37:56
아메리카노,2913,2024-12-30 00:51:56
아메리카노,13423,2024-12-30 06:03:56
카푸치노,21670,2024-12-30 06:15:56
아메리카노,14615,2024-12-29 22:37:56
케이크,19765,2024-12-30 08:01:56
카푸치노,19864,2024-12-30 10:16:56
카푸치노,4588,2024-12-29 17:55:56
