menu,price,order_time
도넛,5288,2024-12-29 17:59:56
머핀,13853,2024-12-30 01:11:56
도넛,9126,2024-12-29 20:36:56
크루아상,29114,2024-12-29 21:00:56
크루아상,3189,2024-12-30 00:29:56
크루아상,16138,2024-12-30 03:10:56
크루아상,9716,2024-12-30 09:10:56
크루아상,6309,2024-12-29 22:26:56
도넛,15406,2024-12-30 06:29:56
머핀,20385,2024-12-30 12:36:56
도넛,13065,2024-12-30 15:03:56
도넛,25635,2024-12-30 04:49:56
크루아상,12656,2024-12-29 18:11:56
크루아상,21742,2024-12-29 20:10:56
도넛,20428,2024-12-30 09:15:56
머핀,19974,2024-12-29 21:00:56
도넛,9404,2024-12-30 08:02:56
크루아상,7206,2024-12-30 15:37:56
크루아상,27805,2024-12-30 15:52:56
도넛,26142,2024-12-30 14:50:56
도넛,25895,2024-12-30 08:22:56
도넛,2562,2024-12-30 03:44:56
도넛,5036,2024-12-29 22:16:56
크루아상,22934,2024-12-30 09:17:56
크루아상,11414,2024-12-30 09:03:56
크루아상,17844,2024-12-30 12:13:56
도넛,9787,2024-12-30 14:42:56
도넛,21383,2024-12-30 15:18:56
크루아상,16059,2024-12-30 02:19:56
도넛,3137,2024-12-29 22:38:56
도넛,13733,2024-12-30 10:41:56
도넛,27355,2024-12-30 05:27:56
크루아상,22041,2024-12-30 09:42:56
도넛,15147,2024-12-29 17:36:56
도넛,1102,2024-12-29 22:46:56
크루아상,10279,2024-12-30 04:44:56
도넛,26270,2024-12-30 00:36:56
머핀,23073,2024-12-30 13:07:56
머핀,1445,2024-12-29 22:57:56
머핀,19249,2024-12-29 18:02:56
머핀,7411,2024-12-29 22:07:56
크루아상,16155,2024-12-30 06:19:56
크루아상,6394,2024-12-30 09:03:56
크루아상,19995,2024-12-30 10:43:56
크루아상,3509,2024-12-30 08:56:56
머핀,18065,2024-12-29 19:49:56
크루아상,18431,2024-12-30 13:02:56
도넛,27983,2024-12-30 14:00:56
크루아상,20696,2024-12-30 09:57:56
도넛,22959,2024-12-30 12:31:56
머핀,14132,2024-12-30 05:18:56
도넛,2491,2024-12-30 00:01:56
도넛,26370,2024-12-29 23:47:56
머핀,15394,2024-12-30 06:20:56
크루아상,8702,2024-12-30 16:38:56
크루아상,12829,2024-12-30 07:10:56
도넛,2219,2024-12-29 18:22:56
머핀,11981,2024-12-30 12:46:56
크루아상,11068,2024-12-30 08:25:56
크루아상,27233,2024-12-29 17:22:56
도넛,26728,2024-12-30 02:37:56
크루아상,28829,2024-12-30 08:13:56
크루아상,2929,2024-12-30 17:17:56
머핀,3929,2024-12-30 06:45:56
도넛,18456,2024-12-30 00:01:56
도넛,24840,2024-12-29 20:25:56
머핀,3571,2024-12-30 03:51:56
크루아상,4661,2024-12-30 04:51:56
머핀,8973,2024-12-30 09:38:56
머핀,17216,2024-12-29 19:02:56
머핀,28766,2024-12-30 05:37:56
머핀,28223,2024-12-30 10:27:56
도넛,29830,2024-12-30 10:40:56
크루아상,9249,2024-12-29 22:54:56
머핀,25953,2024-12-30 12:53:56
머핀,13727,2024-12-29 22:12:56
머핀,24484,2024-12-29 17:45:56
도넛,23083,2024-12-30 00:49:56
크루아상,4915,2024-12-30 16:34:56
도넛,6082,2024-12-30 07:58:56
도넛,4098,2024-12-30 02:12:56
머핀,28201,2024-12-29 19:57:56
크루아상,9187,2024-12-29 18:27:56
크루아상,28671,2024-12-30 00:03:56
크루아상,10352,2024-12-30 04:35:56
머핀,7532,2024-12-29 21:09:56
머핀,17385,2024-12-30 08:28:56
머핀,17407,2024-12-30 05:50:56
머핀,5939,2024-12-30 02:02:56
도넛,21708,2024-12-30 11:29:56
도넛,24218,2024-12-29 19:36:56
머핀,18017,2024-12-30 09:43:56
크루아상,3877,2024-12-29 21:09:56
머핀,28627,2024-12-30 00:13:56
머핀,18452,2024-12-30 11:47:56
머핀,26019,2024-12-29 21:29:56
도넛,6961,2024-12-29 17:48:56
도넛,9362,2024-12-30 15:36:56
머핀,12065,2024-12-30 16:57:56
크루아상,11498,2024-12-30 01:00:56
