menu,price,order_time
소바,13689,2024-12-29 18:35:56
소바,25174,2024-12-30 09:31:56
라멘,12153,2024-12-30 16:26:56
라멘,7814,2024-12-30 07:46:56
우동,13434,2024-12-29 18:53:56
우동,17386,2024-12-30 07:18:56
우동,23319,2024-12-30 09:21:56
우동,8771,2024-12-29 19:43:56
소바,26967,2024-12-30 14:36:56
소바,20157,2024-12-30 01:45:56
소바,1009,2024-12-29 19:37:56
우동,13992,2024-12-30 02:58:56
소바,14645,2024-12-30 12:27:56
소바,29984,2024-12-30 07:13:56
라멘,22652,2024-12-30 01:54:56
소바,20188,2024-12-30 03:15:56
라멘,14812,2024-12-30 11:17:56
소바,21929,2024-12-30 00:17:56
우동,21479,2024-12-30 15:20:56
소바,10811,2024-12-30 05:18:56
라멘,15235,2024-12-29 22:39:56
소바,15641,2024-12-30 02:23:56
라멘,11253,2024-12-29 21:37:56
라멘,2883,2024-12-29 20:16:56
소바,19282,2024-12-30 08:13:56
우동,13451,2024-12-29 18:16:56
소바,7462,2024-12-30 06:54:56
라멘,5435,2024-12-29 20:34:56
우동,14724,2024-12-29 19:13:56
우동,15476,2024-12-30 08:29:56
라멘,15269,2024-12-30 08:13:56
소바,22667,2024-12-30 03:43:56
우동,26654,2024-12-30 10:13:56
라멘,18876,2024-12-30 13:10:56
소바,20060,2024-12-30 17:16:56
라멘,19970,2024-12-29 19:36:56
라멘,20570,2024-12-30 08:51:56
라멘,18847,2024-12-30 05:54:56
라멘,15619,2024-12-30 13:13:56
소바,27878,2024-12-29 21:24:56
라멘,10098,2024-12-29 18:31:56
라멘,8719,2024-12-30 11:08:56
라멘,20479,2024-12-30 09:01:56
소바,3931,2024-12-29 23:50:56
라멘,26551,2024-12-29 17:22:56
소바,7280,2024-12-29 19:44:56
우동,21376,2024-12-30 04:01:56
우동,25334,2024-12-30 13:47:56
우동,12819,2024-12-30 10:34:56
우동,7282,2024-12-30 00:27:56
소바,11283,2024-12-30 13:04:56
소바,22604,2024-12-29 18:23:56
우동,28518,2024-12-29 17:58:56
소바,13778,2024-12-30 11:38:56
소바,26494,2024-12-29 23:21:56
우동,18017,2024-12-30 15:29:56
라멘,9641,2024-12-29 21:36:56
우동,5996,2024-12-30 00:02:56
우동,15569,2024-12-30 08:26:56
우동,3654,2024-12-30 14:00:56
우동,15089,2024-12-30 03:03:56
라멘,11537,2024-12-30 03:02:56
소바,22853,2024-12-30 15:54:56
소바,29918,2024-12-29 22:32:56
라멘,9429,2024-12-29 23:56:56
우동,14017,2024-12-29 19:28:56
소바,21627,2024-12-30 16:56:56
우동,17297,2024-12-30 05:47:56
우동,6025,2024-12-29 19:29:56
우동,24180,2024-12-30 14:59:56
소바,23520,2024-12-30 07:02:56
우동,15944,2024-12-30 09:31:56
라멘,3986,2024-12-30 09:21:56
우동,6587,2024-12-29 23:53:56
우동,29671,2024-12-29 19:56:56
라멘,26044,2024-12-30 05:26:56
우동,16626,2024-12-30 08:40:56
라멘,24894,2024-12-30 05:26:56
소바,3932,2024-12-29 20:40:56
라멘,17869,2024-12-30 00:06:56
소바,9797,2024-12-29 18:18:56
우동,13117,2024-12-30 03:45:56
라멘,28771,2024-12-30 00:00:56
라멘,17132,2024-12-30 14:39:56
우동,16895,2024-12-30 14:57:56
소바,1623,2024-12-30 09:55:56
라멘,4851,2024-12-30 01:46:56
라멘,13200,2024-12-30 02:39:56
라멘,23625,2024-12-30 09:41:56
우동,5541,2024-12-30 01:41:56
라멘,14327,2024-12-30 10:46:56
우동,21575,2024-12-30 02:48:56
우동,1057,2024-12-29 20:33:56
소바,19411,2024-12-30 10:38:56
라멘,13155,2024-12-30 14:30:56
라멘,3401,2024-12-30 05:53:56
라멘,20471,2024-12-29 23:37:56
라멘,20132,2024-12-30 03:00:56
소바,6157,2024-12-29 21:30:56
소바,9031,2024-12-30 09:21:56
