menu,price,order_time
참치회,4807,2024-12-29 23:19:56
참치회,12646,2024-12-29 20:19:56
참치회,17604,2024-12-30 00:10:56
광어회,4800,2024-12-29 20:42:56
참치회,1565,2024-12-30 01:26:56
참치회,11142,2024-12-30 10:11:56
광어회,26899,2024-12-30 00:58:56
광어회,2189,2024-12-30 16:14:56
광어회,9867,2024-12-30 15:33:56
참치회,14262,2024-12-30 13:04:56
연어초밥,5204,2024-12-30 10:51:56
참치회,2039,2024-12-30 05:20:56
광어회,6801,2024-12-30 02:24:56
광어회,24114,2024-12-30 00:30:56
연어초밥,12386,2024-12-30 04:07:56
광어회,9648,2024-12-30 10:20:56
연어초밥,26982,2024-12-30 06:01:56
광어회,15600,2024-12-30 15:36:56
참치회,3841,2024-12-29 23:55:56
광어회,28536,2024-12-30 01:50:56
참치회,1041,2024-12-30 11:51:56
연어초밥,2097,2024-12-29 20:20:56
참치회,13943,2024-12-30 12:27:56
연어초밥,28933,2024-12-30 06:41:56
참치회,23252,2024-12-30 03:39:56
광어회,15072,2024-12-30 05:18:56
광어회,3076,2024-12-30 14:32:56
참치회,22073,2024-12-30 11:48:56
광어회,5795,2024-12-30 05:43:56
참치회,17475,2024-12-30 02:38:56
참치회,18802,2024-12-30 14:52:56
참치회,24008,2024-12-29 17:44:56
연어초밥,9364,2024-12-30 01:15:56
참치회,9064,2024-12-30 05:03:56
연어초밥,21799,2024-12-30 11:42:56
연어초밥,20882,2024-12-30 14:37:56
연어초밥,3478,2024-12-30 16:32:56
광어회,1503,2024-12-30 12:14:56
광어회,18286,2024-12-30 12:38:56
참치회,3318,2024-12-30 15:46:56
광어회,20599,2024-12-29 21:15:56
연어초밥,14604,2024-12-30 08:55:56
광어회,24295,2024-12-29 19:21:56
참치회,27531,2024-12-30 12:36:56
참치회,4793,2024-12-30 10:00:56
광어회,11779,2024-12-30 09:13:56
광어회,13003,2024-12-30 10:44:56
참치회,18174,2024-12-30 15:14:56
참치회,24396,2024-12-30 12:04:56
광어회,28220,2024-12-30 11:37:56
광어회,16054,2024-12-30 08:05:56
광어회,11663,2024-12-30 05:51:56
광어회,29700,2024-12-30 02:04:56
광어회,8776,2024-12-29 19:28:56
연어초밥,29287,2024-12-30 11:50:56
참치회,11637,2024-12-29 22:19:56
연어초밥,9956,2024-12-30 05:45:56
참치회,13504,2024-12-29 23:26:56
광어회,24632,2024-12-30 15:53:56
연어초밥,26807,2024-12-30 02:19:56
참치회,3653,2024-12-30 02:17:56
연어초밥,23242,2024-12-30 09:19:56
광어회,22658,2024-12-30 07:40:56
광어회,9845,2024-12-30 15:29:56
참치회,16309,2024-12-29 19:21:56
연어초밥,15951,2024-12-30 14:25:56
참치회,28247,2024-12-30 04:09:56
광어회,20539,2024-12-30 07:58:56
연어초밥,23239,2024-12-30 10:23:56
광어회,22931,2024-12-29 21:39:56
참치회,5409,2024-12-30 13:08:56
참치회,20821,2024-12-30 14:36:56
연어초밥,25547,2024-12-30 00:45:56
광어회,3612,2024-12-30 00:04:56
광어회,21592,2024-12-30 13:54:56
광어회,6043,2024-12-30 02:14:56
연어초밥,14668,2024-12-30 14:15:56
연어초밥,22770,2024-12-30 15:28:56
참치회,4403,2024-12-29 23:01:56
연어초밥,29996,2024-12-30 09:04:56
연어초밥,5137,2024-12-29 22:21:56
참치회,1594,2024-12-30 05:24:56
연어초밥,14586,2024-12-30 14:53:56
참치회,2616,2024-12-29 19:17:56
참치회,16868,2024-12-29 23:30:56
광어회,21054,2024-12-30 11:45:56
광어회,18576,2024-12-30 16:15:56
참치회,25289,2024-12-30 01:49:56
연어초밥,3294,2024-12-30 01:18:56
참치회,17795,2024-12-29 19:10:56
연어초밥,26523,2024-12-30 06:55:56
참치회,4967,2024-12-29 21:10:56
연어초밥,7698,2024-12-29 18:54:56
광어회,20902,2024-12-30 03:05:56
참치회,1169,2024-12-30 01:33:56
연어초밥,5990,2024-12-29 18:27:56
연어초밥,28991,2024-12-29 19:22:56
참치회,15031,2024-12-30 06:45:56
참치회,14728,2024-12-29 19:46:56
참치회,8067,2024-12-30 14:33:56
