menu,price,order_time
케이크,3076,2024-12-30 10:12:57
카푸치노,25590,2024-12-30 04:31:57
카푸치노,26846,2024-12-29 19:07:57
케이크,8444,2024-12-30 07:31:57
카푸치노,16806,2024-12-29 23:12:57
카푸치노,16566,2024-12-30 13:11:57
케이크,8149,2024-12-29 19:36:57
케이크,19009,2024-12-29 22:43:57
카푸치노,2269,2024-12-30 04:24:57
케이크,10298,2024-12-30 06:44:57
아메리카노,8010,2024-12-30 10:18:57
아메리카노,17029,2024-12-30 14:52:57
케이크,29172,2024-12-30 09:46:57
카푸치노,9500,2024-12-30 04:20:57
카푸치노,26506,2024-12-30 04:32:57
케이크,8668,2024-12-29 22:56:57
카푸치노,26277,2024-12-29 22:00:57
카푸치노,28494,2024-12-30 09:20:57
카푸치노,3223,2024-12-30 10:09:57
케이크,1148,2024-12-30 17:12:57
케이크,6647,2024-12-29 23:08:57
케이크,21909,2024-12-30 07:23:57
카푸치노,16480,2024-12-30 16:23:57
카푸치노,15067,2024-12-30 07:28:57
케이크,1971,2024-12-30 04:20:57
아메리카노,17743,2024-12-29 21:40:57
아메리카노,3649,2024-12-29 22:31:57
카푸치노,19537,2024-12-30 15:46:57
케이크,21722,2024-12-30 14:03:57
케이크,4869,2024-12-29 19:59:57
케이크,21243,2024-12-30 16:59:57
카푸치노,21325,2024-12-29 22:32:57
케이크,29721,2024-12-29 23:35:57
케이크,19288,2024-12-30 00:36:57
카푸치노,15462,2024-12-30 05:28:57
아메리카노,29035,2024-12-29 23:46:57
케이크,24950,2024-12-30 07:48:57
카푸치노,12910,2024-12-29 18:51:57
케이크,13592,2024-12-30 02:34:57
케이크,11966,2024-12-30 00:30:57
카푸치노,12697,2024-12-30 16:43:57
케이크,10917,2024-12-30 07:33:57
카푸치노,1263,2024-12-30 16:39:57
아메리카노,21141,2024-12-30 04:29:57
카푸치노,3924,2024-12-30 02:52:57
카푸치노,23012,2024-12-30 16:37:57
케이크,26596,2024-12-30 00:02:57
카푸치노,23855,2024-12-30 05:43:57
케이크,16656,2024-12-30 05:35:57
아메리카노,16994,2024-12-30 00:08:57
케이크,9284,2024-12-30 00:52:57
아메리카노,8737,2024-12-30 02:34:57
케이크,3265,2024-12-30 13:24:57
카푸치노,11859,2024-12-30 03:16:57
카푸치노,6224,2024-12-29 19:53:57
카푸치노,22163,2024-12-30 02:44:57
케이크,5329,2024-12-29 22:38:57
케이크,22302,2024-12-30 11:58:57
케이크,12430,2024-12-30 13:38:57
카푸치노,24442,2024-12-30 06:56:57
아메리카노,26609,2024-12-30 04:34:57
아메리카노,7526,2024-12-29 18:38:57
케이크,18718,2024-12-30 02:45:57
아메리카노,15498,2024-12-30 15:41:57
아메리카노,28879,2024-12-30 06:23:57
아메리카노,26820,2024-12-30 09:05:57
케이크,7397,2024-12-30 06:08:57
카푸치노,2753,2024-12-30 10:29:57
카푸치노,27996,2024-12-30 04:38:57
아메리카노,20432,2024-12-29 21:37:57
케이크,22651,2024-12-29 18:58:57
아메리카노,26798,2024-12-29 20:45:57
카푸치노,6181,2024-12-30 16:20:57
카푸치노,1750,2024-12-29 23:07:57
카푸치노,6576,2024-12-30 00:49:57
카푸치노,6553,2024-12-30 00:15:57
아메리카노,17233,2024-12-29 17:28:57
카푸치노,27844,2024-12-30 14:38:57
카푸치노,29528,2024-12-30 02:44:57
카푸치노,2396,2024-12-30 08:37:57
아메리카노,20945,2024-12-29 20:27:57
아메리카노,21148,2024-12-30 11:41:57
카푸치노,9812,2024-12-30 02:05:57
케이크,1554,2024-12-30 02:23:57
카푸치노,23200,2024-12-29 20:32:57
케이크,17083,2024-12-30 05:41:57
아메리카노,9984,2024-12-30 03:42:57
카푸치노,1361,2024-12-29 22:53:57
아메리카노,9349,2024-12-30 03:19:57
카푸치노,11154,2024-12-30 12:41:57
아메리카노,24414,2024-12-29 18:13:57
아메리카노,19961,2024-12-30 06:12:57
아메리카노,12236,2024-12-30 15:15:57
카푸치노,27249,2024-12-29 23:29:57
아메리카노,1932,2024-12-30 16:56:57
카푸치노,6233,2024-12-30 12:17:57
아메리카노,8420,2024-12-29 23:09:57
케이크,13979,2024-12-30 16:54:57
케이크,4902,2024-12-30 02:35:57
카푸치노,2507,2024-12-30 01:27:57
