menu,price,order_time
카푸치노,9223,2024-12-29 18:39:56
카푸치노,10657,2024-12-29 22:55:56
아메리카노,16092,2024-12-29 17:42:56
케이크,24228,2024-12-30 11:04:56
케이크,26670,2024-12-30 06:51:56
카푸치노,8304,2024-12-29 23:28:56
카푸치노,3551,2024-12-30 06:10:56
케이크,1231,2024-12-29 18:37:56
아메리카노,18292,2024-12-30 06:10:56
케이크,27477,2024-12-29 18:28:56
아메리카노,18601,2024-12-30 04:14:56
카푸치노,12149,2024-12-29 17:22:56
아메리카노,7023,2024-12-29 22:00:56
카푸치노,8253,2024-12-30 08:00:56
카푸치노,28564,2024-12-30 00:35:56
케이크,21017,2024-12-30 03:50:56
아메리카노,15819,2024-12-30 06:01:56
케이크,17464,2024-12-29 21:05:56
케이크,27900,2024-12-30 01:33:56
카푸치노,27603,2024-12-29 20:46:56
케이크,21617,2024-12-30 14:29:56
카푸치노,6029,2024-12-30 14:55:56
아메리카노,14849,2024-12-30 13:46:56
카푸치노,20352,2024-12-30 11:17:56
카푸치노,13663,2024-12-30 02:30:56
카푸치노,28965,2024-12-30 16:43:56
카푸치노,7747,2024-12-30 03:14:56
카푸치노,26797,2024-12-30 02:37:56
아메리카노,19991,2024-12-30 14:42:56
케이크,21992,2024-12-30 01:15:56
아메리카노,20253,2024-12-30 03:52:56
카푸치노,12168,2024-12-29 19:34:56
카푸치노,10091,2024-12-29 17:27:56
카푸치노,28721,2024-12-30 10:55:56
케이크,6806,2024-12-30 11:19:56
카푸치노,25459,2024-12-29 21:24:56
아메리카노,27316,2024-12-29 18:40:56
케이크,16336,2024-12-30 09:16:56
케이크,26027,2024-12-30 10:58:56
케이크,5941,2024-12-30 07:19:56
아메리카노,19256,2024-12-30 07:32:56
카푸치노,19559,2024-12-30 01:19:56
아메리카노,17825,2024-12-30 11:17:56
케이크,7150,2024-12-30 03:39:56
아메리카노,17685,2024-12-29 21:07:56
케이크,20197,2024-12-30 10:56:56
카푸치노,2079,2024-12-30 17:09:56
아메리카노,18488,2024-12-30 12:55:56
아메리카노,10464,2024-12-30 00:10:56
아메리카노,17291,2024-12-30 16:11:56
카푸치노,19502,2024-12-30 05:58:56
카푸치노,10074,2024-12-30 01:01:56
카푸치노,24126,2024-12-30 10:49:56
케이크,27353,2024-12-30 03:39:56
케이크,11166,2024-12-30 02:43:56
아메리카노,16248,2024-12-30 15:05:56
카푸치노,6091,2024-12-29 19:12:56
카푸치노,20643,2024-12-30 10:36:56
케이크,20748,2024-12-30 00:31:56
아메리카노,13501,2024-12-30 07:02:56
아메리카노,16192,2024-12-29 17:21:56
카푸치노,27437,2024-12-30 03:36:56
아메리카노,14928,2024-12-30 08:08:56
카푸치노,20400,2024-12-30 11:25:56
카푸치노,10829,2024-12-30 04:36:56
아메리카노,28500,2024-12-30 00:06:56
케이크,28247,2024-12-30 03:21:56
아메리카노,8830,2024-12-29 20:09:56
아메리카노,18968,2024-12-30 01:11:56
아메리카노,27396,2024-12-30 11:31:56
아메리카노,4971,2024-12-29 21:38:56
아메리카노,17289,2024-12-30 13:56:56
케이크,18374,2024-12-30 10:47:56
케이크,12608,2024-12-30 05:54:56
케이크,8606,2024-12-30 15:35:56
카푸치노,12822,2024-12-29 18:10:56
케이크,25022,2024-12-30 15:58:56
케이크,28490,2024-12-29 21:23:56
카푸치노,16231,2024-12-30 09:25:56
케이크,21105,2024-12-29 22:10:56
아메리카노,16694,2024-12-29 17:47:56
카푸치노,7591,2024-12-29 20:55:56
카푸치노,8191,2024-12-30 11:59:56
카푸치노,12948,2024-12-30 02:38:56
아메리카노,1158,2024-12-30 04:40:56
카푸치노,17310,2024-12-29 19:47:56
아메리카노,13873,2024-12-29 19:58:56
케이크,21040,2024-12-30 15:13:56
케이크,12414,2024-12-30 16:22:56
케이크,10280,2024-12-30 11:32:56
카푸치노,7525,2024-12-30 08:48:56
아메리카노,8376,2024-12-30 13:40:56
아메리카노,10920,2024-12-30 03:44:56
케이크,7808,2024-12-30 11:55:56
카푸치노,27442,2024-12-30 04:53:56
아메리카노,19196,2024-12-30 17:20:56
케이크,5040,2024-12-29 18:52:56
아메리카노,10045,2024-12-30 03:50:56
케이크,10247,2024-12-29 18:26:56
아메리카노,27499,2024-12-30 02:37:56
