menu,price,order_time
만두,7744,2024-12-29 19:38:57
김밥,3925,2024-12-30 09:22:57
떡볶이,4210,2024-12-30 04:53:57
떡볶이,15839,2024-12-29 21:16:57
김밥,10263,2024-12-30 00:23:57
떡볶이,27974,2024-12-30 13:08:57
떡볶이,4123,2024-12-30 01:01:57
만두,28093,2024-12-29 23:43:57
만두,11558,2024-12-30 02:20:57
만두,14929,2024-12-29 19:31:57
김밥,26612,2024-12-30 02:54:57
만두,22076,2024-12-29 21:01:57
만두,25925,2024-12-30 16:32:57
만두,28804,2024-12-29 23:36:57
떡볶이,24101,2024-12-30 03:39:57
김밥,29796,2024-12-30 06:27:57
떡볶이,22491,2024-12-30 06:51:57
떡볶이,9189,2024-12-30 06:02:57
만두,19541,2024-12-29 17:52:57
떡볶이,21024,2024-12-30 04:32:57
김밥,6867,2024-12-30 08:45:57
만두,10253,2024-12-30 08:17:57
만두,2832,2024-12-30 02:13:57
떡볶이,11481,2024-12-30 17:07:57
떡볶이,17530,2024-12-30 08:55:57
김밥,10664,2024-12-30 05:49:57
만두,2088,2024-12-30 10:34:57
떡볶이,17416,2024-12-30 08:02:57
만두,22405,2024-12-30 11:07:57
김밥,4463,2024-12-29 23:44:57
김밥,22169,2024-12-30 03:52:57
만두,17343,2024-12-30 15:57:57
김밥,15679,2024-12-30 07:53:57
김밥,12781,2024-12-29 21:06:57
만두,21861,2024-12-30 03:55:57
김밥,13207,2024-12-30 03:02:57
떡볶이,16742,2024-12-29 22:33:57
김밥,26353,2024-12-29 23:11:57
떡볶이,24245,2024-12-30 15:01:57
떡볶이,1700,2024-12-30 03:45:57
김밥,20809,2024-12-30 03:13:57
김밥,5927,2024-12-30 14:18:57
떡볶이,10392,2024-12-30 12:38:57
떡볶이,23606,2024-12-29 19:39:57
떡볶이,5942,2024-12-30 07:35:57
김밥,6580,2024-12-29 17:40:57
만두,17999,2024-12-29 19:58:57
만두,18373,2024-12-30 16:09:57
떡볶이,5406,2024-12-29 20:37:57
김밥,25690,2024-12-29 18:31:57
만두,9578,2024-12-29 20:35:57
만두,14777,2024-12-30 00:58:57
김밥,9608,2024-12-30 01:29:57
만두,15157,2024-12-29 22:29:57
떡볶이,17732,2024-12-30 05:21:57
김밥,9390,2024-12-30 09:11:57
김밥,17869,2024-12-30 14:04:57
떡볶이,24661,2024-12-30 00:57:57
떡볶이,1034,2024-12-30 12:03:57
만두,7878,2024-12-29 20:00:57
김밥,5295,2024-12-30 10:59:57
만두,5671,2024-12-30 16:30:57
떡볶이,5802,2024-12-30 03:39:57
떡볶이,13390,2024-12-29 20:03:57
김밥,14627,2024-12-30 08:49:57
김밥,1367,2024-12-30 01:29:57
만두,16650,2024-12-30 06:17:57
만두,10074,2024-12-30 05:01:57
김밥,10688,2024-12-29 19:09:57
떡볶이,23153,2024-12-30 06:22:57
김밥,10642,2024-12-30 05:39:57
떡볶이,20809,2024-12-29 18:00:57
김밥,27173,2024-12-30 02:49:57
김밥,21618,2024-12-29 23:42:57
만두,19531,2024-12-30 12:56:57
김밥,28563,2024-12-30 00:16:57
떡볶이,8323,2024-12-30 06:20:57
만두,23444,2024-12-30 07:44:57
김밥,10625,2024-12-30 08:14:57
만두,1855,2024-12-29 23:11:57
떡볶이,21292,2024-12-30 11:54:57
만두,14583,2024-12-30 03:37:57
만두,12424,2024-12-30 03:32:57
떡볶이,6981,2024-12-30 10:59:57
김밥,17760,2024-12-30 08:42:57
만두,19423,2024-12-30 03:16:57
김밥,7180,2024-12-29 20:23:57
김밥,18501,2024-12-30 03:36:57
떡볶이,21397,2024-12-29 19:31:57
떡볶이,25166,2024-12-30 00:29:57
만두,19462,2024-12-30 11:29:57
김밥,18588,2024-12-30 12:27:57
만두,1421,2024-12-30 09:43:57
만두,18252,2024-12-30 04:02:57
떡볶이,14561,2024-12-29 19:00:57
김밥,1011,2024-12-29 21:06:57
만두,29512,2024-12-29 23:07:57
만두,14948,2024-12-29 23:53:57
김밥,9065,2024-12-30 06:01:57
만두,17383,2024-12-29 20:42:57
