menu,price,order_time
카푸치노,7785,2024-12-30 11:20:56
카푸치노,21320,2024-12-30 07:24:56
카푸치노,3042,2024-12-30 07:06:56
카푸치노,14328,2024-12-30 02:27:56
카푸치노,7112,2024-12-30 08:14:56
카푸치노,24516,2024-12-30 11:44:56
아메리카노,24748,2024-12-29 19:03:56
카푸치노,20794,2024-12-30 02:11:56
카푸치노,15737,2024-12-30 11:57:56
케이크,22846,2024-12-30 11:25:56
카푸치노,5525,2024-12-29 17:22:56
아메리카노,28714,2024-12-30 13:40:56
아메리카노,19705,2024-12-30 04:22:56
아메리카노,14760,2024-12-29 23:49:56
카푸치노,14602,2024-12-30 06:19:56
아메리카노,21305,2024-12-30 02:27:56
케이크,13774,2024-12-30 16:46:56
카푸치노,2503,2024-12-29 18:03:56
케이크,28279,2024-12-30 01:49:56
카푸치노,18623,2024-12-29 22:43:56
카푸치노,21390,2024-12-29 23:04:56
케이크,6159,2024-12-30 01:22:56
케이크,18764,2024-12-30 14:14:56
카푸치노,11665,2024-12-30 07:22:56
아메리카노,9027,2024-12-30 13:22:56
케이크,28526,2024-12-30 16:20:56
아메리카노,4248,2024-12-29 20:05:56
카푸치노,22906,2024-12-30 12:46:56
아메리카노,11608,2024-12-30 06:09:56
케이크,2758,2024-12-29 21:05:56
케이크,24066,2024-12-29 17:51:56
아메리카노,27571,2024-12-30 04:16:56
아메리카노,21910,2024-12-30 10:43:56
케이크,4559,2024-12-30 05:31:56
케이크,13212,2024-12-30 05:33:56
아메리카노,29683,2024-12-30 01:00:56
카푸치노,3559,2024-12-30 06:05:56
카푸치노,4759,2024-12-30 16:33:56
카푸치노,26705,2024-12-29 19:04:56
케이크,23158,2024-12-29 22:23:56
카푸치노,13313,2024-12-29 21:44:56
케이크,26501,2024-12-30 11:42:56
케이크,20838,2024-12-29 19:50:56
아메리카노,27704,2024-12-30 02:50:56
아메리카노,13369,2024-12-30 09:41:56
아메리카노,11457,2024-12-30 10:40:56
케이크,11971,2024-12-30 03:16:56
카푸치노,27939,2024-12-30 15:43:56
케이크,25438,2024-12-29 22:43:56
아메리카노,21060,2024-12-30 04:02:56
케이크,13839,2024-12-30 10:30:56
케이크,5640,2024-12-30 06:25:56
케이크,15327,2024-12-29 21:50:56
아메리카노,16708,2024-12-29 20:32:56
아메리카노,3332,2024-12-29 23:52:56
카푸치노,18817,2024-12-30 00:26:56
카푸치노,7928,2024-12-29 19:59:56
케이크,7278,2024-12-29 22:23:56
아메리카노,25852,2024-12-30 00:08:56
카푸치노,1389,2024-12-30 03:34:56
아메리카노,2846,2024-12-30 12:13:56
케이크,22662,2024-12-30 07:15:56
케이크,6412,2024-12-30 05:24:56
아메리카노,27120,2024-12-29 19:19:56
카푸치노,28523,2024-12-29 19:31:56
아메리카노,23366,2024-12-30 08:11:56
아메리카노,5958,2024-12-30 15:19:56
아메리카노,24932,2024-12-30 01:04:56
카푸치노,10910,2024-12-30 16:09:56
카푸치노,12315,2024-12-30 10:54:56
아메리카노,29726,2024-12-29 19:46:56
카푸치노,25800,2024-12-29 19:29:56
카푸치노,1085,2024-12-30 17:17:56
아메리카노,4716,2024-12-29 18:11:56
케이크,4438,2024-12-30 04:53:56
아메리카노,21040,2024-12-29 23:32:56
카푸치노,19368,2024-12-30 11:04:56
카푸치노,14650,2024-12-29 21:30:56
케이크,18927,2024-12-30 13:22:56
케이크,12325,2024-12-30 05:13:56
케이크,21457,2024-12-30 14:26:56
케이크,23487,2024-12-30 14:29:56
아메리카노,23217,2024-12-30 01:51:56
카푸치노,23139,2024-12-29 21:32:56
카푸치노,11094,2024-12-30 04:42:56
케이크,27853,2024-12-29 22:31:56
케이크,23507,2024-12-29 19:44:56
아메리카노,24823,2024-12-29 18:49:56
카푸치노,22994,2024-12-30 01:35:56
케이크,18649,2024-12-29 20:49:56
카푸치노,6450,2024-12-29 23:33:56
아메리카노,8431,2024-12-29 22:28:56
카푸치노,10664,2024-12-30 08:32:56
케이크,3976,2024-12-30 08:56:56
아메리카노,3570,2024-12-29 22:30:56
케이크,12116,2024-12-30 07:16:56
아메리카노,19991,2024-12-30 07:43:56
카푸치노,9006,2024-12-30 00:45:56
카푸치노,4020,2024-12-30 12:25:56
케이크,21719,2024-12-30 00:16:56
