menu,price,order_time
머핀,15046,2024-12-30 00:37:56
도넛,13415,2024-12-30 15:34:56
크루아상,15154,2024-12-30 05:17:56
크루아상,24490,2024-12-30 02:35:56
머핀,8333,2024-12-30 05:11:56
도넛,9786,2024-12-30 06:14:56
크루아상,27466,2024-12-30 10:41:56
크루아상,18029,2024-12-30 14:22:56
도넛,1829,2024-12-30 11:20:56
머핀,3335,2024-12-30 07:20:56
도넛,28681,2024-12-29 23:23:56
도넛,9947,2024-12-30 14:05:56
머핀,28732,2024-12-29 20:43:56
도넛,24307,2024-12-30 02:33:56
도넛,22348,2024-12-30 05:49:56
크루아상,11264,2024-12-29 19:02:56
도넛,11736,2024-12-30 15:14:56
크루아상,26147,2024-12-30 03:43:56
크루아상,22304,2024-12-30 05:29:56
머핀,23109,2024-12-30 09:35:56
크루아상,12746,2024-12-30 11:44:56
도넛,12586,2024-12-30 15:29:56
도넛,23091,2024-12-30 15:58:56
도넛,29892,2024-12-30 16:46:56
도넛,9103,2024-12-29 18:05:56
도넛,7028,2024-12-30 10:17:56
크루아상,17353,2024-12-30 08:22:56
도넛,20776,2024-12-30 12:28:56
머핀,3812,2024-12-29 19:52:56
도넛,4833,2024-12-30 09:01:56
크루아상,2337,2024-12-30 06:49:56
머핀,11909,2024-12-30 10:04:56
도넛,17023,2024-12-29 19:52:56
도넛,11325,2024-12-30 15:33:56
도넛,27812,2024-12-30 07:36:56
도넛,3861,2024-12-30 00:45:56
크루아상,10382,2024-12-30 01:58:56
크루아상,5924,2024-12-30 05:37:56
크루아상,17295,2024-12-30 06:21:56
도넛,21351,2024-12-30 00:06:56
머핀,7799,2024-12-30 13:31:56
머핀,24439,2024-12-29 20:31:56
크루아상,7241,2024-12-30 00:05:56
도넛,12215,2024-12-30 00:14:56
머핀,20802,2024-12-29 18:40:56
도넛,5408,2024-12-29 20:12:56
머핀,17916,2024-12-30 06:54:56
머핀,20120,2024-12-29 21:03:56
머핀,14014,2024-12-30 02:31:56
머핀,3127,2024-12-30 16:19:56
도넛,23783,2024-12-30 15:24:56
머핀,20016,2024-12-29 19:33:56
크루아상,8015,2024-12-29 19:32:56
도넛,24611,2024-12-29 18:28:56
머핀,18520,2024-12-30 07:59:56
도넛,17368,2024-12-30 00:33:56
도넛,29740,2024-12-30 00:53:56
크루아상,24868,2024-12-29 17:35:56
도넛,8004,2024-12-30 08:51:56
머핀,12313,2024-12-30 12:29:56
도넛,23329,2024-12-30 12:43:56
크루아상,18976,2024-12-30 03:31:56
도넛,17272,2024-12-30 08:58:56
도넛,17971,2024-12-30 12:45:56
머핀,15367,2024-12-29 20:47:56
크루아상,1690,2024-12-29 19:28:56
크루아상,22005,2024-12-30 07:33:56
크루아상,6268,2024-12-29 20:19:56
크루아상,3563,2024-12-29 22:37:56
머핀,3855,2024-12-30 13:56:56
크루아상,2982,2024-12-29 23:15:56
크루아상,21577,2024-12-29 20:41:56
도넛,3556,2024-12-30 03:24:56
도넛,18642,2024-12-30 04:00:56
크루아상,1102,2024-12-29 21:45:56
머핀,6608,2024-12-29 20:40:56
머핀,22029,2024-12-30 12:37:56
도넛,15093,2024-12-30 09:47:56
머핀,19119,2024-12-30 17:19:56
도넛,2848,2024-12-29 21:53:56
도넛,3952,2024-12-30 08:26:56
머핀,23617,2024-12-30 03:23:56
머핀,22884,2024-12-29 23:03:56
도넛,2411,2024-12-29 21:54:56
크루아상,15658,2024-12-30 09:12:56
도넛,18312,2024-12-30 12:39:56
도넛,13207,2024-12-30 02:47:56
도넛,4077,2024-12-30 03:46:56
크루아상,12637,2024-12-30 16:29:56
크루아상,23913,2024-12-30 09:16:56
크루아상,6005,2024-12-30 09:54:56
머핀,11082,2024-12-30 08:43:56
크루아상,8503,2024-12-29 20:31:56
크루아상,18678,2024-12-30 09:43:56
머핀,20473,2024-12-30 12:21:56
머핀,7663,2024-12-30 08:13:56
크루아상,12635,2024-12-29 22:21:56
도넛,9779,2024-12-29 21:37:56
크루아상,3002,2024-12-30 05:30:56
크루아상,17987,2024-12-30 00:06:56
