menu,price,order_time
케이크,7225,2024-12-30 13:55:57
아메리카노,24926,2024-12-30 13:04:57
케이크,25039,2024-12-30 15:25:57
케이크,20320,2024-12-30 11:24:57
케이크,25252,2024-12-29 21:17:57
카푸치노,5905,2024-12-30 16:09:57
카푸치노,25189,2024-12-29 18:10:57
케이크,11799,2024-12-30 02:34:57
카푸치노,26056,2024-12-30 04:03:57
아메리카노,2026,2024-12-29 18:52:57
카푸치노,17602,2024-12-30 10:40:57
케이크,15737,2024-12-30 05:49:57
카푸치노,7501,2024-12-29 23:06:57
아메리카노,16600,2024-12-29 20:55:57
카푸치노,2313,2024-12-30 11:13:57
아메리카노,13323,2024-12-30 12:53:57
카푸치노,23841,2024-12-30 11:22:57
케이크,22482,2024-12-29 19:45:57
카푸치노,16386,2024-12-30 10:04:57
케이크,18367,2024-12-30 02:18:57
케이크,12851,2024-12-30 09:28:57
아메리카노,25554,2024-12-30 14:06:57
아메리카노,21385,2024-12-30 03:24:57
케이크,10014,2024-12-30 02:10:57
아메리카노,29032,2024-12-30 14:23:57
아메리카노,24934,2024-12-30 15:31:57
케이크,5096,2024-12-30 08:30:57
카푸치노,21564,2024-12-30 03:58:57
아메리카노,13529,2024-12-29 23:31:57
카푸치노,4431,2024-12-30 14:57:57
카푸치노,9740,2024-12-29 23:46:57
아메리카노,14797,2024-12-29 19:30:57
카푸치노,11350,2024-12-30 01:53:57
케이크,13279,2024-12-30 02:36:57
카푸치노,8304,2024-12-30 15:46:57
카푸치노,14577,2024-12-30 04:20:57
케이크,7929,2024-12-29 21:15:57
케이크,6065,2024-12-29 20:22:57
카푸치노,20171,2024-12-29 19:14:57
아메리카노,25283,2024-12-30 08:07:57
케이크,29157,2024-12-30 07:30:57
케이크,14987,2024-12-29 17:41:57
아메리카노,29514,2024-12-29 17:33:57
케이크,3250,2024-12-30 15:49:57
카푸치노,27512,2024-12-29 22:33:57
아메리카노,7125,2024-12-30 15:36:57
아메리카노,5826,2024-12-30 11:57:57
카푸치노,17725,2024-12-29 18:50:57
아메리카노,19519,2024-12-29 23:41:57
아메리카노,17435,2024-12-30 13:46:57
아메리카노,28404,2024-12-30 10:58:57
카푸치노,17848,2024-12-30 10:05:57
카푸치노,24403,2024-12-30 15:22:57
아메리카노,9952,2024-12-29 23:12:57
카푸치노,16067,2024-12-30 09:51:57
케이크,1792,2024-12-30 09:59:57
카푸치노,28276,2024-12-30 00:15:57
케이크,15225,2024-12-30 01:28:57
카푸치노,14334,2024-12-29 17:50:57
케이크,26986,2024-12-30 07:39:57
아메리카노,25682,2024-12-30 01:09:57
카푸치노,3778,2024-12-30 09:06:57
케이크,24580,2024-12-30 14:06:57
케이크,26946,2024-12-29 18:36:57
케이크,5861,2024-12-30 03:49:57
아메리카노,3249,2024-12-29 23:38:57
케이크,19745,2024-12-29 22:39:57
아메리카노,18201,2024-12-30 07:40:57
카푸치노,20579,2024-12-30 02:19:57
아메리카노,21582,2024-12-30 02:38:57
카푸치노,8058,2024-12-30 07:25:57
케이크,14576,2024-12-29 19:02:57
아메리카노,9253,2024-12-29 22:42:57
케이크,22083,2024-12-30 07:29:57
아메리카노,29205,2024-12-30 10:12:57
케이크,23475,2024-12-29 23:30:57
카푸치노,5708,2024-12-29 19:25:57
케이크,19074,2024-12-30 05:09:57
카푸치노,27692,2024-12-30 10:36:57
카푸치노,6478,2024-12-30 11:38:57
카푸치노,6857,2024-12-30 00:24:57
케이크,12951,2024-12-29 21:40:57
카푸치노,27347,2024-12-29 23:06:57
케이크,9925,2024-12-29 23:48:57
케이크,5028,2024-12-29 18:24:57
아메리카노,20963,2024-12-30 01:52:57
케이크,14358,2024-12-29 18:48:57
케이크,25118,2024-12-30 03:26:57
아메리카노,21358,2024-12-29 21:03:57
케이크,2820,2024-12-30 13:55:57
카푸치노,28138,2024-12-29 23:46:57
카푸치노,25323,2024-12-30 11:14:57
케이크,23959,2024-12-30 13:05:57
아메리카노,25780,2024-12-29 23:40:57
아메리카노,13637,2024-12-29 20:59:57
아메리카노,21142,2024-12-30 11:01:57
케이크,13211,2024-12-30 01:17:57
케이크,22090,2024-12-30 12:49:57
아메리카노,10050,2024-12-29 22:33:57
케이크,15140,2024-12-30 03:37:57
