menu,price,order_time
아메리카노,4952,2024-12-29 23:41:56
케이크,3336,2024-12-30 01:56:56
아메리카노,1575,2024-12-30 10:15:56
카푸치노,6445,2024-12-30 03:10:56
카푸치노,17333,2024-12-30 07:15:56
케이크,8204,2024-12-30 01:08:56
카푸치노,19933,2024-12-29 18:31:56
케이크,8797,2024-12-30 15:11:56
아메리카노,14622,2024-12-30 15:15:56
아메리카노,29903,2024-12-30 05:31:56
아메리카노,10127,2024-12-30 01:44:56
카푸치노,27266,2024-12-30 03:56:56
아메리카노,18225,2024-12-29 18:49:56
카푸치노,15889,2024-12-30 16:30:56
아메리카노,28756,2024-12-30 06:41:56
아메리카노,7670,2024-12-30 12:35:56
카푸치노,1062,2024-12-30 09:37:56
케이크,8583,2024-12-29 19:40:56
카푸치노,15010,2024-12-30 15:40:56
아메리카노,15024,2024-12-30 15:43:56
카푸치노,27303,2024-12-30 03:31:56
카푸치노,16234,2024-12-30 16:06:56
케이크,5268,2024-12-30 09:32:56
카푸치노,2437,2024-12-29 21:35:56
카푸치노,5120,2024-12-29 21:38:56
카푸치노,2822,2024-12-30 05:25:56
아메리카노,24795,2024-12-29 22:37:56
케이크,18156,2024-12-30 01:04:56
케이크,9482,2024-12-30 01:00:56
카푸치노,14882,2024-12-30 13:25:56
카푸치노,12136,2024-12-30 17:10:56
아메리카노,18139,2024-12-30 07:14:56
케이크,23719,2024-12-30 05:40:56
카푸치노,26234,2024-12-29 19:50:56
아메리카노,16324,2024-12-29 20:33:56
아메리카노,9410,2024-12-29 18:05:56
아메리카노,5344,2024-12-30 12:39:56
케이크,4632,2024-12-30 15:25:56
아메리카노,15877,2024-12-29 23:15:56
케이크,25481,2024-12-29 23:32:56
아메리카노,17386,2024-12-30 10:35:56
카푸치노,5667,2024-12-29 20:10:56
카푸치노,3883,2024-12-30 03:41:56
케이크,12954,2024-12-30 14:20:56
케이크,3136,2024-12-30 17:17:56
카푸치노,10845,2024-12-30 07:48:56
카푸치노,15884,2024-12-30 14:15:56
케이크,28631,2024-12-30 15:44:56
케이크,3637,2024-12-30 12:18:56
아메리카노,26453,2024-12-30 12:04:56
케이크,10945,2024-12-30 02:38:56
카푸치노,12070,2024-12-29 19:13:56
케이크,18425,2024-12-29 18:10:56
케이크,17963,2024-12-30 04:50:56
케이크,14774,2024-12-30 13:11:56
케이크,5228,2024-12-29 21:08:56
케이크,8915,2024-12-29 19:07:56
케이크,7848,2024-12-30 00:37:56
케이크,23599,2024-12-29 17:32:56
케이크,8900,2024-12-30 16:02:56
아메리카노,18246,2024-12-30 14:45:56
아메리카노,16783,2024-12-30 12:07:56
아메리카노,4832,2024-12-29 23:47:56
카푸치노,13667,2024-12-29 20:38:56
카푸치노,4440,2024-12-30 09:02:56
케이크,4392,2024-12-29 19:40:56
아메리카노,22355,2024-12-30 00:53:56
케이크,1070,2024-12-30 16:58:56
카푸치노,18863,2024-12-30 08:18:56
카푸치노,12333,2024-12-30 12:10:56
케이크,20187,2024-12-29 18:36:56
아메리카노,5937,2024-12-30 14:39:56
아메리카노,27091,2024-12-29 21:43:56
케이크,4535,2024-12-30 12:50:56
아메리카노,26351,2024-12-30 12:05:56
카푸치노,22696,2024-12-30 12:45:56
카푸치노,24637,2024-12-30 14:47:56
케이크,23961,2024-12-30 02:07:56
아메리카노,8927,2024-12-30 03:20:56
아메리카노,13098,2024-12-30 08:40:56
케이크,20355,2024-12-30 07:51:56
케이크,22110,2024-12-30 00:24:56
케이크,16244,2024-12-30 03:23:56
카푸치노,1083,2024-12-30 08:53:56
아메리카노,6775,2024-12-30 11:06:56
카푸치노,2227,2024-12-29 22:57:56
케이크,13930,2024-12-30 16:37:56
케이크,8024,2024-12-30 14:21:56
아메리카노,1186,2024-12-30 02:22:56
케이크,13945,2024-12-30 17:21:56
카푸치노,24868,2024-12-29 18:04:56
아메리카노,7302,2024-12-30 09:05:56
케이크,1073,2024-12-30 12:03:56
아메리카노,19863,2024-12-29 17:56:56
아메리카노,18071,2024-12-30 00:59:56
아메리카노,7974,2024-12-29 18:39:56
카푸치노,15178,2024-12-29 22:03:56
카푸치노,9364,2024-12-29 20:13:56
카푸치노,29424,2024-12-30 09:26:56
케이크,24482,2024-12-29 18:09:56
