menu,price,order_time
아메리카노,21310,2024-12-30 06:27:56
케이크,29977,2024-12-29 20:33:56
카푸치노,5755,2024-12-30 05:06:56
케이크,1757,2024-12-29 20:01:56
아메리카노,3616,2024-12-30 01:07:56
아메리카노,6813,2024-12-29 21:13:56
케이크,28496,2024-12-30 08:22:56
케이크,4135,2024-12-30 00:23:56
카푸치노,4970,2024-12-29 22:19:56
케이크,7817,2024-12-30 12:02:56
아메리카노,14702,2024-12-30 16:27:56
아메리카노,12425,2024-12-30 00:30:56
아메리카노,10910,2024-12-29 17:42:56
카푸치노,26707,2024-12-30 06:33:56
카푸치노,15581,2024-12-30 00:31:56
카푸치노,9877,2024-12-30 14:44:56
아메리카노,7483,2024-12-30 16:25:56
아메리카노,18574,2024-12-30 05:34:56
아메리카노,12982,2024-12-30 05:05:56
카푸치노,7954,2024-12-29 23:06:56
카푸치노,2357,2024-12-30 15:12:56
카푸치노,11264,2024-12-30 07:01:56
케이크,5741,2024-12-29 20:50:56
카푸치노,23030,2024-12-29 17:36:56
카푸치노,3633,2024-12-29 18:39:56
카푸치노,27886,2024-12-30 15:01:56
아메리카노,21163,2024-12-30 12:50:56
카푸치노,13273,2024-12-30 07:34:56
카푸치노,28752,2024-12-29 18:12:56
아메리카노,11754,2024-12-30 15:51:56
케이크,8972,2024-12-29 18:13:56
아메리카노,3070,2024-12-30 02:23:56
아메리카노,18937,2024-12-30 02:45:56
아메리카노,19934,2024-12-30 07:00:56
카푸치노,20230,2024-12-30 02:44:56
카푸치노,1163,2024-12-29 18:43:56
카푸치노,9832,2024-12-30 15:01:56
케이크,24985,2024-12-30 16:27:56
아메리카노,1867,2024-12-30 16:41:56
카푸치노,5478,2024-12-30 09:51:56
케이크,12047,2024-12-30 10:28:56
아메리카노,12792,2024-12-29 19:22:56
케이크,15149,2024-12-30 08:15:56
케이크,18749,2024-12-30 15:54:56
카푸치노,21398,2024-12-30 10:13:56
아메리카노,23785,2024-12-30 17:03:56
케이크,8400,2024-12-29 19:13:56
카푸치노,29227,2024-12-30 09:01:56
아메리카노,20600,2024-12-29 23:39:56
카푸치노,9060,2024-12-30 13:48:56
아메리카노,24014,2024-12-29 17:21:56
카푸치노,17242,2024-12-30 04:33:56
케이크,26019,2024-12-30 16:04:56
아메리카노,20311,2024-12-29 22:18:56
카푸치노,11837,2024-12-30 06:45:56
케이크,20191,2024-12-29 20:33:56
케이크,4807,2024-12-30 06:26:56
카푸치노,2139,2024-12-30 08:54:56
아메리카노,3195,2024-12-30 05:31:56
카푸치노,24305,2024-12-30 11:21:56
카푸치노,17590,2024-12-30 09:55:56
카푸치노,20226,2024-12-30 03:31:56
아메리카노,23974,2024-12-29 19:53:56
카푸치노,5336,2024-12-29 18:39:56
아메리카노,4645,2024-12-30 13:04:56
케이크,28023,2024-12-29 19:16:56
카푸치노,15756,2024-12-29 21:01:56
케이크,7934,2024-12-30 11:30:56
카푸치노,19247,2024-12-30 13:52:56
카푸치노,8202,2024-12-30 08:17:56
케이크,29489,2024-12-30 16:52:56
아메리카노,5846,2024-12-30 06:42:56
카푸치노,20003,2024-12-30 12:11:56
아메리카노,1274,2024-12-30 04:37:56
케이크,27766,2024-12-30 11:34:56
아메리카노,12757,2024-12-29 20:31:56
케이크,28842,2024-12-30 15:17:56
아메리카노,27225,2024-12-30 04:36:56
카푸치노,27031,2024-12-29 21:09:56
케이크,18090,2024-12-29 17:37:56
카푸치노,5660,2024-12-30 11:43:56
케이크,2240,2024-12-29 17:32:56
카푸치노,3952,2024-12-30 09:53:56
카푸치노,19593,2024-12-30 10:02:56
케이크,8131,2024-12-29 18:25:56
케이크,1352,2024-12-30 12:32:56
아메리카노,24734,2024-12-29 17:30:56
카푸치노,28116,2024-12-30 16:45:56
아메리카노,22439,2024-12-30 17:12:56
아메리카노,3370,2024-12-30 02:30:56
케이크,4021,2024-12-29 21:05:56
아메리카노,16087,2024-12-30 12:26:56
카푸치노,17953,2024-12-30 13:45:56
카푸치노,13884,2024-12-30 08:44:56
카푸치노,13835,2024-12-30 05:05:56
아메리카노,23266,2024-12-29 23:29:56
카푸치노,9600,2024-12-29 19:43:56
카푸치노,4777,2024-12-30 02:44:56
카푸치노,15001,2024-12-30 07:13:56
아메리카노,17245,2024-12-29 22:41:56
