menu,price,order_time
닭강정,9515,2024-12-29 22:43:56
떡볶이,3129,2024-12-29 22:47:56
감자튀김,17164,2024-12-29 21:29:56
닭강정,18397,2024-12-30 17:20:56
떡볶이,3338,2024-12-30 02:05:56
떡볶이,20091,2024-12-30 01:48:56
닭강정,25473,2024-12-29 23:27:56
떡볶이,17240,2024-12-30 15:00:56
떡볶이,29145,2024-12-29 17:55:56
닭강정,3645,2024-12-30 11:07:56
떡볶이,3718,2024-12-30 05:09:56
떡볶이,7542,2024-12-30 11:26:56
닭강정,18129,2024-12-30 03:19:56
떡볶이,12524,2024-12-30 10:48:56
닭강정,27263,2024-12-30 12:33:56
닭강정,21690,2024-12-29 18:03:56
감자튀김,25751,2024-12-30 08:31:56
떡볶이,27381,2024-12-30 06:26:56
떡볶이,28757,2024-12-30 03:38:56
닭강정,14528,2024-12-29 18:29:56
감자튀김,7145,2024-12-29 19:00:56
닭강정,13721,2024-12-29 19:34:56
떡볶이,21411,2024-12-29 22:56:56
닭강정,3653,2024-12-30 17:11:56
떡볶이,22707,2024-12-30 02:35:56
떡볶이,20725,2024-12-29 22:53:56
떡볶이,26179,2024-12-29 19:17:56
닭강정,14205,2024-12-30 06:52:56
감자튀김,25510,2024-12-30 14:13:56
닭강정,24183,2024-12-30 04:28:56
떡볶이,12764,2024-12-30 08:34:56
닭강정,20545,2024-12-30 17:11:56
떡볶이,9034,2024-12-30 00:55:56
떡볶이,18762,2024-12-29 23:53:56
감자튀김,27475,2024-12-30 00:29:56
닭강정,13598,2024-12-30 00:02:56
떡볶이,26648,2024-12-30 01:48:56
닭강정,5537,2024-12-29 22:03:56
떡볶이,7001,2024-12-29 20:46:56
감자튀김,12855,2024-12-30 09:31:56
떡볶이,23920,2024-12-30 16:34:56
감자튀김,12346,2024-12-30 03:45:56
감자튀김,20296,2024-12-30 15:43:56
감자튀김,23759,2024-12-30 14:23:56
닭강정,7513,2024-12-30 05:07:56
떡볶이,4176,2024-12-30 07:03:56
떡볶이,24150,2024-12-29 19:27:56
떡볶이,12996,2024-12-29 23:59:56
감자튀김,5743,2024-12-30 16:35:56
떡볶이,18716,2024-12-30 05:12:56
감자튀김,8973,2024-12-30 03:23:56
감자튀김,15032,2024-12-30 15:29:56
닭강정,27136,2024-12-30 08:00:56
닭강정,26043,2024-12-30 01:42:56
닭강정,3041,2024-12-30 08:00:56
닭강정,14892,2024-12-30 16:30:56
닭강정,10020,2024-12-29 17:30:56
떡볶이,15551,2024-12-30 11:21:56
떡볶이,27929,2024-12-29 22:57:56
떡볶이,21327,2024-12-30 04:29:56
감자튀김,20524,2024-12-30 16:03:56
떡볶이,26720,2024-12-29 23:00:56
닭강정,4008,2024-12-30 05:55:56
감자튀김,29322,2024-12-29 17:43:56
닭강정,12945,2024-12-29 17:44:56
닭강정,17193,2024-12-30 09:05:56
감자튀김,14676,2024-12-30 04:11:56
감자튀김,22142,2024-12-30 07:10:56
떡볶이,15582,2024-12-30 03:56:56
떡볶이,11985,2024-12-30 14:40:56
감자튀김,8778,2024-12-30 04:43:56
닭강정,14477,2024-12-30 11:50:56
닭강정,23052,2024-12-29 19:29:56
떡볶이,26495,2024-12-30 00:34:56
닭강정,2142,2024-12-30 04:46:56
감자튀김,14183,2024-12-30 03:04:56
감자튀김,29022,2024-12-30 10:32:56
감자튀김,18316,2024-12-30 09:12:56
감자튀김,24738,2024-12-30 01:06:56
닭강정,25605,2024-12-30 13:54:56
떡볶이,9377,2024-12-30 13:01:56
닭강정,20294,2024-12-30 13:24:56
감자튀김,25310,2024-12-30 16:56:56
떡볶이,19559,2024-12-30 04:07:56
감자튀김,25481,2024-12-30 10:25:56
떡볶이,19290,2024-12-29 19:47:56
닭강정,3863,2024-12-30 08:30:56
떡볶이,13782,2024-12-30 05:07:56
감자튀김,20408,2024-12-30 15:24:56
떡볶이,12414,2024-12-29 22:42:56
감자튀김,22828,2024-12-30 07:33:56
떡볶이,11748,2024-12-30 09:56:56
떡볶이,7295,2024-12-29 22:19:56
닭강정,11815,2024-12-30 08:59:56
닭강정,4684,2024-12-29 19:19:56
감자튀김,14182,2024-12-30 12:58:56
닭강정,11877,2024-12-29 19:14:56
떡볶이,26766,2024-12-30 03:36:56
떡볶이,16849,2024-12-29 19:47:56
닭강정,6269,2024-12-30 06:32:56
