menu,price,order_time
도넛,16360,2024-12-29 18:32:56
도넛,7325,2024-12-30 03:18:56
머핀,21203,2024-12-30 10:01:56
머핀,21506,2024-12-30 12:09:56
크루아상,13482,2024-12-29 22:04:56
도넛,13128,2024-12-30 10:19:56
도넛,2565,2024-12-29 17:22:56
크루아상,23386,2024-12-30 12:41:56
머핀,1372,2024-12-30 12:52:56
머핀,6151,2024-12-30 13:16:56
도넛,27783,2024-12-30 02:42:56
도넛,27656,2024-12-29 17:32:56
크루아상,6689,2024-12-30 09:08:56
머핀,18018,2024-12-30 00:21:56
머핀,9686,2024-12-30 10:55:56
도넛,4378,2024-12-29 18:43:56
크루아상,21683,2024-12-30 09:34:56
머핀,26329,2024-12-29 22:49:56
크루아상,7915,2024-12-30 13:19:56
크루아상,28664,2024-12-30 04:35:56
도넛,29379,2024-12-30 14:11:56
도넛,14328,2024-12-30 09:28:56
도넛,23201,2024-12-30 15:23:56
도넛,3949,2024-12-30 16:33:56
머핀,19754,2024-12-30 06:38:56
머핀,12293,2024-12-30 09:44:56
도넛,8451,2024-12-30 04:50:56
도넛,13306,2024-12-30 15:39:56
머핀,16503,2024-12-30 10:06:56
도넛,14873,2024-12-29 18:19:56
도넛,12983,2024-12-30 07:48:56
머핀,29603,2024-12-30 06:30:56
크루아상,17898,2024-12-30 08:46:56
도넛,8528,2024-12-29 21:21:56
머핀,1071,2024-12-30 16:51:56
머핀,16471,2024-12-30 03:45:56
머핀,2781,2024-12-29 21:45:56
머핀,21419,2024-12-30 14:47:56
도넛,19486,2024-12-29 21:37:56
크루아상,19473,2024-12-29 22:11:56
크루아상,12057,2024-12-30 06:33:56
머핀,5732,2024-12-29 19:18:56
도넛,9963,2024-12-30 08:02:56
머핀,28540,2024-12-30 13:19:56
머핀,4220,2024-12-30 05:11:56
도넛,12764,2024-12-30 09:45:56
크루아상,4467,2024-12-30 03:55:56
크루아상,28300,2024-12-29 17:56:56
도넛,3552,2024-12-30 01:23:56
머핀,6749,2024-12-30 00:22:56
도넛,3736,2024-12-29 19:33:56
도넛,28043,2024-12-29 17:47:56
크루아상,10018,2024-12-30 05:37:56
크루아상,10277,2024-12-30 15:26:56
머핀,20904,2024-12-30 10:40:56
도넛,25578,2024-12-29 19:48:56
머핀,20186,2024-12-30 07:13:56
크루아상,5810,2024-12-29 21:05:56
크루아상,19267,2024-12-29 17:35:56
도넛,19883,2024-12-30 14:39:56
크루아상,14181,2024-12-29 18:48:56
크루아상,29984,2024-12-30 12:42:56
크루아상,7469,2024-12-30 05:00:56
크루아상,28527,2024-12-30 09:48:56
도넛,23209,2024-12-30 07:00:56
크루아상,28001,2024-12-30 05:32:56
머핀,25690,2024-12-29 23:04:56
머핀,14773,2024-12-30 08:15:56
머핀,8830,2024-12-30 08:43:56
머핀,26710,2024-12-30 16:00:56
머핀,18587,2024-12-30 11:43:56
도넛,22128,2024-12-30 09:27:56
머핀,19920,2024-12-29 22:40:56
머핀,23789,2024-12-29 22:57:56
크루아상,10096,2024-12-30 04:01:56
머핀,26743,2024-12-30 00:35:56
크루아상,27154,2024-12-29 17:46:56
머핀,10490,2024-12-30 07:38:56
머핀,27035,2024-12-30 14:17:56
머핀,15765,2024-12-30 03:07:56
도넛,22374,2024-12-30 01:16:56
크루아상,18922,2024-12-29 22:40:56
크루아상,8334,2024-12-29 20:27:56
머핀,9485,2024-12-30 01:08:56
도넛,5720,2024-12-30 09:43:56
도넛,23013,2024-12-30 02:09:56
도넛,7480,2024-12-30 09:35:56
크루아상,17879,2024-12-29 22:41:56
머핀,2916,2024-12-30 02:33:56
크루아상,26440,2024-12-30 10:17:56
머핀,5467,2024-12-30 02:15:56
크루아상,29680,2024-12-29 23:16:56
도넛,12628,2024-12-29 18:07:56
도넛,26099,2024-12-29 19:56:56
크루아상,25445,2024-12-30 03:47:56
머핀,6793,2024-12-29 17:27:56
머핀,26093,2024-12-30 09:39:56
머핀,8260,2024-12-30 08:39:56
도넛,8990,2024-12-30 01:29:56
크루아상,25466,2024-12-30 00:19:56
