menu,price,order_time
카푸치노,11695,2024-12-30 15:20:56
카푸치노,12920,2024-12-29 23:59:56
케이크,15806,2024-12-30 00:50:56
케이크,26116,2024-12-30 03:09:56
카푸치노,8505,2024-12-29 19:19:56
카푸치노,10618,2024-12-30 12:34:56
아메리카노,14754,2024-12-30 07:57:56
카푸치노,29857,2024-12-30 10:14:56
아메리카노,14164,2024-12-29 20:41:56
케이크,19765,2024-12-30 10:17:56
카푸치노,21448,2024-12-29 22:59:56
케이크,10592,2024-12-30 12:57:56
카푸치노,29423,2024-12-29 19:17:56
케이크,17070,2024-12-30 15:11:56
아메리카노,28649,2024-12-30 10:31:56
카푸치노,17839,2024-12-29 19:32:56
케이크,1475,2024-12-30 05:15:56
아메리카노,14400,2024-12-30 12:11:56
케이크,12781,2024-12-30 12:34:56
카푸치노,19695,2024-12-30 13:53:56
케이크,16546,2024-12-30 04:45:56
케이크,1044,2024-12-30 13:09:56
아메리카노,18279,2024-12-30 14:45:56
카푸치노,20903,2024-12-29 21:51:56
카푸치노,10493,2024-12-30 01:14:56
케이크,21072,2024-12-29 22:35:56
아메리카노,12585,2024-12-29 18:54:56
카푸치노,27274,2024-12-30 14:27:56
아메리카노,27337,2024-12-29 21:22:56
아메리카노,13911,2024-12-30 11:48:56
아메리카노,25703,2024-12-30 16:42:56
아메리카노,13981,2024-12-30 07:35:56
아메리카노,13639,2024-12-29 17:42:56
케이크,16731,2024-12-29 22:24:56
카푸치노,5019,2024-12-30 16:50:56
케이크,27237,2024-12-30 14:07:56
케이크,14861,2024-12-29 20:32:56
케이크,20855,2024-12-30 00:05:56
케이크,24927,2024-12-30 04:51:56
아메리카노,16588,2024-12-30 09:13:56
아메리카노,22595,2024-12-29 18:21:56
아메리카노,9897,2024-12-30 12:23:56
카푸치노,4400,2024-12-30 16:49:56
케이크,22426,2024-12-30 14:12:56
카푸치노,2661,2024-12-30 13:18:56
아메리카노,17648,2024-12-29 17:25:56
카푸치노,8046,2024-12-29 18:31:56
아메리카노,5199,2024-12-30 08:12:56
카푸치노,26296,2024-12-30 03:53:56
케이크,23262,2024-12-29 20:24:56
카푸치노,7196,2024-12-30 15:13:56
케이크,4413,2024-12-29 21:20:56
카푸치노,1289,2024-12-30 13:55:56
카푸치노,28391,2024-12-30 14:15:56
케이크,28646,2024-12-29 17:41:56
아메리카노,12153,2024-12-30 14:54:56
아메리카노,12455,2024-12-30 11:00:56
아메리카노,26713,2024-12-30 14:45:56
카푸치노,28380,2024-12-29 18:20:56
아메리카노,8158,2024-12-30 14:06:56
카푸치노,19728,2024-12-30 06:15:56
아메리카노,17366,2024-12-30 14:53:56
아메리카노,29751,2024-12-30 08:03:56
카푸치노,10785,2024-12-29 17:23:56
아메리카노,1084,2024-12-30 00:53:56
카푸치노,11721,2024-12-29 21:28:56
케이크,8504,2024-12-30 08:38:56
케이크,4721,2024-12-29 17:30:56
케이크,15542,2024-12-30 07:11:56
카푸치노,9897,2024-12-30 13:52:56
카푸치노,24592,2024-12-30 07:11:56
케이크,9277,2024-12-30 16:25:56
아메리카노,10400,2024-12-30 02:23:56
케이크,18111,2024-12-29 19:20:56
카푸치노,13077,2024-12-29 18:11:56
아메리카노,26272,2024-12-30 05:49:56
아메리카노,14102,2024-12-30 13:38:56
아메리카노,25313,2024-12-30 03:32:56
아메리카노,4008,2024-12-30 02:12:56
아메리카노,3912,2024-12-29 17:51:56
케이크,21831,2024-12-29 22:34:56
아메리카노,29676,2024-12-30 15:42:56
카푸치노,20108,2024-12-30 10:09:56
카푸치노,6445,2024-12-30 02:55:56
케이크,22810,2024-12-30 03:03:56
케이크,23988,2024-12-30 16:53:56
아메리카노,2906,2024-12-30 07:21:56
케이크,5099,2024-12-30 09:31:56
아메리카노,12740,2024-12-30 05:25:56
아메리카노,27108,2024-12-29 22:45:56
카푸치노,6205,2024-12-30 05:35:56
카푸치노,5038,2024-12-30 02:47:56
케이크,22631,2024-12-29 20:34:56
케이크,18366,2024-12-30 10:49:56
아메리카노,8872,2024-12-30 10:06:56
아메리카노,12573,2024-12-30 10:17:56
케이크,28568,2024-12-30 12:15:56
케이크,1431,2024-12-29 21:12:56
아메리카노,23197,2024-12-30 00:14:56
카푸치노,8264,2024-12-29 18:17:56
