menu,price,order_time
떡볶이,4158,2024-12-30 03:27:56
감자튀김,21722,2024-12-29 22:50:56
닭강정,22945,2024-12-29 18:57:56
감자튀김,13134,2024-12-29 19:26:56
감자튀김,24919,2024-12-29 20:34:56
닭강정,22193,2024-12-30 02:34:56
닭강정,29257,2024-12-30 08:06:56
떡볶이,26428,2024-12-30 00:39:56
닭강정,2234,2024-12-29 22:24:56
닭강정,10976,2024-12-29 22:52:56
떡볶이,2123,2024-12-30 12:47:56
감자튀김,23646,2024-12-29 21:18:56
감자튀김,27339,2024-12-30 14:00:56
감자튀김,29323,2024-12-29 23:36:56
떡볶이,4014,2024-12-30 03:41:56
떡볶이,8893,2024-12-30 05:04:56
떡볶이,24290,2024-12-30 13:22:56
떡볶이,28386,2024-12-29 17:39:56
떡볶이,4403,2024-12-30 17:08:56
닭강정,19580,2024-12-29 18:31:56
닭강정,25948,2024-12-30 14:56:56
닭강정,10476,2024-12-30 10:37:56
떡볶이,28662,2024-12-29 22:08:56
닭강정,8651,2024-12-30 14:05:56
감자튀김,11611,2024-12-29 20:10:56
떡볶이,21369,2024-12-30 05:06:56
감자튀김,18601,2024-12-30 10:43:56
떡볶이,3939,2024-12-30 07:17:56
닭강정,13360,2024-12-30 04:37:56
감자튀김,22261,2024-12-29 20:22:56
닭강정,2583,2024-12-30 09:51:56
감자튀김,15589,2024-12-29 19:53:56
감자튀김,5951,2024-12-30 11:44:56
닭강정,11545,2024-12-30 15:39:56
닭강정,20577,2024-12-29 22:22:56
떡볶이,10454,2024-12-30 13:54:56
떡볶이,13628,2024-12-29 18:29:56
떡볶이,21013,2024-12-30 16:02:56
감자튀김,14408,2024-12-30 10:31:56
닭강정,21770,2024-12-30 11:56:56
감자튀김,1375,2024-12-30 11:27:56
감자튀김,23002,2024-12-30 08:38:56
닭강정,8708,2024-12-30 04:37:56
닭강정,14958,2024-12-30 01:38:56
닭강정,20243,2024-12-29 22:33:56
감자튀김,18909,2024-12-30 07:03:56
닭강정,13386,2024-12-30 04:40:56
닭강정,23382,2024-12-29 18:03:56
감자튀김,28349,2024-12-29 18:57:56
닭강정,19403,2024-12-29 21:28:56
닭강정,11103,2024-12-30 07:56:56
떡볶이,3863,2024-12-29 19:33:56
떡볶이,19896,2024-12-30 04:57:56
떡볶이,26680,2024-12-30 12:38:56
감자튀김,10911,2024-12-30 03:03:56
떡볶이,12115,2024-12-30 13:33:56
떡볶이,1517,2024-12-30 00:50:56
감자튀김,3039,2024-12-30 07:24:56
떡볶이,16763,2024-12-30 00:33:56
떡볶이,15997,2024-12-30 10:46:56
떡볶이,26332,2024-12-30 14:55:56
닭강정,4359,2024-12-29 21:05:56
떡볶이,9063,2024-12-30 08:26:56
감자튀김,17966,2024-12-29 18:10:56
떡볶이,16042,2024-12-30 00:36:56
감자튀김,18664,2024-12-30 09:47:56
감자튀김,3227,2024-12-30 14:20:56
떡볶이,7924,2024-12-30 06:11:56
닭강정,10757,2024-12-29 19:42:56
떡볶이,17619,2024-12-29 23:02:56
떡볶이,3783,2024-12-30 14:27:56
감자튀김,25208,2024-12-29 22:06:56
감자튀김,12165,2024-12-29 19:40:56
감자튀김,14041,2024-12-30 15:28:56
닭강정,11702,2024-12-29 18:41:56
감자튀김,4451,2024-12-30 11:53:56
닭강정,7056,2024-12-30 02:51:56
감자튀김,1692,2024-12-29 21:54:56
떡볶이,21711,2024-12-30 02:42:56
떡볶이,19088,2024-12-30 13:47:56
닭강정,6236,2024-12-30 08:32:56
닭강정,25123,2024-12-29 18:12:56
떡볶이,26990,2024-12-29 23:49:56
닭강정,10975,2024-12-30 17:06:56
떡볶이,19838,2024-12-29 17:46:56
떡볶이,17540,2024-12-29 23:34:56
닭강정,2655,2024-12-30 08:30:56
닭강정,12473,2024-12-30 08:45:56
떡볶이,12719,2024-12-30 10:46:56
닭강정,23848,2024-12-30 13:03:56
감자튀김,5997,2024-12-29 21:18:56
감자튀김,8441,2024-12-29 20:08:56
감자튀김,16242,2024-12-30 09:13:56
감자튀김,21738,2024-12-30 11:36:56
떡볶이,3204,2024-12-30 10:33:56
감자튀김,19672,2024-12-29 20:26:56
감자튀김,3470,2024-12-30 04:25:56
닭강정,14349,2024-12-30 02:57:56
떡볶이,7424,2024-12-30 01:03:56
닭강정,21650,2024-12-29 22:24:56
