menu,price,order_time
감자튀김,20482,2024-12-30 07:52:56
떡볶이,14583,2024-12-30 05:10:56
감자튀김,22153,2024-12-29 22:56:56
닭강정,8757,2024-12-30 06:05:56
떡볶이,16168,2024-12-30 05:04:56
닭강정,28202,2024-12-30 12:35:56
감자튀김,24108,2024-12-30 03:04:56
떡볶이,20309,2024-12-30 03:50:56
떡볶이,19704,2024-12-30 05:46:56
닭강정,14933,2024-12-30 12:06:56
감자튀김,23404,2024-12-29 20:09:56
닭강정,5817,2024-12-30 07:08:56
떡볶이,19613,2024-12-30 11:26:56
떡볶이,3426,2024-12-30 04:06:56
감자튀김,25799,2024-12-30 14:04:56
닭강정,11791,2024-12-30 07:51:56
닭강정,29734,2024-12-30 09:44:56
닭강정,8095,2024-12-29 22:27:56
닭강정,27469,2024-12-29 23:17:56
떡볶이,26467,2024-12-30 03:08:56
감자튀김,13360,2024-12-29 23:33:56
닭강정,29502,2024-12-29 21:11:56
떡볶이,12634,2024-12-30 04:52:56
떡볶이,25325,2024-12-30 05:42:56
감자튀김,23188,2024-12-30 11:05:56
감자튀김,26932,2024-12-30 10:31:56
감자튀김,22554,2024-12-30 03:13:56
닭강정,4794,2024-12-30 08:56:56
닭강정,17900,2024-12-29 18:55:56
떡볶이,23792,2024-12-30 15:23:56
감자튀김,14856,2024-12-30 05:41:56
닭강정,29914,2024-12-30 14:45:56
떡볶이,27281,2024-12-30 13:16:56
닭강정,27034,2024-12-30 06:02:56
닭강정,10061,2024-12-29 22:47:56
떡볶이,23284,2024-12-30 05:42:56
떡볶이,18541,2024-12-30 15:29:56
닭강정,4422,2024-12-30 10:34:56
떡볶이,1961,2024-12-29 19:10:56
감자튀김,19376,2024-12-30 10:19:56
떡볶이,25219,2024-12-30 12:57:56
떡볶이,26063,2024-12-30 11:25:56
닭강정,28866,2024-12-29 19:11:56
떡볶이,3591,2024-12-30 03:41:56
떡볶이,9267,2024-12-30 05:07:56
감자튀김,25837,2024-12-30 15:26:56
닭강정,26567,2024-12-30 02:46:56
감자튀김,9775,2024-12-30 03:04:56
떡볶이,28291,2024-12-30 07:33:56
떡볶이,25258,2024-12-29 23:07:56
감자튀김,13666,2024-12-30 15:07:56
감자튀김,15540,2024-12-29 18:26:56
감자튀김,24918,2024-12-30 13:44:56
감자튀김,6482,2024-12-30 00:25:56
떡볶이,28794,2024-12-30 01:58:56
감자튀김,28999,2024-12-30 08:17:56
감자튀김,15405,2024-12-29 22:17:56
닭강정,6592,2024-12-29 17:37:56
떡볶이,20126,2024-12-30 05:07:56
닭강정,8926,2024-12-29 22:14:56
감자튀김,26758,2024-12-30 05:12:56
감자튀김,18872,2024-12-29 22:41:56
떡볶이,15324,2024-12-29 18:01:56
감자튀김,15500,2024-12-30 06:24:56
떡볶이,24900,2024-12-30 16:52:56
닭강정,21975,2024-12-30 01:45:56
떡볶이,11401,2024-12-30 07:52:56
감자튀김,17731,2024-12-30 11:45:56
떡볶이,25308,2024-12-30 14:20:56
감자튀김,13077,2024-12-30 15:02:56
떡볶이,14120,2024-12-29 17:27:56
닭강정,12633,2024-12-30 05:32:56
닭강정,2769,2024-12-30 06:31:56
닭강정,10666,2024-12-30 17:17:56
감자튀김,22851,2024-12-30 10:04:56
떡볶이,21190,2024-12-30 03:43:56
떡볶이,3318,2024-12-30 09:46:56
감자튀김,25959,2024-12-30 01:18:56
닭강정,28005,2024-12-30 04:40:56
감자튀김,28643,2024-12-30 07:52:56
떡볶이,17133,2024-12-30 00:07:56
감자튀김,5484,2024-12-30 09:40:56
감자튀김,3685,2024-12-30 09:19:56
떡볶이,8481,2024-12-30 08:25:56
닭강정,24391,2024-12-29 21:44:56
떡볶이,12999,2024-12-30 14:35:56
닭강정,4961,2024-12-30 11:37:56
감자튀김,2834,2024-12-30 05:44:56
감자튀김,2075,2024-12-30 11:04:56
닭강정,16417,2024-12-30 04:41:56
닭강정,10982,2024-12-29 22:32:56
감자튀김,24478,2024-12-30 10:36:56
닭강정,3018,2024-12-30 03:24:56
닭강정,21342,2024-12-29 18:49:56
닭강정,11631,2024-12-29 18:00:56
감자튀김,8010,2024-12-29 19:50:56
떡볶이,16433,2024-12-29 17:32:56
떡볶이,24611,2024-12-30 09:25:56
감자튀김,9394,2024-12-29 20:44:56
감자튀김,24539,2024-12-30 16:35:56
