menu,price,order_time
케이크,7240,2024-12-30 11:59:56
케이크,20497,2024-12-30 07:41:56
아메리카노,20445,2024-12-30 02:53:56
카푸치노,22700,2024-12-29 21:02:56
케이크,24834,2024-12-30 04:23:56
케이크,13088,2024-12-30 08:31:56
카푸치노,27170,2024-12-30 12:31:56
카푸치노,26884,2024-12-30 06:54:56
아메리카노,25074,2024-12-30 09:46:56
케이크,14192,2024-12-30 16:54:56
케이크,20408,2024-12-30 08:12:56
아메리카노,10638,2024-12-30 04:38:56
케이크,20716,2024-12-30 07:40:56
케이크,4100,2024-12-30 15:56:56
카푸치노,15115,2024-12-30 04:26:56
카푸치노,15379,2024-12-30 12:27:56
카푸치노,14710,2024-12-30 07:12:56
카푸치노,24719,2024-12-30 13:35:56
카푸치노,21349,2024-12-30 11:20:56
케이크,1134,2024-12-29 23:21:56
케이크,23951,2024-12-30 14:51:56
아메리카노,26704,2024-12-30 06:53:56
카푸치노,1632,2024-12-30 03:47:56
케이크,17401,2024-12-30 07:15:56
아메리카노,26644,2024-12-30 06:14:56
카푸치노,2075,2024-12-30 04:00:56
카푸치노,9730,2024-12-30 16:48:56
아메리카노,5973,2024-12-29 21:50:56
아메리카노,18728,2024-12-30 15:41:56
카푸치노,19788,2024-12-30 04:37:56
케이크,28029,2024-12-29 20:08:56
카푸치노,20246,2024-12-30 00:44:56
케이크,9915,2024-12-30 13:41:56
케이크,1576,2024-12-29 22:08:56
카푸치노,25989,2024-12-29 19:12:56
카푸치노,29854,2024-12-29 21:12:56
아메리카노,10112,2024-12-30 13:31:56
케이크,8259,2024-12-29 17:24:56
아메리카노,4388,2024-12-29 21:26:56
아메리카노,26025,2024-12-30 09:57:56
케이크,17557,2024-12-30 12:35:56
카푸치노,3995,2024-12-30 10:14:56
카푸치노,15281,2024-12-30 12:07:56
케이크,18257,2024-12-29 21:15:56
케이크,28753,2024-12-30 06:52:56
케이크,1693,2024-12-30 05:06:56
카푸치노,21463,2024-12-30 14:16:56
카푸치노,4084,2024-12-30 10:21:56
케이크,19329,2024-12-30 14:47:56
카푸치노,20977,2024-12-29 18:41:56
카푸치노,3796,2024-12-30 08:05:56
케이크,4555,2024-12-29 22:54:56
아메리카노,9563,2024-12-30 15:28:56
아메리카노,10607,2024-12-30 01:32:56
아메리카노,6851,2024-12-30 03:51:56
아메리카노,18812,2024-12-30 17:10:56
카푸치노,11430,2024-12-29 22:43:56
카푸치노,26284,2024-12-30 01:33:56
아메리카노,6293,2024-12-29 18:59:56
카푸치노,15336,2024-12-29 21:18:56
아메리카노,5350,2024-12-30 15:40:56
아메리카노,10323,2024-12-30 16:57:56
카푸치노,12122,2024-12-30 03:18:56
케이크,25050,2024-12-30 12:48:56
케이크,26227,2024-12-30 15:14:56
케이크,2175,2024-12-29 22:56:56
카푸치노,9604,2024-12-30 15:23:56
카푸치노,28350,2024-12-30 15:23:56
카푸치노,11814,2024-12-30 07:50:56
카푸치노,5170,2024-12-29 20:15:56
아메리카노,29484,2024-12-29 19:26:56
카푸치노,1627,2024-12-29 17:52:56
케이크,21656,2024-12-30 15:35:56
아메리카노,16186,2024-12-30 06:05:56
카푸치노,4987,2024-12-30 07:59:56
카푸치노,15291,2024-12-30 10:05:56
아메리카노,26965,2024-12-30 09:08:56
카푸치노,4806,2024-12-30 03:27:56
카푸치노,11304,2024-12-30 02:16:56
카푸치노,1496,2024-12-30 03:58:56
케이크,26860,2024-12-30 15:58:56
아메리카노,11418,2024-12-30 00:56:56
아메리카노,7560,2024-12-30 05:49:56
카푸치노,23947,2024-12-30 17:14:56
아메리카노,24941,2024-12-29 21:01:56
카푸치노,22821,2024-12-29 19:24:56
케이크,7539,2024-12-30 02:31:56
케이크,29012,2024-12-30 11:36:56
케이크,22259,2024-12-30 10:43:56
카푸치노,12240,2024-12-29 18:45:56
카푸치노,17318,2024-12-30 06:43:56
카푸치노,29047,2024-12-30 15:48:56
아메리카노,7562,2024-12-29 18:18:56
아메리카노,29940,2024-12-30 07:14:56
아메리카노,2877,2024-12-30 14:48:56
아메리카노,11139,2024-12-29 18:55:56
아메리카노,11240,2024-12-30 11:52:56
카푸치노,18811,2024-12-29 20:51:56
카푸치노,14231,2024-12-30 03:56:56
케이크,2370,2024-12-30 00:06:56
