menu,price,order_time
연어초밥,4066,2024-12-30 10:12:56
연어초밥,2236,2024-12-30 03:56:56
연어초밥,10722,2024-12-30 10:44:56
참치회,12697,2024-12-30 08:54:56
참치회,10143,2024-12-29 21:42:56
연어초밥,27479,2024-12-30 02:38:56
광어회,19105,2024-12-29 22:03:56
광어회,6986,2024-12-30 02:48:56
연어초밥,18679,2024-12-30 00:28:56
참치회,19437,2024-12-30 01:30:56
참치회,4249,2024-12-30 13:01:56
연어초밥,1520,2024-12-29 23:04:56
광어회,17671,2024-12-29 21:21:56
참치회,16838,2024-12-30 03:54:56
광어회,25852,2024-12-30 16:31:56
연어초밥,20764,2024-12-29 20:55:56
연어초밥,5544,2024-12-29 23:09:56
광어회,22725,2024-12-29 17:31:56
참치회,21836,2024-12-30 09:56:56
연어초밥,18379,2024-12-29 22:07:56
광어회,4342,2024-12-29 18:09:56
연어초밥,29819,2024-12-30 14:22:56
광어회,24041,2024-12-30 07:04:56
연어초밥,22161,2024-12-30 09:29:56
광어회,22697,2024-12-30 13:55:56
광어회,23140,2024-12-30 16:19:56
연어초밥,4470,2024-12-29 19:19:56
연어초밥,28648,2024-12-30 16:41:56
참치회,18952,2024-12-29 19:39:56
참치회,9856,2024-12-30 01:59:56
참치회,3826,2024-12-29 18:03:56
광어회,6446,2024-12-30 16:39:56
광어회,1126,2024-12-30 14:40:56
참치회,9012,2024-12-30 15:39:56
연어초밥,15974,2024-12-30 05:21:56
참치회,5480,2024-12-30 01:39:56
연어초밥,11840,2024-12-30 08:16:56
참치회,18702,2024-12-29 19:26:56
연어초밥,15288,2024-12-30 06:52:56
참치회,1890,2024-12-30 02:13:56
연어초밥,26256,2024-12-30 14:25:56
연어초밥,11757,2024-12-30 09:10:56
연어초밥,18832,2024-12-30 14:21:56
참치회,14550,2024-12-29 18:54:56
광어회,4039,2024-12-29 18:08:56
참치회,28811,2024-12-30 09:14:56
참치회,25577,2024-12-30 06:00:56
참치회,3490,2024-12-29 18:42:56
광어회,19710,2024-12-30 11:31:56
연어초밥,24651,2024-12-29 18:04:56
연어초밥,1733,2024-12-30 02:40:56
참치회,8568,2024-12-30 03:02:56
연어초밥,11237,2024-12-30 13:57:56
참치회,5685,2024-12-30 16:18:56
참치회,8658,2024-12-29 18:29:56
광어회,3692,2024-12-30 03:22:56
연어초밥,2043,2024-12-30 15:41:56
참치회,9162,2024-12-30 05:30:56
참치회,27764,2024-12-30 07:44:56
광어회,27270,2024-12-30 07:13:56
광어회,10443,2024-12-29 20:15:56
연어초밥,2863,2024-12-30 14:08:56
참치회,21675,2024-12-29 23:04:56
광어회,1741,2024-12-30 10:49:56
참치회,19768,2024-12-30 00:39:56
연어초밥,16600,2024-12-30 08:55:56
광어회,9282,2024-12-30 13:37:56
참치회,16098,2024-12-30 02:52:56
참치회,29406,2024-12-30 11:06:56
참치회,9079,2024-12-29 18:26:56
참치회,23359,2024-12-30 07:29:56
참치회,28562,2024-12-29 22:48:56
참치회,7297,2024-12-29 18:15:56
참치회,28428,2024-12-29 21:46:56
광어회,26807,2024-12-29 19:09:56
광어회,4548,2024-12-29 19:06:56
참치회,21649,2024-12-29 21:51:56
참치회,7685,2024-12-30 09:28:56
연어초밥,14142,2024-12-30 02:48:56
참치회,21533,2024-12-30 09:28:56
광어회,20346,2024-12-30 13:34:56
광어회,12756,2024-12-29 18:24:56
참치회,13079,2024-12-30 12:03:56
연어초밥,28591,2024-12-30 14:55:56
참치회,5094,2024-12-30 09:39:56
광어회,21715,2024-12-29 18:08:56
연어초밥,3960,2024-12-30 05:15:56
광어회,11330,2024-12-30 14:38:56
참치회,21779,2024-12-29 20:57:56
연어초밥,1494,2024-12-30 12:05:56
연어초밥,9350,2024-12-30 10:06:56
참치회,10770,2024-12-30 13:00:56
연어초밥,14067,2024-12-29 22:11:56
참치회,12827,2024-12-30 05:07:56
연어초밥,15235,2024-12-30 12:14:56
참치회,15441,2024-12-30 11:46:56
광어회,19518,2024-12-30 13:30:56
참치회,17912,2024-12-30 15:05:56
연어초밥,9729,2024-12-29 18:03:56
광어회,14573,2024-12-30 03:22:56
