menu,price,order_time
닭강정,17093,2024-12-30 10:39:56
떡볶이,26476,2024-12-30 15:42:56
감자튀김,27462,2024-12-30 02:53:56
닭강정,1033,2024-12-30 15:19:56
닭강정,19385,2024-12-30 14:06:56
감자튀김,10056,2024-12-30 11:16:56
떡볶이,6305,2024-12-30 01:22:56
떡볶이,17859,2024-12-30 11:02:56
닭강정,24995,2024-12-30 08:25:56
감자튀김,14791,2024-12-30 16:05:56
떡볶이,23022,2024-12-30 17:19:56
닭강정,28431,2024-12-30 08:03:56
닭강정,2222,2024-12-30 09:16:56
감자튀김,23503,2024-12-30 01:44:56
감자튀김,16830,2024-12-29 20:14:56
떡볶이,16858,2024-12-30 07:07:56
떡볶이,9314,2024-12-30 05:15:56
떡볶이,6097,2024-12-30 02:53:56
떡볶이,23785,2024-12-30 07:44:56
떡볶이,25430,2024-12-30 09:10:56
떡볶이,16003,2024-12-29 18:33:56
닭강정,4246,2024-12-30 15:22:56
닭강정,29806,2024-12-30 12:48:56
떡볶이,17909,2024-12-29 17:57:56
닭강정,22186,2024-12-30 08:13:56
닭강정,29588,2024-12-30 11:02:56
감자튀김,11133,2024-12-29 22:44:56
닭강정,16098,2024-12-29 20:59:56
떡볶이,10786,2024-12-30 09:38:56
떡볶이,7300,2024-12-29 20:46:56
떡볶이,23966,2024-12-29 20:39:56
감자튀김,1359,2024-12-30 15:11:56
떡볶이,24004,2024-12-29 18:36:56
감자튀김,13794,2024-12-30 11:24:56
떡볶이,24337,2024-12-30 14:24:56
떡볶이,24474,2024-12-30 07:49:56
떡볶이,1175,2024-12-29 23:49:56
떡볶이,8360,2024-12-30 07:06:56
떡볶이,23039,2024-12-29 22:17:56
닭강정,13193,2024-12-29 19:06:56
닭강정,8356,2024-12-30 07:56:56
닭강정,8743,2024-12-30 08:29:56
감자튀김,10970,2024-12-30 07:17:56
감자튀김,10037,2024-12-29 21:12:56
닭강정,19580,2024-12-30 03:46:56
떡볶이,2602,2024-12-29 22:57:56
감자튀김,6209,2024-12-30 00:48:56
감자튀김,7798,2024-12-30 16:47:56
감자튀김,18083,2024-12-30 11:01:56
감자튀김,2489,2024-12-29 20:23:56
닭강정,17060,2024-12-30 05:17:56
떡볶이,18255,2024-12-30 08:38:56
떡볶이,7067,2024-12-30 00:57:56
닭강정,7538,2024-12-29 17:25:56
닭강정,29937,2024-12-30 11:50:56
감자튀김,11066,2024-12-30 05:31:56
감자튀김,23744,2024-12-30 01:06:56
떡볶이,17545,2024-12-30 17:17:56
떡볶이,24619,2024-12-30 16:43:56
떡볶이,21950,2024-12-30 05:12:56
감자튀김,28373,2024-12-30 06:32:56
닭강정,23175,2024-12-30 14:38:56
감자튀김,2153,2024-12-30 07:54:56
감자튀김,28283,2024-12-30 00:08:56
떡볶이,18908,2024-12-29 20:57:56
닭강정,17733,2024-12-30 08:37:56
닭강정,25819,2024-12-30 13:19:56
닭강정,14142,2024-12-30 14:31:56
닭강정,4885,2024-12-30 12:37:56
감자튀김,1218,2024-12-30 00:27:56
감자튀김,15135,2024-12-30 07:31:56
닭강정,5832,2024-12-30 07:18:56
떡볶이,2507,2024-12-30 12:39:56
떡볶이,28887,2024-12-29 17:24:56
닭강정,9289,2024-12-29 17:33:56
닭강정,1593,2024-12-29 22:02:56
떡볶이,28104,2024-12-29 23:55:56
감자튀김,17868,2024-12-30 00:11:56
감자튀김,16003,2024-12-30 17:12:56
떡볶이,14606,2024-12-30 00:27:56
떡볶이,8238,2024-12-30 03:42:56
닭강정,28638,2024-12-29 23:24:56
떡볶이,29545,2024-12-30 09:29:56
떡볶이,8897,2024-12-29 20:18:56
닭강정,6730,2024-12-30 10:14:56
감자튀김,16812,2024-12-29 19:50:56
떡볶이,14336,2024-12-30 00:33:56
떡볶이,9944,2024-12-30 10:59:56
닭강정,28374,2024-12-30 14:21:56
감자튀김,29403,2024-12-30 16:21:56
감자튀김,24695,2024-12-30 15:46:56
닭강정,7496,2024-12-30 17:10:56
떡볶이,3240,2024-12-30 10:02:56
떡볶이,22412,2024-12-30 16:41:56
감자튀김,9901,2024-12-29 22:45:56
떡볶이,26594,2024-12-30 13:01:56
떡볶이,17094,2024-12-30 16:11:56
떡볶이,20212,2024-12-29 19:22:56
닭강정,22530,2024-12-29 21:40:56
감자튀김,27550,2024-12-30 07:23:56
