menu,price,order_time
감자튀김,11005,2024-12-29 22:35:56
닭강정,9785,2024-12-30 11:07:56
닭강정,23921,2024-12-29 17:53:56
떡볶이,12296,2024-12-30 03:30:56
감자튀김,19307,2024-12-30 07:35:56
닭강정,26985,2024-12-30 07:01:56
닭강정,9215,2024-12-29 18:48:56
닭강정,24849,2024-12-30 15:12:56
떡볶이,24566,2024-12-29 18:21:56
떡볶이,5698,2024-12-29 18:42:56
감자튀김,7758,2024-12-30 15:22:56
감자튀김,23046,2024-12-30 07:09:56
떡볶이,5692,2024-12-30 02:11:56
닭강정,23169,2024-12-30 02:00:56
감자튀김,7391,2024-12-30 01:40:56
감자튀김,4149,2024-12-30 06:47:56
닭강정,8901,2024-12-30 00:30:56
떡볶이,19672,2024-12-30 00:50:56
감자튀김,28596,2024-12-29 23:24:56
감자튀김,18996,2024-12-30 15:39:56
감자튀김,20981,2024-12-30 05:53:56
감자튀김,27776,2024-12-30 03:01:56
떡볶이,23430,2024-12-29 23:00:56
떡볶이,21053,2024-12-30 08:09:56
감자튀김,10922,2024-12-29 22:27:56
닭강정,7371,2024-12-30 04:09:56
감자튀김,3433,2024-12-29 22:50:56
닭강정,24342,2024-12-29 22:32:56
닭강정,8630,2024-12-30 07:32:56
감자튀김,20012,2024-12-30 12:51:56
닭강정,25465,2024-12-30 16:54:56
닭강정,21818,2024-12-29 20:10:56
닭강정,16284,2024-12-30 01:58:56
떡볶이,1942,2024-12-30 00:36:56
닭강정,17135,2024-12-29 19:45:56
감자튀김,7222,2024-12-29 19:19:56
감자튀김,26439,2024-12-30 07:07:56
떡볶이,27689,2024-12-29 20:55:56
떡볶이,21447,2024-12-30 16:27:56
떡볶이,2350,2024-12-30 16:09:56
떡볶이,21678,2024-12-30 01:53:56
떡볶이,22334,2024-12-29 21:13:56
닭강정,12554,2024-12-30 03:16:56
닭강정,22134,2024-12-29 18:11:56
떡볶이,21305,2024-12-30 06:14:56
닭강정,10044,2024-12-30 09:05:56
감자튀김,5213,2024-12-30 16:08:56
닭강정,29609,2024-12-29 20:56:56
떡볶이,2611,2024-12-29 17:32:56
감자튀김,23309,2024-12-30 16:36:56
떡볶이,24781,2024-12-30 01:47:56
닭강정,17651,2024-12-29 19:31:56
감자튀김,1600,2024-12-30 02:05:56
떡볶이,12792,2024-12-30 01:12:56
떡볶이,7573,2024-12-29 23:45:56
떡볶이,12515,2024-12-30 06:31:56
떡볶이,21318,2024-12-30 00:16:56
닭강정,27188,2024-12-30 06:19:56
떡볶이,26088,2024-12-30 16:59:56
감자튀김,27993,2024-12-29 20:36:56
떡볶이,25894,2024-12-30 01:02:56
감자튀김,20002,2024-12-30 16:36:56
감자튀김,8830,2024-12-30 11:36:56
감자튀김,7558,2024-12-30 06:19:56
닭강정,3954,2024-12-30 08:10:56
닭강정,12009,2024-12-30 05:44:56
닭강정,15983,2024-12-30 08:41:56
닭강정,10654,2024-12-30 07:48:56
떡볶이,23178,2024-12-30 13:56:56
닭강정,26099,2024-12-30 09:04:56
닭강정,11655,2024-12-30 06:52:56
닭강정,9764,2024-12-30 05:02:56
떡볶이,20401,2024-12-30 16:48:56
떡볶이,8920,2024-12-30 02:40:56
닭강정,24479,2024-12-30 01:10:56
떡볶이,20700,2024-12-30 14:14:56
닭강정,25017,2024-12-30 06:18:56
닭강정,9515,2024-12-29 19:56:56
떡볶이,27116,2024-12-29 21:29:56
닭강정,28809,2024-12-30 04:09:56
감자튀김,5437,2024-12-30 14:28:56
떡볶이,16351,2024-12-30 03:40:56
감자튀김,23117,2024-12-29 18:31:56
감자튀김,9736,2024-12-30 00:41:56
감자튀김,22113,2024-12-29 22:53:56
감자튀김,11589,2024-12-30 01:23:56
닭강정,8623,2024-12-30 12:08:56
닭강정,11147,2024-12-30 10:37:56
떡볶이,27869,2024-12-29 21:01:56
닭강정,4457,2024-12-30 05:47:56
떡볶이,27538,2024-12-30 14:47:56
떡볶이,3959,2024-12-30 17:12:56
감자튀김,26040,2024-12-29 22:19:56
닭강정,3687,2024-12-29 18:59:56
감자튀김,27870,2024-12-29 21:50:56
감자튀김,19036,2024-12-30 08:45:56
닭강정,13524,2024-12-30 05:25:56
떡볶이,3809,2024-12-30 06:38:56
닭강정,24705,2024-12-30 07:12:56
닭강정,27840,2024-12-29 20:47:56
