menu,price,order_time
아메리카노,19428,2024-12-30 16:00:56
아메리카노,8626,2024-12-29 22:37:56
카푸치노,19113,2024-12-29 17:31:56
카푸치노,11277,2024-12-30 03:47:56
카푸치노,7041,2024-12-30 11:04:56
카푸치노,25236,2024-12-29 20:25:56
케이크,14590,2024-12-30 04:38:56
아메리카노,18535,2024-12-30 14:36:56
케이크,10122,2024-12-30 15:43:56
케이크,25257,2024-12-29 19:53:56
케이크,14213,2024-12-29 23:54:56
아메리카노,9602,2024-12-30 13:26:56
아메리카노,1202,2024-12-30 01:07:56
카푸치노,1798,2024-12-30 13:34:56
카푸치노,11460,2024-12-30 01:59:56
카푸치노,4514,2024-12-30 11:58:56
아메리카노,12663,2024-12-30 03:32:56
케이크,5528,2024-12-29 18:00:56
아메리카노,6207,2024-12-30 07:07:56
카푸치노,2545,2024-12-30 04:46:56
카푸치노,9455,2024-12-30 08:30:56
아메리카노,17942,2024-12-29 19:12:56
카푸치노,26413,2024-12-30 11:58:56
카푸치노,24015,2024-12-30 16:25:56
케이크,14628,2024-12-30 11:52:56
케이크,16295,2024-12-30 01:22:56
케이크,14926,2024-12-30 02:32:56
카푸치노,7184,2024-12-29 17:33:56
케이크,26560,2024-12-30 10:42:56
케이크,26609,2024-12-30 01:58:56
카푸치노,14207,2024-12-30 00:31:56
카푸치노,16761,2024-12-30 01:03:56
아메리카노,19932,2024-12-30 07:09:56
케이크,22900,2024-12-30 07:31:56
케이크,22246,2024-12-30 04:32:56
카푸치노,24486,2024-12-30 09:11:56
케이크,5095,2024-12-29 23:59:56
케이크,27643,2024-12-30 09:34:56
아메리카노,22746,2024-12-30 10:12:56
아메리카노,25401,2024-12-29 23:45:56
아메리카노,26494,2024-12-30 09:46:56
케이크,17137,2024-12-30 10:28:56
카푸치노,17339,2024-12-29 22:29:56
카푸치노,12400,2024-12-30 11:11:56
케이크,17441,2024-12-30 12:59:56
아메리카노,21390,2024-12-30 13:00:56
케이크,20389,2024-12-30 14:11:56
케이크,17535,2024-12-29 22:44:56
카푸치노,27176,2024-12-30 07:23:56
케이크,15828,2024-12-30 10:35:56
아메리카노,11437,2024-12-30 12:03:56
아메리카노,23521,2024-12-29 23:54:56
케이크,13887,2024-12-30 00:34:56
케이크,28094,2024-12-29 18:32:56
카푸치노,10214,2024-12-30 13:35:56
카푸치노,5057,2024-12-29 23:23:56
케이크,20856,2024-12-30 15:39:56
아메리카노,12524,2024-12-30 14:52:56
케이크,12995,2024-12-30 06:09:56
카푸치노,7794,2024-12-29 19:00:56
카푸치노,6344,2024-12-30 07:01:56
케이크,11229,2024-12-30 07:16:56
케이크,3516,2024-12-30 04:51:56
케이크,1578,2024-12-29 21:58:56
케이크,6553,2024-12-30 05:21:56
아메리카노,19315,2024-12-30 00:53:56
카푸치노,17789,2024-12-30 00:43:56
아메리카노,14002,2024-12-29 21:25:56
카푸치노,27731,2024-12-30 11:20:56
아메리카노,25776,2024-12-30 10:27:56
아메리카노,25249,2024-12-29 20:07:56
카푸치노,15158,2024-12-29 18:23:56
아메리카노,15266,2024-12-30 06:44:56
케이크,29383,2024-12-30 08:56:56
케이크,9577,2024-12-29 23:21:56
아메리카노,9788,2024-12-30 07:52:56
케이크,18985,2024-12-30 16:49:56
아메리카노,5220,2024-12-30 02:57:56
아메리카노,26289,2024-12-30 01:58:56
케이크,16781,2024-12-30 00:26:56
아메리카노,14486,2024-12-30 15:49:56
케이크,19732,2024-12-30 03:02:56
카푸치노,3494,2024-12-30 13:19:56
아메리카노,26031,2024-12-30 16:33:56
케이크,26167,2024-12-30 12:29:56
아메리카노,27940,2024-12-29 18:05:56
아메리카노,16612,2024-12-30 03:40:56
카푸치노,15011,2024-12-30 03:34:56
아메리카노,12789,2024-12-30 14:31:56
아메리카노,18693,2024-12-30 16:53:56
아메리카노,27624,2024-12-29 18:00:56
케이크,19916,2024-12-30 02:17:56
아메리카노,10980,2024-12-29 18:11:56
케이크,29061,2024-12-30 15:19:56
카푸치노,17238,2024-12-30 13:20:56
카푸치노,16915,2024-12-30 04:57:56
케이크,20054,2024-12-30 04:45:56
아메리카노,12507,2024-12-30 12:42:56
아메리카노,13546,2024-12-29 19:03:56
케이크,11093,2024-12-30 07:47:56
