menu,price,order_time
닭강정,27655,2024-12-29 17:59:56
떡볶이,18932,2024-12-29 19:11:56
감자튀김,5933,2024-12-29 19:56:56
떡볶이,16766,2024-12-30 00:41:56
떡볶이,18995,2024-12-29 18:09:56
떡볶이,28259,2024-12-30 00:40:56
닭강정,2427,2024-12-29 23:03:56
감자튀김,3003,2024-12-29 23:23:56
닭강정,4690,2024-12-30 08:18:56
떡볶이,9786,2024-12-30 15:49:56
떡볶이,1436,2024-12-30 15:50:56
떡볶이,27200,2024-12-30 09:26:56
닭강정,8368,2024-12-29 20:36:56
감자튀김,29349,2024-12-29 17:46:56
떡볶이,15561,2024-12-30 07:59:56
닭강정,13856,2024-12-29 18:03:56
떡볶이,7654,2024-12-29 18:49:56
닭강정,7366,2024-12-30 03:53:56
떡볶이,2321,2024-12-30 12:30:56
감자튀김,17893,2024-12-30 16:19:56
떡볶이,9652,2024-12-29 21:25:56
감자튀김,2853,2024-12-29 17:38:56
감자튀김,24499,2024-12-30 14:21:56
떡볶이,28254,2024-12-30 07:49:56
감자튀김,21562,2024-12-29 21:49:56
닭강정,16456,2024-12-30 03:43:56
닭강정,29725,2024-12-30 14:29:56
닭강정,12285,2024-12-29 20:49:56
감자튀김,22172,2024-12-30 11:05:56
닭강정,23184,2024-12-30 02:34:56
떡볶이,26382,2024-12-30 07:39:56
떡볶이,4672,2024-12-30 12:44:56
감자튀김,3132,2024-12-30 15:03:56
감자튀김,12192,2024-12-30 12:13:56
감자튀김,25704,2024-12-29 18:23:56
감자튀김,23542,2024-12-29 18:37:56
떡볶이,9744,2024-12-29 19:11:56
감자튀김,14781,2024-12-29 17:49:56
감자튀김,24232,2024-12-30 11:58:56
감자튀김,8799,2024-12-30 14:06:56
감자튀김,25674,2024-12-30 15:56:56
닭강정,23799,2024-12-30 07:29:56
닭강정,1411,2024-12-30 12:56:56
감자튀김,28725,2024-12-30 11:14:56
떡볶이,14262,2024-12-30 03:17:56
닭강정,13257,2024-12-30 10:00:56
닭강정,11510,2024-12-30 12:54:56
감자튀김,26994,2024-12-30 13:52:56
떡볶이,15226,2024-12-30 08:04:56
떡볶이,11272,2024-12-30 07:57:56
떡볶이,28952,2024-12-30 13:51:56
닭강정,23818,2024-12-30 14:27:56
떡볶이,18806,2024-12-30 03:41:56
떡볶이,15479,2024-12-30 04:04:56
떡볶이,24851,2024-12-30 06:35:56
감자튀김,17854,2024-12-30 09:19:56
감자튀김,2127,2024-12-30 09:18:56
감자튀김,6836,2024-12-29 20:04:56
감자튀김,5421,2024-12-30 09:15:56
닭강정,2496,2024-12-29 23:35:56
감자튀김,6544,2024-12-30 07:06:56
닭강정,6920,2024-12-30 02:46:56
닭강정,20069,2024-12-29 19:27:56
감자튀김,24943,2024-12-30 08:12:56
떡볶이,14624,2024-12-30 02:08:56
감자튀김,1353,2024-12-30 15:51:56
닭강정,29568,2024-12-30 13:34:56
떡볶이,8739,2024-12-30 11:46:56
닭강정,27646,2024-12-30 02:29:56
감자튀김,24278,2024-12-29 22:24:56
떡볶이,20209,2024-12-30 13:16:56
닭강정,1821,2024-12-30 01:41:56
닭강정,14072,2024-12-30 15:33:56
닭강정,27790,2024-12-29 18:04:56
떡볶이,11972,2024-12-30 05:26:56
감자튀김,23013,2024-12-29 23:31:56
닭강정,22013,2024-12-30 12:56:56
떡볶이,5421,2024-12-29 18:28:56
닭강정,29376,2024-12-29 21:49:56
감자튀김,25341,2024-12-30 12:53:56
감자튀김,12911,2024-12-30 08:28:56
떡볶이,1305,2024-12-30 00:52:56
감자튀김,14140,2024-12-30 14:49:56
떡볶이,6500,2024-12-29 20:30:56
감자튀김,1620,2024-12-29 17:32:56
감자튀김,5345,2024-12-30 02:02:56
감자튀김,11379,2024-12-30 05:47:56
감자튀김,24179,2024-12-29 22:33:56
떡볶이,9307,2024-12-30 10:59:56
닭강정,14876,2024-12-30 07:08:56
닭강정,12447,2024-12-29 18:05:56
떡볶이,8915,2024-12-30 06:42:56
떡볶이,15763,2024-12-29 18:47:56
닭강정,4329,2024-12-30 02:16:56
감자튀김,8617,2024-12-30 05:41:56
닭강정,21502,2024-12-30 14:24:56
감자튀김,28538,2024-12-30 08:43:56
떡볶이,22115,2024-12-29 23:51:56
떡볶이,3170,2024-12-30 12:29:56
닭강정,4868,2024-12-29 17:35:56
