menu,price,order_time
김밥,13921,2024-12-30 01:49:56
김밥,17087,2024-12-30 13:15:56
만두,9006,2024-12-29 22:07:56
떡볶이,16404,2024-12-30 14:30:56
만두,14428,2024-12-29 23:20:56
김밥,24975,2024-12-29 22:17:56
김밥,8286,2024-12-30 06:30:56
만두,1945,2024-12-30 12:34:56
떡볶이,5158,2024-12-29 18:08:56
김밥,20087,2024-12-29 22:17:56
만두,26192,2024-12-30 17:11:56
김밥,22865,2024-12-30 06:04:56
떡볶이,23944,2024-12-29 22:46:56
김밥,6896,2024-12-30 09:27:56
떡볶이,23654,2024-12-30 02:17:56
김밥,20796,2024-12-30 02:19:56
김밥,24886,2024-12-30 05:25:56
김밥,25961,2024-12-30 12:52:56
떡볶이,10189,2024-12-30 02:30:56
만두,28967,2024-12-30 17:14:56
떡볶이,25884,2024-12-29 17:23:56
김밥,28585,2024-12-30 12:15:56
만두,21735,2024-12-30 13:54:56
김밥,29123,2024-12-29 23:26:56
만두,18423,2024-12-30 15:31:56
만두,5769,2024-12-30 11:20:56
만두,8787,2024-12-29 23:19:56
만두,27756,2024-12-30 06:42:56
만두,26214,2024-12-30 15:58:56
만두,21719,2024-12-30 02:10:56
만두,10406,2024-12-29 22:46:56
김밥,17868,2024-12-30 10:06:56
김밥,12670,2024-12-30 15:00:56
떡볶이,7263,2024-12-30 16:20:56
떡볶이,22366,2024-12-30 16:14:56
김밥,25618,2024-12-29 17:43:56
만두,16733,2024-12-30 02:39:56
떡볶이,15911,2024-12-30 08:28:56
만두,22378,2024-12-29 22:14:56
김밥,15068,2024-12-30 04:59:56
김밥,8353,2024-12-30 12:35:56
떡볶이,3700,2024-12-30 10:31:56
만두,4851,2024-12-29 21:44:56
떡볶이,25139,2024-12-29 17:59:56
만두,26921,2024-12-30 00:09:56
김밥,23274,2024-12-29 19:43:56
떡볶이,3554,2024-12-30 05:50:56
떡볶이,20675,2024-12-30 08:38:56
김밥,8441,2024-12-29 22:03:56
만두,5975,2024-12-29 22:01:56
김밥,13366,2024-12-30 16:59:56
떡볶이,23343,2024-12-30 14:52:56
만두,23934,2024-12-30 08:41:56
김밥,27589,2024-12-30 09:15:56
김밥,10800,2024-12-30 09:05:56
김밥,7047,2024-12-29 21:05:56
김밥,8073,2024-12-30 08:21:56
만두,8931,2024-12-30 08:35:56
만두,24884,2024-12-30 13:13:56
만두,18232,2024-12-30 05:27:56
만두,6423,2024-12-30 06:54:56
김밥,8854,2024-12-30 15:26:56
떡볶이,21586,2024-12-29 18:22:56
떡볶이,11022,2024-12-30 13:10:56
만두,2866,2024-12-30 11:19:56
김밥,9385,2024-12-30 16:17:56
김밥,7213,2024-12-29 17:45:56
만두,26761,2024-12-30 09:08:56
김밥,20852,2024-12-30 12:10:56
만두,23411,2024-12-30 02:53:56
떡볶이,8886,2024-12-30 01:03:56
만두,5922,2024-12-29 22:06:56
떡볶이,5925,2024-12-30 09:29:56
김밥,23854,2024-12-30 10:28:56
김밥,1060,2024-12-30 12:55:56
떡볶이,15516,2024-12-30 14:58:56
김밥,1214,2024-12-29 19:43:56
김밥,4779,2024-12-30 17:12:56
만두,14611,2024-12-30 15:54:56
김밥,4937,2024-12-30 00:19:56
만두,28346,2024-12-30 01:16:56
만두,1664,2024-12-30 01:05:56
만두,14585,2024-12-30 05:22:56
만두,14853,2024-12-30 00:57:56
김밥,16818,2024-12-29 21:01:56
만두,24619,2024-12-29 22:56:56
만두,19120,2024-12-29 23:58:56
만두,10883,2024-12-30 01:16:56
만두,27448,2024-12-29 22:58:56
떡볶이,9693,2024-12-29 17:23:56
떡볶이,26336,2024-12-30 05:56:56
김밥,1610,2024-12-30 03:40:56
만두,7126,2024-12-29 23:00:56
김밥,7354,2024-12-29 17:26:56
떡볶이,15084,2024-12-30 07:54:56
김밥,21398,2024-12-29 19:30:56
떡볶이,8524,2024-12-30 09:34:56
김밥,9797,2024-12-29 20:31:56
김밥,22783,2024-12-30 14:05:56
김밥,20792,2024-12-30 00:33:56
