menu,price,order_time
크루아상,22569,2024-12-29 22:43:56
머핀,21283,2024-12-30 04:06:56
도넛,26172,2024-12-30 03:50:56
머핀,29654,2024-12-30 05:40:56
도넛,24735,2024-12-29 18:29:56
크루아상,16264,2024-12-30 09:59:56
도넛,18692,2024-12-30 07:44:56
머핀,2380,2024-12-29 19:06:56
도넛,29845,2024-12-29 19:16:56
크루아상,12923,2024-12-30 13:45:56
크루아상,1289,2024-12-30 09:31:56
크루아상,9898,2024-12-30 10:20:56
도넛,9029,2024-12-30 03:22:56
도넛,9944,2024-12-30 15:30:56
크루아상,1320,2024-12-30 08:08:56
도넛,3090,2024-12-30 08:18:56
머핀,19267,2024-12-30 15:06:56
크루아상,15306,2024-12-30 01:58:56
머핀,4435,2024-12-30 04:52:56
도넛,18079,2024-12-29 22:44:56
도넛,15496,2024-12-30 12:03:56
크루아상,15434,2024-12-30 08:53:56
크루아상,15434,2024-12-30 17:00:56
도넛,15256,2024-12-30 03:10:56
크루아상,7906,2024-12-29 21:40:56
크루아상,6511,2024-12-30 16:46:56
도넛,14952,2024-12-30 13:08:56
크루아상,3444,2024-12-30 14:34:56
머핀,29144,2024-12-30 01:01:56
크루아상,10739,2024-12-30 06:24:56
크루아상,23466,2024-12-30 15:10:56
머핀,11401,2024-12-29 22:56:56
머핀,21594,2024-12-30 15:23:56
도넛,23973,2024-12-30 16:37:56
머핀,7892,2024-12-30 02:16:56
크루아상,27623,2024-12-30 15:42:56
머핀,9755,2024-12-30 07:37:56
크루아상,26295,2024-12-30 01:39:56
크루아상,15096,2024-12-30 12:40:56
도넛,26384,2024-12-30 15:16:56
크루아상,28255,2024-12-30 09:42:56
머핀,2427,2024-12-30 07:21:56
머핀,26192,2024-12-29 17:56:56
크루아상,13911,2024-12-30 03:11:56
도넛,8169,2024-12-29 18:41:56
도넛,10749,2024-12-30 11:15:56
머핀,25078,2024-12-30 02:54:56
도넛,2168,2024-12-29 18:45:56
도넛,18281,2024-12-29 17:45:56
도넛,24198,2024-12-29 19:29:56
도넛,18691,2024-12-30 10:02:56
크루아상,3797,2024-12-30 09:41:56
도넛,17035,2024-12-30 12:33:56
머핀,8578,2024-12-29 17:30:56
머핀,6095,2024-12-29 18:25:56
도넛,24930,2024-12-30 17:21:56
머핀,27247,2024-12-30 06:45:56
도넛,4049,2024-12-30 15:06:56
도넛,22312,2024-12-30 09:54:56
머핀,9167,2024-12-30 05:23:56
크루아상,12222,2024-12-30 03:39:56
머핀,23106,2024-12-30 06:56:56
머핀,21151,2024-12-29 22:00:56
도넛,2269,2024-12-30 08:40:56
도넛,13688,2024-12-30 04:42:56
도넛,29609,2024-12-30 14:21:56
크루아상,13210,2024-12-29 17:33:56
머핀,17482,2024-12-29 17:40:56
머핀,26033,2024-12-30 13:40:56
크루아상,25887,2024-12-29 18:44:56
도넛,11020,2024-12-30 01:23:56
도넛,22551,2024-12-30 04:19:56
머핀,12556,2024-12-29 22:28:56
크루아상,29765,2024-12-30 09:12:56
크루아상,27139,2024-12-30 16:41:56
크루아상,21450,2024-12-29 18:01:56
크루아상,25423,2024-12-30 10:11:56
머핀,5174,2024-12-30 07:35:56
크루아상,2950,2024-12-30 00:53:56
머핀,10279,2024-12-29 18:56:56
도넛,5921,2024-12-30 15:25:56
머핀,3143,2024-12-30 15:08:56
크루아상,22587,2024-12-30 11:04:56
크루아상,27199,2024-12-30 08:15:56
크루아상,20498,2024-12-30 03:53:56
크루아상,10927,2024-12-30 07:03:56
도넛,21448,2024-12-29 19:24:56
도넛,19560,2024-12-30 04:21:56
도넛,13991,2024-12-29 21:42:56
크루아상,11796,2024-12-30 16:42:56
크루아상,26057,2024-12-30 14:55:56
머핀,15425,2024-12-30 04:17:56
크루아상,7790,2024-12-29 17:51:56
머핀,4024,2024-12-30 14:15:56
머핀,26436,2024-12-29 22:25:56
머핀,1623,2024-12-30 06:38:56
도넛,17942,2024-12-29 19:42:56
머핀,22424,2024-12-30 08:45:56
크루아상,1432,2024-12-30 12:15:56
도넛,7918,2024-12-29 22:40:56
