menu,price,order_time
카푸치노,2607,2024-12-29 21:26:56
카푸치노,7034,2024-12-30 02:03:56
아메리카노,22666,2024-12-29 20:33:56
아메리카노,15746,2024-12-30 16:36:56
아메리카노,5607,2024-12-30 01:54:56
카푸치노,6334,2024-12-30 00:42:56
아메리카노,4554,2024-12-30 08:18:56
카푸치노,25586,2024-12-30 03:52:56
케이크,1708,2024-12-30 11:04:56
카푸치노,11757,2024-12-30 15:09:56
아메리카노,28881,2024-12-29 20:04:56
아메리카노,2025,2024-12-29 21:35:56
케이크,10757,2024-12-30 07:31:56
케이크,20237,2024-12-30 13:24:56
아메리카노,21652,2024-12-30 04:20:56
카푸치노,28500,2024-12-30 03:16:56
케이크,25537,2024-12-29 17:56:56
케이크,24815,2024-12-30 05:17:56
카푸치노,26016,2024-12-29 22:01:56
카푸치노,12645,2024-12-29 21:53:56
케이크,20301,2024-12-30 03:37:56
아메리카노,24002,2024-12-30 02:51:56
아메리카노,7427,2024-12-30 12:16:56
케이크,8625,2024-12-30 09:01:56
케이크,3983,2024-12-29 20:21:56
아메리카노,15674,2024-12-29 17:44:56
카푸치노,11128,2024-12-30 05:28:56
아메리카노,28082,2024-12-30 16:00:56
아메리카노,3801,2024-12-30 15:36:56
아메리카노,6262,2024-12-30 06:30:56
케이크,18757,2024-12-30 14:21:56
아메리카노,19969,2024-12-30 12:57:56
카푸치노,18725,2024-12-30 07:59:56
아메리카노,10455,2024-12-30 04:19:56
아메리카노,23515,2024-12-30 13:12:56
아메리카노,10126,2024-12-30 11:51:56
아메리카노,5486,2024-12-30 04:42:56
아메리카노,16585,2024-12-30 01:38:56
케이크,9073,2024-12-30 02:12:56
카푸치노,29199,2024-12-29 23:19:56
케이크,18858,2024-12-29 19:04:56
아메리카노,25440,2024-12-29 21:27:56
케이크,23748,2024-12-30 13:37:56
케이크,27264,2024-12-30 06:16:56
케이크,21121,2024-12-30 04:35:56
카푸치노,23664,2024-12-30 03:34:56
케이크,14107,2024-12-30 00:30:56
아메리카노,24157,2024-12-30 11:13:56
카푸치노,28833,2024-12-30 06:40:56
아메리카노,13037,2024-12-30 05:20:56
아메리카노,9466,2024-12-30 04:17:56
케이크,5708,2024-12-30 16:21:56
아메리카노,6084,2024-12-30 12:39:56
아메리카노,10373,2024-12-30 03:24:56
카푸치노,11191,2024-12-30 17:00:56
아메리카노,27072,2024-12-30 09:16:56
아메리카노,4881,2024-12-30 02:45:56
케이크,8034,2024-12-29 19:41:56
카푸치노,22530,2024-12-29 18:47:56
카푸치노,10652,2024-12-30 08:20:56
아메리카노,29486,2024-12-29 17:52:56
카푸치노,22204,2024-12-30 14:42:56
아메리카노,24829,2024-12-30 05:32:56
아메리카노,4850,2024-12-30 06:10:56
카푸치노,17212,2024-12-30 00:22:56
아메리카노,2662,2024-12-29 20:40:56
카푸치노,4722,2024-12-30 02:16:56
카푸치노,20539,2024-12-30 12:30:56
아메리카노,28446,2024-12-30 07:23:56
아메리카노,12075,2024-12-30 07:10:56
카푸치노,17742,2024-12-29 17:48:56
아메리카노,24408,2024-12-29 23:00:56
케이크,12843,2024-12-30 14:59:56
아메리카노,24573,2024-12-29 19:44:56
케이크,21705,2024-12-29 21:39:56
아메리카노,28952,2024-12-30 12:35:56
케이크,15078,2024-12-30 09:36:56
카푸치노,17919,2024-12-29 20:48:56
아메리카노,12834,2024-12-29 22:59:56
카푸치노,14083,2024-12-29 18:44:56
케이크,20477,2024-12-29 18:46:56
아메리카노,6686,2024-12-29 22:05:56
케이크,7410,2024-12-30 14:55:56
케이크,5536,2024-12-30 04:54:56
아메리카노,28716,2024-12-30 13:49:56
카푸치노,29720,2024-12-30 02:57:56
아메리카노,9721,2024-12-30 07:55:56
케이크,13231,2024-12-30 09:08:56
케이크,23289,2024-12-30 03:20:56
아메리카노,5824,2024-12-30 14:21:56
아메리카노,2561,2024-12-30 08:41:56
케이크,15468,2024-12-30 01:56:56
아메리카노,22060,2024-12-30 05:34:56
케이크,22545,2024-12-30 17:05:56
카푸치노,1834,2024-12-29 17:42:56
아메리카노,6194,2024-12-30 05:27:56
아메리카노,29700,2024-12-30 12:49:56
케이크,9647,2024-12-30 00:19:56
카푸치노,24674,2024-12-30 02:25:56
케이크,11202,2024-12-30 09:49:56
