menu,price,order_time
크루아상,5773,2024-12-29 21:27:56
도넛,25896,2024-12-29 23:12:56
도넛,13288,2024-12-30 08:55:56
머핀,13798,2024-12-30 06:25:56
머핀,17118,2024-12-30 02:54:56
머핀,8883,2024-12-30 11:14:56
크루아상,28005,2024-12-30 01:52:56
크루아상,17397,2024-12-30 11:11:56
크루아상,2305,2024-12-30 09:48:56
도넛,2234,2024-12-30 06:22:56
머핀,25472,2024-12-30 10:34:56
도넛,4988,2024-12-30 17:09:56
도넛,1526,2024-12-30 09:27:56
머핀,12969,2024-12-30 13:31:56
머핀,22931,2024-12-29 23:01:56
도넛,24933,2024-12-30 14:45:56
크루아상,8321,2024-12-30 08:34:56
도넛,28486,2024-12-29 19:53:56
도넛,7372,2024-12-29 20:38:56
머핀,3669,2024-12-30 04:43:56
머핀,14201,2024-12-29 19:27:56
도넛,4963,2024-12-30 13:28:56
크루아상,29352,2024-12-30 13:43:56
도넛,26425,2024-12-30 11:08:56
크루아상,12970,2024-12-29 19:10:56
크루아상,21186,2024-12-29 20:20:56
도넛,26174,2024-12-30 11:02:56
도넛,26893,2024-12-30 10:56:56
크루아상,4159,2024-12-29 21:17:56
도넛,4149,2024-12-30 10:35:56
머핀,15271,2024-12-30 12:52:56
크루아상,3818,2024-12-30 06:35:56
머핀,9983,2024-12-30 06:17:56
크루아상,24379,2024-12-30 08:03:56
도넛,3395,2024-12-29 21:42:56
도넛,10720,2024-12-30 14:09:56
도넛,26540,2024-12-30 15:28:56
크루아상,4979,2024-12-30 16:43:56
도넛,5994,2024-12-29 19:57:56
크루아상,15820,2024-12-30 03:42:56
머핀,16595,2024-12-30 14:41:56
크루아상,1623,2024-12-30 10:25:56
크루아상,25262,2024-12-30 11:53:56
머핀,9158,2024-12-30 03:02:56
크루아상,17769,2024-12-30 01:24:56
머핀,1613,2024-12-30 10:21:56
머핀,2394,2024-12-29 23:49:56
도넛,25669,2024-12-29 18:45:56
크루아상,25815,2024-12-30 05:08:56
크루아상,6864,2024-12-30 10:24:56
머핀,23876,2024-12-30 03:15:56
머핀,22030,2024-12-30 08:58:56
머핀,7920,2024-12-30 11:26:56
도넛,8058,2024-12-30 13:39:56
도넛,3411,2024-12-30 07:37:56
도넛,25812,2024-12-29 21:44:56
머핀,26243,2024-12-30 07:16:56
머핀,23613,2024-12-29 22:31:56
크루아상,18186,2024-12-30 03:54:56
크루아상,29436,2024-12-30 08:03:56
머핀,6187,2024-12-30 04:47:56
크루아상,29222,2024-12-30 16:55:56
크루아상,17718,2024-12-30 01:37:56
크루아상,27191,2024-12-30 02:09:56
도넛,27429,2024-12-30 13:59:56
크루아상,5081,2024-12-29 19:31:56
머핀,2530,2024-12-29 23:24:56
크루아상,25105,2024-12-30 06:32:56
도넛,27673,2024-12-30 09:29:56
머핀,19467,2024-12-29 18:10:56
도넛,1978,2024-12-30 14:09:56
크루아상,21866,2024-12-29 21:30:56
도넛,9152,2024-12-30 07:23:56
도넛,25482,2024-12-30 02:01:56
크루아상,14171,2024-12-30 02:10:56
머핀,13469,2024-12-30 01:39:56
도넛,8855,2024-12-29 22:15:56
도넛,4149,2024-12-30 13:04:56
도넛,7600,2024-12-30 03:47:56
머핀,3582,2024-12-29 20:56:56
도넛,29768,2024-12-30 04:23:56
머핀,21503,2024-12-30 16:12:56
크루아상,21891,2024-12-30 11:27:56
크루아상,28674,2024-12-30 03:33:56
도넛,10926,2024-12-30 12:59:56
도넛,16662,2024-12-30 17:04:56
도넛,27894,2024-12-30 08:51:56
크루아상,9460,2024-12-29 20:03:56
크루아상,18120,2024-12-29 19:33:56
머핀,26863,2024-12-29 17:33:56
도넛,20693,2024-12-30 11:13:56
도넛,20812,2024-12-29 22:00:56
크루아상,21889,2024-12-30 09:30:56
도넛,19743,2024-12-30 14:53:56
도넛,8979,2024-12-30 13:52:56
머핀,3209,2024-12-30 14:29:56
크루아상,25500,2024-12-30 15:29:56
도넛,10465,2024-12-30 16:02:56
크루아상,2013,2024-12-30 09:19:56
도넛,18459,2024-12-30 11:40:56
