menu,price,order_time
아메리카노,1353,2024-12-30 14:01:56
케이크,6676,2024-12-30 11:35:56
아메리카노,28228,2024-12-29 20:54:56
카푸치노,13485,2024-12-30 02:02:56
케이크,29247,2024-12-30 01:53:56
케이크,11578,2024-12-30 08:55:56
아메리카노,4892,2024-12-30 01:37:56
카푸치노,11436,2024-12-30 00:15:56
케이크,21644,2024-12-30 00:59:56
아메리카노,28789,2024-12-30 04:56:56
아메리카노,24621,2024-12-30 05:30:56
케이크,23632,2024-12-30 10:30:56
카푸치노,9352,2024-12-29 19:06:56
카푸치노,2874,2024-12-30 15:15:56
아메리카노,19860,2024-12-29 22:46:56
아메리카노,11434,2024-12-30 15:00:56
카푸치노,12836,2024-12-29 18:04:56
아메리카노,11622,2024-12-29 22:15:56
아메리카노,27931,2024-12-29 23:21:56
케이크,27475,2024-12-30 09:57:56
아메리카노,20837,2024-12-30 15:10:56
케이크,2387,2024-12-30 14:53:56
카푸치노,17599,2024-12-30 15:59:56
케이크,2613,2024-12-30 04:04:56
케이크,23508,2024-12-30 13:06:56
카푸치노,11440,2024-12-30 01:22:56
아메리카노,26323,2024-12-30 11:50:56
케이크,11523,2024-12-29 21:33:56
카푸치노,13679,2024-12-30 01:38:56
카푸치노,10142,2024-12-30 08:18:56
아메리카노,18638,2024-12-30 11:40:56
케이크,29141,2024-12-29 22:16:56
카푸치노,5372,2024-12-30 15:42:56
아메리카노,27626,2024-12-30 09:04:56
카푸치노,22449,2024-12-29 19:18:56
케이크,21056,2024-12-30 04:41:56
아메리카노,15605,2024-12-30 01:29:56
아메리카노,14123,2024-12-29 21:28:56
카푸치노,3624,2024-12-30 04:26:56
케이크,21895,2024-12-30 13:34:56
아메리카노,14796,2024-12-30 05:49:56
아메리카노,14473,2024-12-30 01:22:56
케이크,18479,2024-12-30 16:21:56
카푸치노,24821,2024-12-30 16:09:56
케이크,5130,2024-12-29 21:22:56
케이크,8030,2024-12-30 04:25:56
아메리카노,26459,2024-12-30 13:24:56
케이크,19547,2024-12-30 01:27:56
아메리카노,14628,2024-12-30 03:11:56
카푸치노,2476,2024-12-30 16:58:56
케이크,26530,2024-12-30 09:40:56
케이크,13006,2024-12-29 19:41:56
카푸치노,23427,2024-12-30 03:40:56
아메리카노,24595,2024-12-29 22:03:56
아메리카노,16381,2024-12-30 16:09:56
아메리카노,2219,2024-12-30 11:17:56
카푸치노,7140,2024-12-30 07:41:56
케이크,12891,2024-12-29 23:17:56
케이크,2286,2024-12-30 06:27:56
카푸치노,2003,2024-12-30 11:32:56
아메리카노,8448,2024-12-30 02:15:56
케이크,26431,2024-12-29 23:33:56
케이크,3249,2024-12-30 08:14:56
카푸치노,23811,2024-12-29 20:43:56
카푸치노,7267,2024-12-30 08:55:56
카푸치노,15226,2024-12-30 05:56:56
케이크,7458,2024-12-30 02:16:56
케이크,26824,2024-12-29 20:20:56
아메리카노,20329,2024-12-30 06:18:56
카푸치노,17713,2024-12-29 23:57:56
케이크,28127,2024-12-29 17:38:56
케이크,6288,2024-12-30 00:47:56
카푸치노,14992,2024-12-30 00:59:56
카푸치노,26658,2024-12-30 15:26:56
아메리카노,26079,2024-12-29 20:15:56
아메리카노,29485,2024-12-29 23:56:56
카푸치노,27599,2024-12-30 15:00:56
카푸치노,6814,2024-12-30 14:42:56
아메리카노,25304,2024-12-30 13:34:56
카푸치노,13355,2024-12-30 01:56:56
카푸치노,25160,2024-12-29 19:07:56
카푸치노,23431,2024-12-30 05:35:56
케이크,6628,2024-12-30 12:42:56
케이크,24965,2024-12-30 13:50:56
카푸치노,18909,2024-12-29 19:54:56
케이크,7085,2024-12-29 20:44:56
케이크,26310,2024-12-30 06:45:56
아메리카노,14591,2024-12-30 13:05:56
카푸치노,4083,2024-12-29 21:16:56
카푸치노,12966,2024-12-29 19:35:56
아메리카노,17916,2024-12-30 02:22:56
아메리카노,1218,2024-12-29 20:52:56
아메리카노,28624,2024-12-30 07:47:56
아메리카노,27587,2024-12-29 19:52:56
아메리카노,22764,2024-12-29 23:35:56
카푸치노,19101,2024-12-30 16:28:56
케이크,5950,2024-12-30 04:41:56
아메리카노,9307,2024-12-29 23:12:56
케이크,3477,2024-12-29 20:17:56
아메리카노,2874,2024-12-30 09:12:56
