menu,price,order_time
도넛,24545,2024-12-30 03:37:56
도넛,16796,2024-12-30 08:02:56
크루아상,11612,2024-12-30 16:51:56
도넛,15263,2024-12-30 02:20:56
머핀,15277,2024-12-30 01:33:56
크루아상,26304,2024-12-30 08:41:56
크루아상,4766,2024-12-30 02:55:56
머핀,3722,2024-12-30 01:42:56
도넛,21011,2024-12-30 12:56:56
머핀,4807,2024-12-30 03:13:56
도넛,22692,2024-12-30 08:11:56
머핀,20288,2024-12-30 08:43:56
도넛,9914,2024-12-30 02:29:56
머핀,8716,2024-12-30 12:06:56
머핀,23211,2024-12-30 12:38:56
크루아상,11089,2024-12-30 08:07:56
크루아상,28827,2024-12-30 13:21:56
크루아상,2037,2024-12-30 08:29:56
크루아상,15353,2024-12-29 20:21:56
크루아상,22029,2024-12-30 16:51:56
크루아상,5544,2024-12-30 04:47:56
크루아상,2388,2024-12-30 13:17:56
도넛,17775,2024-12-29 22:52:56
크루아상,19996,2024-12-29 17:28:56
도넛,3090,2024-12-29 21:33:56
크루아상,4011,2024-12-30 04:46:56
도넛,14020,2024-12-29 23:34:56
도넛,29407,2024-12-29 17:57:56
크루아상,2429,2024-12-29 19:00:56
머핀,15825,2024-12-30 09:42:56
크루아상,5323,2024-12-30 10:27:56
머핀,25346,2024-12-29 17:22:56
도넛,1660,2024-12-29 18:43:56
크루아상,6293,2024-12-30 17:11:56
도넛,12998,2024-12-29 23:58:56
머핀,13288,2024-12-30 02:30:56
크루아상,24377,2024-12-29 23:52:56
크루아상,19177,2024-12-29 22:21:56
도넛,23017,2024-12-30 09:34:56
크루아상,13811,2024-12-29 20:42:56
크루아상,21684,2024-12-30 10:07:56
도넛,16865,2024-12-30 00:25:56
머핀,24676,2024-12-30 08:15:56
도넛,9419,2024-12-29 22:50:56
도넛,3102,2024-12-30 07:19:56
도넛,1619,2024-12-30 01:00:56
도넛,22632,2024-12-30 07:29:56
머핀,7580,2024-12-30 06:46:56
크루아상,16107,2024-12-29 19:04:56
머핀,27631,2024-12-29 19:50:56
크루아상,26593,2024-12-30 09:24:56
크루아상,29070,2024-12-30 14:18:56
머핀,16033,2024-12-30 11:03:56
크루아상,21589,2024-12-29 21:14:56
머핀,13692,2024-12-29 20:39:56
도넛,16065,2024-12-30 10:10:56
머핀,18946,2024-12-30 10:36:56
크루아상,3968,2024-12-30 10:28:56
머핀,1363,2024-12-30 16:03:56
도넛,18606,2024-12-30 13:48:56
머핀,22798,2024-12-29 18:46:56
도넛,1432,2024-12-30 09:42:56
도넛,18888,2024-12-30 02:06:56
머핀,10125,2024-12-30 04:52:56
크루아상,28472,2024-12-30 13:06:56
크루아상,29127,2024-12-30 04:39:56
크루아상,13893,2024-12-29 20:11:56
머핀,10849,2024-12-29 19:49:56
크루아상,11537,2024-12-29 21:04:56
머핀,16255,2024-12-29 18:24:56
크루아상,15751,2024-12-30 02:00:56
머핀,15790,2024-12-29 21:23:56
머핀,17900,2024-12-29 17:53:56
도넛,2587,2024-12-30 06:11:56
크루아상,20149,2024-12-30 15:14:56
도넛,2905,2024-12-30 13:52:56
도넛,8583,2024-12-30 07:50:56
크루아상,16976,2024-12-30 08:36:56
머핀,29663,2024-12-30 05:20:56
머핀,26281,2024-12-29 20:57:56
크루아상,29004,2024-12-30 02:18:56
머핀,20818,2024-12-30 00:31:56
크루아상,12000,2024-12-30 10:57:56
크루아상,2875,2024-12-30 03:27:56
머핀,24895,2024-12-30 10:38:56
크루아상,21345,2024-12-29 23:09:56
크루아상,6088,2024-12-30 14:40:56
크루아상,28252,2024-12-29 20:09:56
머핀,11930,2024-12-30 08:55:56
도넛,11587,2024-12-30 01:35:56
도넛,6447,2024-12-30 08:20:56
머핀,8411,2024-12-30 15:57:56
도넛,16042,2024-12-29 18:05:56
도넛,28729,2024-12-29 21:51:56
크루아상,14899,2024-12-29 17:26:56
도넛,2600,2024-12-30 04:31:56
크루아상,26367,2024-12-29 21:00:56
크루아상,11805,2024-12-30 00:26:56
크루아상,3094,2024-12-30 15:30:56
머핀,13486,2024-12-30 14:37:56
