menu,price,order_time
도넛,14775,2024-12-30 08:03:56
도넛,28022,2024-12-30 09:24:56
크루아상,11298,2024-12-30 11:14:56
도넛,2995,2024-12-30 12:44:56
도넛,29099,2024-12-30 01:58:56
크루아상,25081,2024-12-30 13:35:56
도넛,2397,2024-12-30 16:29:56
크루아상,1054,2024-12-30 01:38:56
도넛,21121,2024-12-30 06:05:56
크루아상,4094,2024-12-30 08:10:56
도넛,28295,2024-12-30 10:42:56
머핀,22112,2024-12-30 09:33:56
크루아상,25523,2024-12-30 13:58:56
머핀,25548,2024-12-29 21:11:56
머핀,7096,2024-12-29 22:18:56
머핀,12179,2024-12-30 11:22:56
크루아상,23351,2024-12-30 10:10:56
크루아상,14484,2024-12-30 04:00:56
머핀,6154,2024-12-30 01:52:56
도넛,18897,2024-12-30 05:28:56
머핀,20431,2024-12-29 22:47:56
머핀,17614,2024-12-30 04:15:56
크루아상,28448,2024-12-29 18:07:56
머핀,25483,2024-12-30 03:12:56
머핀,19264,2024-12-30 16:59:56
도넛,16373,2024-12-30 14:19:56
머핀,3550,2024-12-29 23:11:56
크루아상,20009,2024-12-30 10:01:56
도넛,5652,2024-12-30 02:48:56
도넛,24413,2024-12-30 03:18:56
머핀,26484,2024-12-30 02:16:56
머핀,1651,2024-12-30 15:17:56
머핀,22985,2024-12-30 06:50:56
크루아상,27850,2024-12-30 01:05:56
머핀,14315,2024-12-30 10:51:56
머핀,4515,2024-12-29 23:09:56
크루아상,23477,2024-12-30 03:02:56
크루아상,11085,2024-12-29 20:06:56
도넛,5446,2024-12-29 18:30:56
머핀,4064,2024-12-30 14:55:56
도넛,17488,2024-12-30 10:15:56
도넛,3024,2024-12-29 21:12:56
크루아상,4506,2024-12-30 06:35:56
크루아상,3855,2024-12-30 16:25:56
크루아상,24174,2024-12-29 23:04:56
머핀,29128,2024-12-29 20:10:56
머핀,26171,2024-12-30 05:05:56
크루아상,29128,2024-12-29 21:01:56
크루아상,29845,2024-12-30 16:24:56
머핀,14624,2024-12-30 14:52:56
머핀,23986,2024-12-29 19:46:56
머핀,13007,2024-12-30 02:09:56
머핀,5293,2024-12-30 11:04:56
크루아상,21215,2024-12-29 23:19:56
크루아상,24094,2024-12-30 06:05:56
도넛,10638,2024-12-30 00:13:56
크루아상,4294,2024-12-30 11:30:56
머핀,25772,2024-12-30 17:12:56
머핀,23993,2024-12-29 18:11:56
도넛,27134,2024-12-30 13:41:56
도넛,5586,2024-12-29 19:55:56
머핀,1887,2024-12-29 22:23:56
도넛,19697,2024-12-30 09:17:56
크루아상,15141,2024-12-30 00:23:56
머핀,23950,2024-12-29 21:57:56
머핀,6341,2024-12-30 11:22:56
크루아상,9259,2024-12-30 01:41:56
도넛,6131,2024-12-29 19:01:56
머핀,11658,2024-12-30 17:13:56
크루아상,3911,2024-12-29 18:35:56
도넛,22776,2024-12-29 20:22:56
크루아상,6777,2024-12-30 08:26:56
크루아상,8790,2024-12-30 10:24:56
머핀,4354,2024-12-30 14:03:56
머핀,29494,2024-12-30 11:20:56
머핀,15729,2024-12-30 15:20:56
머핀,6581,2024-12-30 00:48:56
머핀,6179,2024-12-29 21:45:56
크루아상,22368,2024-12-30 16:54:56
크루아상,13306,2024-12-30 00:38:56
도넛,14738,2024-12-30 02:09:56
도넛,5139,2024-12-30 11:37:56
머핀,6468,2024-12-29 17:57:56
도넛,17786,2024-12-30 17:20:56
크루아상,9481,2024-12-30 12:55:56
도넛,5930,2024-12-30 12:35:56
크루아상,11762,2024-12-29 21:22:56
크루아상,13784,2024-12-30 14:36:56
도넛,24565,2024-12-30 14:20:56
머핀,18161,2024-12-29 19:03:56
머핀,20122,2024-12-29 21:42:56
크루아상,26271,2024-12-30 03:59:56
도넛,26822,2024-12-30 12:58:56
크루아상,26407,2024-12-29 18:18:56
크루아상,3377,2024-12-30 11:44:56
도넛,19286,2024-12-30 00:17:56
크루아상,21031,2024-12-30 15:47:56
크루아상,16521,2024-12-30 11:54:56
도넛,2425,2024-12-30 13:51:56
머핀,22428,2024-12-30 03:40:56
