menu,price,order_time
감자튀김,14335,2024-12-29 23:16:56
감자튀김,19419,2024-12-30 02:36:56
닭강정,21030,2024-12-30 14:07:56
감자튀김,10543,2024-12-29 21:10:56
닭강정,16346,2024-12-30 09:47:56
감자튀김,20529,2024-12-29 22:02:56
감자튀김,13917,2024-12-30 00:00:56
닭강정,28368,2024-12-30 09:38:56
떡볶이,17959,2024-12-29 20:01:56
닭강정,22856,2024-12-30 07:25:56
감자튀김,8071,2024-12-30 15:03:56
감자튀김,22902,2024-12-30 05:49:56
닭강정,16629,2024-12-30 02:43:56
닭강정,16432,2024-12-30 07:30:56
닭강정,1603,2024-12-29 23:20:56
닭강정,9461,2024-12-29 17:39:56
닭강정,27520,2024-12-30 04:05:56
닭강정,7130,2024-12-30 15:26:56
떡볶이,22952,2024-12-30 12:09:56
닭강정,27691,2024-12-30 13:34:56
떡볶이,10074,2024-12-30 13:05:56
감자튀김,5509,2024-12-30 02:36:56
감자튀김,3838,2024-12-30 16:41:56
닭강정,11649,2024-12-30 15:15:56
감자튀김,29727,2024-12-30 11:29:56
떡볶이,25955,2024-12-30 13:00:56
떡볶이,16841,2024-12-29 19:32:56
떡볶이,18484,2024-12-30 03:44:56
닭강정,28585,2024-12-30 16:19:56
닭강정,12744,2024-12-30 12:12:56
닭강정,3597,2024-12-30 08:08:56
떡볶이,2587,2024-12-29 18:52:56
떡볶이,28389,2024-12-30 00:24:56
감자튀김,17722,2024-12-30 04:49:56
감자튀김,14278,2024-12-30 07:38:56
떡볶이,16959,2024-12-30 01:46:56
감자튀김,10605,2024-12-30 03:49:56
닭강정,25382,2024-12-29 17:57:56
닭강정,3993,2024-12-30 11:48:56
떡볶이,3803,2024-12-30 06:25:56
닭강정,3475,2024-12-30 03:55:56
떡볶이,2877,2024-12-30 15:45:56
닭강정,12669,2024-12-29 18:11:56
떡볶이,4145,2024-12-30 09:39:56
닭강정,10984,2024-12-30 15:09:56
닭강정,26068,2024-12-29 20:23:56
닭강정,17817,2024-12-30 09:40:56
떡볶이,6401,2024-12-30 12:10:56
감자튀김,3182,2024-12-30 13:36:56
떡볶이,20269,2024-12-30 12:19:56
감자튀김,28400,2024-12-30 01:51:56
떡볶이,12629,2024-12-30 09:20:56
닭강정,16920,2024-12-30 16:06:56
떡볶이,18638,2024-12-29 21:38:56
닭강정,10535,2024-12-30 16:09:56
감자튀김,14312,2024-12-29 21:55:56
닭강정,15570,2024-12-29 17:51:56
닭강정,22463,2024-12-30 11:20:56
감자튀김,20859,2024-12-30 09:50:56
닭강정,25405,2024-12-29 23:26:56
떡볶이,22787,2024-12-29 21:07:56
닭강정,3799,2024-12-30 03:08:56
감자튀김,15594,2024-12-30 15:03:56
떡볶이,8918,2024-12-30 11:36:56
감자튀김,22554,2024-12-30 13:35:56
닭강정,18828,2024-12-30 13:26:56
닭강정,20295,2024-12-29 21:27:56
닭강정,29455,2024-12-30 13:17:56
닭강정,16892,2024-12-30 00:32:56
닭강정,2127,2024-12-30 08:48:56
감자튀김,6046,2024-12-30 11:45:56
닭강정,5062,2024-12-30 14:04:56
떡볶이,21677,2024-12-30 15:40:56
떡볶이,18832,2024-12-30 05:41:56
떡볶이,12268,2024-12-29 20:55:56
닭강정,24563,2024-12-30 13:12:56
감자튀김,23460,2024-12-30 10:33:56
감자튀김,17626,2024-12-30 05:02:56
떡볶이,15320,2024-12-29 18:29:56
떡볶이,22283,2024-12-30 06:51:56
떡볶이,29196,2024-12-30 05:49:56
떡볶이,6608,2024-12-29 22:48:56
떡볶이,19111,2024-12-29 21:11:56
감자튀김,24688,2024-12-30 11:28:56
떡볶이,1725,2024-12-30 13:34:56
감자튀김,10303,2024-12-30 04:40:56
떡볶이,20427,2024-12-30 16:53:56
닭강정,26429,2024-12-30 09:38:56
닭강정,25393,2024-12-30 05:09:56
닭강정,4322,2024-12-30 01:58:56
닭강정,8596,2024-12-30 16:57:56
닭강정,13158,2024-12-29 20:40:56
떡볶이,29968,2024-12-30 15:46:56
떡볶이,18809,2024-12-30 02:28:56
감자튀김,1003,2024-12-29 20:39:56
떡볶이,16503,2024-12-30 15:00:56
떡볶이,1708,2024-12-30 13:53:56
감자튀김,29443,2024-12-30 00:09:56
떡볶이,4045,2024-12-29 20:17:56
감자튀김,3050,2024-12-30 02:54:56
