menu,price,order_time
케이크,29137,2024-12-30 08:30:56
케이크,28903,2024-12-30 10:38:56
아메리카노,4462,2024-12-30 12:50:56
카푸치노,5901,2024-12-29 23:34:56
아메리카노,29220,2024-12-30 10:37:56
케이크,3233,2024-12-30 00:44:56
카푸치노,17008,2024-12-30 15:12:56
아메리카노,27693,2024-12-30 03:00:56
케이크,10414,2024-12-29 22:52:56
케이크,6083,2024-12-30 00:22:56
아메리카노,26878,2024-12-29 21:10:56
아메리카노,5301,2024-12-30 05:44:56
카푸치노,7004,2024-12-30 04:53:56
카푸치노,25183,2024-12-30 07:16:56
카푸치노,16833,2024-12-30 05:01:56
카푸치노,16435,2024-12-30 15:22:56
케이크,12057,2024-12-30 15:57:56
케이크,21131,2024-12-29 19:03:56
케이크,27368,2024-12-29 19:32:56
케이크,27821,2024-12-30 10:19:56
아메리카노,19553,2024-12-29 22:45:56
케이크,22411,2024-12-30 09:37:56
카푸치노,8938,2024-12-30 03:11:56
카푸치노,21297,2024-12-30 14:47:56
케이크,21517,2024-12-30 10:22:56
카푸치노,25228,2024-12-29 22:53:56
아메리카노,3875,2024-12-30 08:11:56
카푸치노,25205,2024-12-30 06:58:56
아메리카노,14446,2024-12-30 00:56:56
케이크,3131,2024-12-30 02:56:56
카푸치노,10938,2024-12-30 01:50:56
카푸치노,5342,2024-12-30 08:16:56
케이크,24083,2024-12-30 06:11:56
케이크,24133,2024-12-29 23:55:56
케이크,29932,2024-12-29 23:51:56
케이크,24219,2024-12-30 02:10:56
케이크,14926,2024-12-29 23:23:56
아메리카노,22072,2024-12-30 05:48:56
케이크,20284,2024-12-30 00:37:56
케이크,13076,2024-12-29 19:24:56
아메리카노,6863,2024-12-30 10:57:56
카푸치노,10393,2024-12-30 16:34:56
아메리카노,24100,2024-12-29 22:49:56
카푸치노,11873,2024-12-30 07:55:56
아메리카노,16413,2024-12-30 10:21:56
아메리카노,18720,2024-12-29 19:44:56
케이크,8942,2024-12-30 11:46:56
케이크,9240,2024-12-29 19:07:56
아메리카노,9141,2024-12-29 22:42:56
아메리카노,26273,2024-12-29 18:18:56
아메리카노,15576,2024-12-30 01:07:56
카푸치노,24168,2024-12-30 04:50:56
케이크,12088,2024-12-29 18:45:56
카푸치노,25587,2024-12-30 15:29:56
카푸치노,24082,2024-12-30 06:35:56
아메리카노,20574,2024-12-29 17:46:56
카푸치노,20027,2024-12-30 09:03:56
아메리카노,5463,2024-12-29 20:09:56
카푸치노,25996,2024-12-30 13:45:56
카푸치노,11356,2024-12-30 13:14:56
아메리카노,25374,2024-12-30 03:43:56
케이크,22644,2024-12-30 11:25:56
케이크,8447,2024-12-29 23:49:56
카푸치노,8676,2024-12-29 19:05:56
아메리카노,4591,2024-12-30 01:08:56
케이크,10974,2024-12-29 21:41:56
케이크,20433,2024-12-30 16:28:56
케이크,25428,2024-12-29 22:07:56
카푸치노,11251,2024-12-29 21:42:56
카푸치노,14223,2024-12-30 12:53:56
케이크,1156,2024-12-29 20:51:56
아메리카노,3934,2024-12-30 11:36:56
케이크,3596,2024-12-30 02:32:56
카푸치노,13434,2024-12-30 11:01:56
아메리카노,6287,2024-12-30 16:47:56
카푸치노,23285,2024-12-30 02:35:56
케이크,23402,2024-12-30 09:39:56
케이크,16241,2024-12-29 20:06:56
카푸치노,9555,2024-12-30 07:35:56
케이크,19532,2024-12-30 16:50:56
카푸치노,7307,2024-12-30 12:21:56
카푸치노,18257,2024-12-29 22:04:56
아메리카노,9245,2024-12-30 03:56:56
케이크,4022,2024-12-30 14:11:56
케이크,5267,2024-12-30 08:20:56
케이크,9566,2024-12-30 16:17:56
케이크,8191,2024-12-30 07:32:56
카푸치노,20559,2024-12-29 17:57:56
케이크,3993,2024-12-30 01:10:56
케이크,6529,2024-12-30 14:10:56
아메리카노,16896,2024-12-29 22:24:56
카푸치노,7737,2024-12-30 03:55:56
카푸치노,25044,2024-12-30 04:50:56
카푸치노,8331,2024-12-30 14:29:56
아메리카노,11577,2024-12-30 08:23:56
케이크,26566,2024-12-30 09:27:56
카푸치노,3626,2024-12-30 09:02:56
케이크,5179,2024-12-30 06:59:56
케이크,7571,2024-12-29 20:31:56
카푸치노,13641,2024-12-30 16:41:56
